"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.820078100E-2,-1.215927243E0,-1.588555098E0,-1.392772794E-1
2.032494800E-2,-1.287703991E0,-1.668883801E0,-1.185078546E-1
2.245006000E-2,-1.364367485E0,-1.754099607E0,-9.407325089E-2
2.457356400E-2,-1.438587666E0,-1.844049454E0,-7.192938030E-2
2.669937800E-2,-1.515098572E0,-1.941482425E0,-4.749477282E-2
2.882283100E-2,-1.592983842E0,-2.048536539E0,-2.168571576E-2
3.093779200E-2,-1.674534321E0,-2.159255981E0,2.748893574E-3
3.307403200E-2,-1.762040854E0,-2.283414364E0,3.100141138E-2
3.519125000E-2,-1.854434133E0,-2.412459612E0,5.681046844E-2
3.733165100E-2,-1.954157948E0,-2.542573929E0,8.384125680E-2
3.945427100E-2,-2.059990406E0,-2.675284386E0,1.094975919E-1
4.158253700E-2,-2.170557022E0,-2.804329634E0,1.365283877E-1
4.370590000E-2,-2.288606644E0,-2.936887264E0,1.634064466E-1
4.583246700E-2,-2.406503677E0,-3.086549282E0,1.892155111E-1
4.795733300E-2,-2.528065920E0,-3.233920574E0,2.138028294E-1
5.008116400E-2,-2.652071476E0,-3.379917383E0,2.370157093E-1
5.219713100E-2,-2.772564650E0,-3.536909819E0,2.591595948E-1
5.432167300E-2,-2.892904997E0,-3.690389633E0,2.813034356E-1
5.646046700E-2,-3.010802031E0,-3.836386442E0,3.022255898E-1
5.858818300E-2,-3.132364273E0,-3.973983765E0,3.207042515E-1
6.071445400E-2,-3.269656181E0,-4.152814865E0,3.342960179E-1
6.283469400E-2,-3.405879259E0,-4.314846516E0,3.440698385E-1
6.496382400E-2,-3.529884815E0,-4.446335316E0,3.478877544E-1
6.708949500E-2,-3.651447058E0,-4.530329227E0,3.454442918E-1
6.921603200E-2,-3.757126808E0,-4.571715355E0,3.440698385E-1
7.133761300E-2,-3.853185177E0,-4.562094212E0,3.390302062E-1
7.345347900E-2,-3.946953058E0,-4.501313210E0,3.375030458E-1
7.559262900E-2,-4.028503418E0,-4.371199131E0,3.333797157E-1
7.771876800E-2,-4.092949867E0,-4.160603046E0,3.254384696E-1
7.984881300E-2,-4.133266926E0,-3.873496532E0,3.149010241E-1
8.197109800E-2,-4.165031910E0,-3.523012638E0,3.092505336E-1
8.409589400E-2,-4.191909790E0,-3.133585930E0,3.081815243E-1
8.622137300E-2,-4.211610317E0,-2.714990616E0,3.145956099E-1
8.834708400E-2,-4.220468044E0,-2.291355610E0,3.342960179E-1
9.047324400E-2,-4.224438667E0,-1.871538401E0,3.674354553E-1
9.259657600E-2,-4.219857216E0,-1.457524419E0,4.178318381E-1
9.471247200E-2,-4.209319592E0,-1.057102323E0,4.828889668E-1
9.683991400E-2,-4.189008236E0,-6.698137522E-1,5.601634383E-1
9.897658100E-2,-4.160297871E0,-3.008511364E-1,6.484334469E-1
1.011046730E-1,-4.125325680E0,4.382958263E-2,7.440338731E-1
1.032306510E-1,-4.085619450E0,3.555235863E-1,8.411614299E-1
1.053503820E-1,-4.047134876E0,6.149885654E-1,9.309586287E-1
1.074663480E-1,-3.998723984E0,8.051204085E-1,1.007469535E0
1.096066160E-1,-3.945425987E0,8.807149529E-1,1.068403363E0
1.117368660E-1,-3.879757881E0,8.272642493E-1,1.102764487E0
1.138599120E-1,-3.789808035E0,6.374378800E-1,1.099710107E0
1.159769580E-1,-3.675117970E0,3.016147017E-1,1.059240341E0
1.181072270E-1,-3.542254925E0,-1.440114826E-1,9.860892296E-1
1.202341190E-1,-3.394578218E0,-6.614143252E-1,8.849910498E-1
1.223615100E-1,-3.233462572E0,-1.193325281E0,7.596109509E-1
1.244858590E-1,-3.079677105E0,-1.651168704E0,6.204863787E-1
1.266116640E-1,-2.929557085E0,-1.963015437E0,4.798346460E-1
1.287378940E-1,-2.789363384E0,-2.082439661E0,3.582724631E-1
1.308643080E-1,-2.659096479E0,-1.985159278E0,2.851213515E-1
1.329858590E-1,-2.530203819E0,-1.705230355E0,2.651155293E-1
1.350992120E-1,-2.400394917E0,-1.342529058E0,2.730567753E-1
1.372298570E-1,-2.269211769E0,-9.456194043E-1,2.968805134E-1
1.393665150E-1,-2.139402866E0,-5.256495476E-1,3.301726580E-1
1.414955940E-1,-2.007303238E0,-1.067487001E-1,3.758348525E-1
1.436206960E-1,-1.881159544E0,3.023782969E-1,4.288274050E-1
1.457441710E-1,-1.756237626E0,6.980662346E-1,4.903720617E-1
1.478710220E-1,-1.641089439E0,1.071915746E0,5.557346344E-1
1.499965610E-1,-1.530675530E0,1.419039965E0,6.209445000E-1
1.521213170E-1,-1.426523089E0,1.738064289E0,6.850853562E-1
1.542483420E-1,-1.329548240E0,2.019367695E0,7.420485616E-1
1.563784490E-1,-1.239750981E0,2.262950182E0,7.880161405E-1
1.584987280E-1,-1.157284260E0,2.459038019E0,8.206974864E-1
1.606245820E-1,-1.080773354E0,2.600300550E0,8.399397135E-1
1.627490640E-1,-1.008996725E0,2.684294701E0,8.423831463E-1
1.648770050E-1,-9.396634698E-1,2.706133127E0,8.326093554E-1
1.670018720E-1,-8.752171993E-1,2.681851149E0,8.133670688E-1
1.691276040E-1,-8.203920126E-1,2.624582529E0,7.878634334E-1
1.712532140E-1,-7.655668855E-1,2.555249214E0,7.661777139E-1
1.733791710E-1,-7.192938328E-1,2.484694481E0,7.518224120E-1
1.755056360E-1,-6.791294217E-1,2.424982309E0,7.495316267E-1
1.776300250E-1,-6.438519955E-1,2.373975039E0,7.594582438E-1
1.797438360E-1,-6.073527932E-1,2.331367254E0,7.816020846E-1
1.818836680E-1,-5.795583725E-1,2.293798923E0,8.171849847E-1
1.840079760E-1,-5.491678715E-1,2.252565622E0,8.613200188E-1
1.861376350E-1,-5.225952268E-1,2.196671486E0,9.127854109E-1
1.882594910E-1,-5.007568002E-1,2.121382236E0,9.666942358E-1
1.903854680E-1,-4.764748812E-1,2.017993450E0,1.019381404E0
1.925114450E-1,-4.607451260E-1,1.892765999E0,1.074664712E0
1.946370970E-1,-4.437935948E-1,1.745700121E0,1.129948020E0
1.967600830E-1,-4.317290187E-1,1.580308437E0,1.182940602E0
1.988768830E-1,-4.231768847E-1,1.400408626E0,1.238223910E0
2.010147000E-1,-4.147774875E-1,1.206917048E0,1.291216373E0
2.031406160E-1,-4.123340547E-1,1.012356400E0,1.342987299E0
2.052691260E-1,-4.013384581E-1,8.104654551E-1,1.392314553E0
2.073890590E-1,-3.892738819E-1,6.085745096E-1,1.437976837E0
2.095028700E-1,-3.698789179E-1,4.140139222E-1,1.478752017E0
2.116307890E-1,-3.454442918E-1,2.448042482E-1,1.502270341E0
2.137699290E-1,-3.260493279E-1,1.159116775E-1,1.519832730E0
2.158967400E-1,-2.991712391E-1,1.007927675E-2,1.538311362E0
2.180151880E-1,-2.663372457E-1,-7.987063378E-2,1.553277612E0
2.201466890E-1,-2.249511331E-1,-1.430951804E-1,1.568091035E0
2.222722990E-1,-1.800525337E-1,-1.771509200E-1,1.586569786E0
2.243972080E-1,-1.266018152E-1,-1.831068546E-1,1.607491851E0
2.265108560E-1,-6.948592514E-2,-1.696678251E-1,1.631926537E0
2.286499240E-1,-2.748893574E-3,-1.403462887E-1,1.656513810E0
2.307760640E-1,7.131851465E-2,-1.026253626E-1,1.680948496E0
2.329058250E-1,1.527163088E-1,-5.742133409E-2,1.702939630E0
2.350273160E-1,2.402227521E-1,-6.261368748E-3,1.721265554E0
2.371499040E-1,3.326161206E-1,4.367686436E-2,1.733482838E0
2.392659010E-1,4.323398769E-1,8.521570265E-2,1.739744186E0
2.414048370E-1,5.345070958E-1,1.169806942E-1,1.740965962E0
2.435305190E-1,6.389650702E-1,1.412625909E-1,1.733788252E0
2.456570560E-1,7.423539758E-1,1.498146951E-1,1.721723676E0
2.477692990E-1,8.530732989E-1,1.437060535E-1,1.702481389E0
2.498957850E-1,9.674578309E-1,1.255328059E-1,1.679574013E0
2.520335720E-1,1.080620646E0,1.036943719E-1,1.652848601E0
2.541623150E-1,1.196226835E0,7.681630552E-2,1.620167375E0
2.562886070E-1,1.310764074E0,5.131268129E-2,1.588707805E0
2.584110630E-1,1.422705173E0,2.809980139E-2,1.557248235E0
2.605368980E-1,1.530981064E0,1.114829071E-2,1.525788665E0
2.626633330E-1,1.634369969E0,1.527163113E-4,1.495398164E0
2.647900120E-1,1.731802940E0,-2.290744567E-3,1.465160251E0
2.669151840E-1,1.820683837E0,6.261368748E-3,1.433547974E0
2.690399200E-1,1.902234316E0,2.565634064E-2,1.401935697E0
2.711657740E-1,1.976454496E0,4.627304152E-2,1.368949056E0
2.732913640E-1,2.043344259E0,7.177666575E-2,1.334893227E0
2.754187850E-1,2.103056431E0,9.605856240E-2,1.300684810E0
2.775482100E-1,2.159103155E0,1.131627858E-1,1.264185667E0
2.796661400E-1,2.209041357E0,1.130100712E-1,1.227686405E0
2.817950770E-1,2.261423111E0,8.139779419E-2,1.191187263E0
2.839204340E-1,2.315026522E0,1.435533352E-2,1.163392901E0
2.860498380E-1,2.371073484E0,-8.781187981E-2,1.138041973E0
2.881785500E-1,2.423455238E0,-2.266310006E-1,1.117730737E0
2.902977730E-1,2.475836754E0,-3.958406746E-1,1.109636664E0
2.924236790E-1,2.529440165E0,-5.977316499E-1,1.106582403E0
2.945480180E-1,2.581974745E0,-8.216137290E-1,1.110858440E0
2.966721330E-1,2.633134604E0,-1.068708777E0,1.123686671E0
2.987883940E-1,2.684294701E0,-1.327868342E0,1.141554475E0
3.009280430E-1,2.740188837E0,-1.594205618E0,1.166599870E0
3.030529310E-1,2.799900770E0,-1.864360690E0,1.196684957E0
3.051820810E-1,2.858238459E0,-2.052812576E0,1.225242972E0
3.073069590E-1,2.917797804E0,-1.927432537E0,1.247081399E0
3.094417760E-1,2.986825705E0,-1.511127949E0,1.260825872E0
3.115561250E-1,3.046232224E0,-1.294423461E0,1.277624607E0
3.136817460E-1,3.093727112E0,-1.363756657E0,1.304655433E0
3.158038880E-1,3.134960413E0,-1.540143967E0,1.335656881E0
3.179300980E-1,3.166572809E0,-1.683544636E0,1.365436554E0
3.200592180E-1,3.191007376E0,-1.779603124E0,1.393689036E0
3.221849510E-1,3.209180593E0,-1.882992148E0,1.420872569E0
3.243116090E-1,3.224910259E0,-1.990046263E0,1.443016410E0
3.264365790E-1,3.234684229E0,-2.095878601E0,1.462869525E0
3.285624330E-1,3.240792751E0,-2.193158865E0,1.481500983E0
3.306882060E-1,3.240792751E0,-2.314873934E0,1.495092630E0
3.328144060E-1,3.234836817E0,-2.470644474E0,1.500437737E0
3.349406680E-1,3.227659225E0,-2.632523775E0,1.494634509E0
3.370681090E-1,3.218038082E0,-2.787072659E0,1.480279207E0
3.392005050E-1,3.204751730E0,-2.921004772E0,1.454928279E0
3.413129620E-1,3.191465378E0,-3.045315981E0,1.422247052E0
3.434430380E-1,3.169779778E0,-3.205973625E0,1.371392488E0
3.455666450E-1,3.136029482E0,-3.404657364E0,1.299768567E0
3.476953980E-1,3.095101595E0,-3.629914045E0,1.208596945E0
3.498205200E-1,3.046843052E0,-3.872427464E0,1.100473762E0
3.519471990E-1,2.994919538E0,-4.118606091E0,9.789115787E-1
3.540698290E-1,2.935818434E0,-4.361119747E0,8.474228382E-1
3.561796820E-1,2.879160643E0,-4.596302986E0,7.099781036E-1
3.583010100E-1,2.818837643E0,-4.831485748E0,5.676465034E-1
3.604469650E-1,2.758514643E0,-5.055826187E0,4.251621962E-1
3.625680490E-1,2.699413538E0,-5.271614552E0,2.851213515E-1
3.646972400E-1,2.643824816E0,-5.469076633E0,1.488984078E-1
3.668223430E-1,2.590832233E0,-5.653252602E0,1.603521220E-2
3.689371900E-1,2.537687063E0,-5.815437317E0,-1.105666086E-1
3.710805820E-1,2.491872072E0,-5.947078705E0,-2.324342281E-1
3.732041980E-1,2.465452194E0,-6.024047852E0,-3.494149148E-1
3.753341020E-1,2.459648848E0,-6.043747902E0,-4.557054639E-1
3.774555100E-1,2.476905823E0,-6.005110741E0,-5.522221923E-1
3.795786800E-1,2.509892464E0,-5.901874542E0,-6.438519955E-1
3.816953890E-1,2.556165695E0,-5.742591381E0,-7.309002876E-1
3.838332880E-1,2.605034828E0,-5.540700436E0,-8.179485798E-1
3.859598040E-1,2.653751373E0,-5.320636272E0,-9.074403048E-1
3.880874790E-1,2.704911232E0,-5.076137543E0,-9.934195876E-1
3.902105260E-1,2.758514643E0,-4.809800148E0,-1.074512005E0
3.923363200E-1,2.820517540E0,-4.527580261E0,-1.145830512E0
3.944619910E-1,2.883742094E0,-4.242917061E0,-1.209818602E0
3.965878460E-1,2.945744991E0,-3.961919308E0,-1.265254617E0
3.987136290E-1,3.006525993E0,-3.692985773E0,-1.312291265E0
4.008364920E-1,3.061198473E0,-3.432604551E0,-1.351844788E0
4.029533240E-1,3.109915018E0,-3.195436001E0,-1.387733102E0
