"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.308643080E-1,3.642305136E0,-3.084493160E0,1.131070709E1
1.478710220E-1,1.567614436E0,1.377163410E0,3.445095539E0
1.648770050E-1,3.666488409E0,-1.719668865E0,5.082593441E0
1.818836680E-1,2.802831650E0,-4.602925301E0,4.647070885E0
1.988768830E-1,1.091685295E0,-7.625839233E0,2.805137634E0
2.158967400E-1,-1.563240886E0,-8.945878983E0,1.038132668E0
2.329058250E-1,-2.346194744E0,-7.243319511E0,1.459336281E-1
2.498957850E-1,-5.489244461E-1,-6.957026958E0,1.446957588E-1
2.669151840E-1,-5.396167040E-1,-7.190337181E0,-5.554246902E-1
2.839204340E-1,-1.417959809E0,-7.298903942E0,-4.637975693E-1
3.009280430E-1,-2.091109276E0,-4.912340641E0,2.035661221E0
3.179300980E-1,-6.337451339E-1,-3.597724438E0,2.469904900E0
3.349406680E-1,1.275557160E0,-5.027091980E0,2.396265030E0
3.519471990E-1,4.317295551E0,-6.476441383E0,4.930297375E0
3.689371900E-1,4.688519478E0,-6.709721565E0,4.986043453E0
3.859598040E-1,1.168964148E0,-4.070937157E0,3.927176476E0
4.029533240E-1,-9.200316668E-1,-1.718897820E0,4.273251057E0
4.199763950E-1,5.276416540E-1,-1.135637760E0,4.020700455E0
4.369790910E-1,5.341346264E-1,-1.127839088E0,2.179442644E0
4.539853790E-1,-2.145621061E0,8.290290833E-3,3.467495441E-1
4.709890210E-1,5.218763947E-1,-2.123646736E0,3.243761778E0
4.879949010E-1,2.608550072E0,-1.028676033E0,2.373243570E0
5.050047280E-1,2.733304977E0,-1.266537666E0,2.003224850E0
5.220139650E-1,-2.959552407E-2,-1.589743614E0,3.917802095E0
5.390171390E-1,-3.611236513E-1,-1.607944489E0,6.248679161E0
5.560068150E-1,1.890100718E0,-1.622816086E0,5.575085640E0
5.730298670E-1,3.010860920E0,-1.924016476E0,4.930519581E0
5.900361640E-1,2.611958742E0,-2.150789261E0,4.034523487E0
6.070443430E-1,1.044465542E0,-2.119369507E0,3.035709143E0
6.240503250E-1,1.376570940E0,-1.357954025E0,2.442478657E0
6.410496440E-1,3.045198917E0,-1.582901955E0,3.156265736E0
6.580615250E-1,2.951843500E0,-2.369015694E0,-1.218776345E0
6.750680670E-1,2.011215448E0,-1.048406601E0,8.508944511E-2
6.920748010E-1,1.681676388E0,4.945192337E-1,-3.147562981E0
7.090668260E-1,2.099100828E0,8.252696991E-1,1.586838245E0
7.260871320E-1,2.500770807E0,-4.687595367E-2,2.606392622E0
7.430773160E-1,3.484684467E0,2.724084854E-1,3.211591721E0
7.601006720E-1,3.678704500E0,4.935884476E-1,3.120424509E0
7.771062470E-1,4.244978428E0,5.140237808E-1,2.292460203E0
7.941172850E-1,3.412583828E0,1.720962524E-1,2.391677618E0
8.111188510E-1,3.962683201E0,1.751918793E-1,2.334810972E0
8.281128500E-1,3.338585377E0,8.699932098E-1,2.951753616E0
8.451316390E-1,3.926983595E0,3.726730347E-1,2.205514908E0
8.621379560E-1,3.736613512E0,1.082155228E0,4.038060188E0
8.791482410E-1,3.059545517E0,4.361867905E-1,4.237849236E0
8.961544170E-1,2.491962433E0,-1.158082008E0,5.137009621E0
9.131570210E-1,2.774736881E0,1.146763802E0,4.256412983E0
9.301654340E-1,2.621315479E0,1.737882614E0,3.950850487E0
9.471722810E-1,2.607295275E0,1.286736488E0,3.979886532E0
9.641778560E-1,2.653448343E0,1.578129768E0,3.746795893E0
9.811653240E-1,3.031684875E0,1.418883324E0,3.038495064E0
9.981760660E-1,3.767482758E0,4.344224930E-1,2.727373123E0
1.015185630E0,2.253375530E0,5.403890610E-1,3.062355518E0
1.032202384E0,3.297446251E0,7.964715958E-1,3.651134014E0
1.049210857E0,2.886757612E0,7.096185684E-1,3.125131607E0
1.066214378E0,2.526458740E0,9.417743683E-1,2.649046421E0
1.083215599E0,2.204701185E0,1.288453102E0,2.142975330E0
1.100227237E0,2.168956280E0,1.392880440E0,1.703450918E0
1.117233402E0,2.298565388E0,1.408166885E0,1.302910924E0
1.134243025E0,2.377069712E0,1.460843086E0,1.128003597E0
1.151246139E0,2.549182415E0,1.568594456E0,1.222638845E0
1.168252700E0,2.714776278E0,1.788600445E0,1.270965576E0
1.185258835E0,2.842170954E0,1.858674049E0,1.178733349E0
1.202265081E0,2.926464796E0,1.801691532E0,1.179253697E0
