"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
6.196155000E-3,-2.955824137E-1,-5.267949104E-1,2.340377420E-1
2.131215300E-2,-2.955824137E-1,-5.267949104E-1,2.340377420E-1
3.130015300E-2,-2.955824137E-1,-5.267949104E-1,2.340377420E-1
4.130015300E-2,-2.955824137E-1,-5.267949104E-1,2.340377420E-1
5.130015300E-2,-7.512878776E-1,-8.542186618E-1,5.889504552E-1
6.130015300E-2,-6.608798504E-1,-1.048473835E0,6.378196478E-1
7.130015300E-2,-5.466480255E-1,-1.275104880E0,7.105126381E-1
8.130015300E-2,-4.391357601E-1,-1.513953209E0,8.045858741E-1
9.130015300E-2,-3.597232699E-1,-1.735697269E0,9.011026025E-1
1.013001530E-1,-3.346777856E-1,-1.915902495E0,9.988410473E-1
1.113001530E-1,-3.658319116E-1,-2.063731909E0,1.116738081E0
1.213001530E-1,-5.203808546E-1,-2.249434948E0,1.324432254E0
1.313001530E-1,-6.792057753E-1,-2.311743259E0,1.423392415E0
1.413001530E-1,-8.740718365E-1,-2.372829676E0,1.481424570E0
1.513001530E-1,-1.045114040E0,-2.495002747E0,1.563280463E0
1.613001530E-1,-1.170952320E0,-2.512106895E0,1.668349385E0
1.713001530E-1,-1.219821572E0,-2.486450672E0,1.786857247E0
1.813001530E-1,-1.213712931E0,-2.470568180E0,1.948125601E0
1.913001530E-1,-1.177671790E0,-2.405816317E0,2.161928415E0
2.013001530E-1,-1.168508887E0,-2.269593477E0,2.394057274E0
2.113002050E-1,-1.191721678E0,-2.134592295E0,2.566932201E0
2.213002050E-1,-1.210047722E0,-2.140089989E0,2.612746954E0
2.313002050E-1,-1.172784925E0,-2.253710985E0,2.513175964E0
2.413002050E-1,-1.056109667E0,-2.441246510E0,2.347020626E0
2.513002050E-1,-8.923977613E-1,-2.569528341E0,2.219960690E0
2.613002050E-1,-7.207446098E-1,-2.557921886E0,2.180865288E0
2.713002050E-1,-5.423719883E-1,-2.310521364E0,2.346409798E0
2.813002050E-1,-5.191590786E-1,-2.107103348E0,2.577316761E0
2.913002050E-1,-5.564218760E-1,-1.924454570E0,2.812500000E0
3.013002050E-1,-6.254496574E-1,-1.781512141E0,3.017139912E0
3.113002050E-1,-6.932557225E-1,-1.745471120E0,3.181462526E0
3.213002050E-1,-7.354053855E-1,-1.791285992E0,3.235218763E0
3.313006050E-1,-7.060838938E-1,-1.876196265E0,3.134425879E0
3.413006050E-1,-6.175084114E-1,-1.954386950E0,2.945668459E0
3.513006050E-1,-5.124396086E-1,-1.983097672E0,2.748359203E0
3.613006050E-1,-4.116468132E-1,-1.905517817E0,2.589534044E0
3.713006050E-1,-3.591124117E-1,-1.716149569E0,2.528447628E0
3.813006050E-1,-3.872122169E-1,-1.426599383E0,2.566932201E0
3.913006050E-1,-5.002222657E-1,-1.069854140E0,2.662837982E0
4.013006050E-1,-6.895905137E-1,-7.088327408E-1,2.781956673E0
4.113006050E-1,-9.119454622E-1,-4.369977117E-1,2.920012236E0
4.213006050E-1,-1.246088743E0,-2.732858360E-1,3.086167574E0
4.313006050E-1,-1.438511252E0,-3.062725663E-1,3.130760670E0
4.413006050E-1,-1.581453800E0,-3.655264974E-1,3.111824036E0
4.513006050E-1,-1.672472715E0,-4.174500406E-1,3.044628859E0
4.613006380E-1,-1.729894042E0,-4.589888752E-1,2.965216160E0
4.713006380E-1,-1.770821929E0,-4.424955249E-1,2.901075363E0
4.813006380E-1,-1.820302129E0,-3.398701549E-1,2.877862453E0
4.913006380E-1,-1.892384171E0,-2.109775841E-1,2.886414528E0
5.013006380E-1,-1.960190177E0,-8.086328954E-2,2.924899101E0
