"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.933985000E-2,-3.464829445E0,2.402539253E-1,6.919078827E-1
3.933985000E-2,-3.490929604E0,2.841324806E-1,5.239648819E-1
4.933985000E-2,-3.552920818E0,2.490162849E-1,2.866029739E-1
5.933985000E-2,-3.605317593E0,1.780195236E-1,-5.130577087E-2
6.933985000E-2,-3.656437874E0,1.452245712E-1,-4.304709435E-1
7.933985000E-2,-3.694314957E0,9.957408905E-2,-7.602186203E-1
8.933985000E-2,-3.683105946E0,3.691434860E-2,-1.006978989E0
9.933985000E-2,-3.659356594E0,-1.588678360E-2,-1.174260139E0
1.093398500E-1,-3.654714584E0,-6.321668625E-2,-1.254836082E0
1.193398500E-1,-3.675726175E0,-1.047024727E-1,-1.311913967E0
1.293398500E-1,-3.706351042E0,-1.677131653E-1,-1.380658627E0
1.393398500E-1,-3.752940416E0,-2.587473392E-1,-1.471220970E0
1.493398500E-1,-3.849541903E0,-3.191027641E-1,-1.603356361E0
1.593398500E-1,-3.986950636E0,-3.578422070E-1,-1.725712776E0
1.693398500E-1,-4.158500671E0,-4.388661385E-1,-1.873235703E0
1.793398500E-1,-4.327810287E0,-5.675041676E-1,-1.983733177E0
1.893398500E-1,-4.449952126E0,-8.080160618E-1,-2.037741661E0
1.993398500E-1,-4.565992355E0,-1.042029619E0,-2.013091564E0
2.093398500E-1,-4.677445889E0,-1.254594326E0,-1.884884596E0
2.193398500E-1,-4.761997700E0,-1.413084984E0,-1.686121702E0
2.293398500E-1,-4.754528046E0,-1.517545938E0,-1.383994102E0
2.393398500E-1,-4.660644531E0,-1.621073246E0,-1.040914536E0
2.493398500E-1,-4.517470360E0,-1.776476622E0,-6.977834702E-1
2.593398500E-1,-4.398163795E0,-1.926908016E0,-3.628287315E-1
2.693398500E-1,-4.344234943E0,-2.094672441E0,-5.974721909E-2
2.793398500E-1,-4.373823166E0,-2.237011194E0,2.194259167E-1
2.893398500E-1,-4.452178478E0,-2.352172375E0,4.535994530E-1
2.993398500E-1,-4.502410412E0,-2.440221310E0,6.647915840E-1
3.093398500E-1,-4.448883057E0,-2.547578096E0,8.004460335E-1
3.193398500E-1,-4.343123436E0,-2.642541885E0,9.317109585E-1
3.293402290E-1,-4.079456329E0,-2.802478075E0,1.071933746E0
3.393402290E-1,-3.788285255E0,-2.938957691E0,1.272406578E0
3.493402290E-1,-3.387553692E0,-3.103914261E0,1.664201736E0
3.593402290E-1,-2.958729744E0,-3.224955797E0,2.235755920E0
3.693402290E-1,-2.575813770E0,-3.311908245E0,2.865641117E0
3.793402290E-1,-2.208497524E0,-3.365534544E0,3.517652035E0
3.893402290E-1,-1.767544746E0,-3.367617607E0,4.120127201E0
3.993402290E-1,-1.350718498E0,-3.315219402E0,4.571794033E0
4.093402290E-1,-9.263963699E-1,-3.278501272E0,4.810927391E0
4.193402290E-1,-5.486888885E-1,-3.246500254E0,4.957497597E0
4.293402290E-1,-2.239913940E-1,-3.244479179E0,5.005892277E0
4.393402290E-1,5.103969574E-2,-3.231298447E0,5.039087296E0
4.493402290E-1,3.044185638E-1,-3.243690491E0,5.141844749E0
4.593402290E-1,5.505247116E-1,-3.235617638E0,5.301908970E0
4.693402290E-1,7.949733734E-1,-3.229060650E0,5.562313080E0
4.793402290E-1,1.036643028E0,-3.224780083E0,5.837532997E0
4.893402290E-1,1.261361122E0,-3.271361828E0,6.072512627E0
4.993402290E-1,1.476822853E0,-3.299358845E0,6.249366760E0
5.093402290E-1,1.711479187E0,-3.274740696E0,6.360048294E0
5.193402290E-1,1.929847717E0,-3.236325502E0,6.403234005E0
5.293402290E-1,2.090645790E0,-3.210368395E0,6.358233452E0
5.393402290E-1,2.217907906E0,-3.152210474E0,6.273242474E0
5.493402290E-1,2.299702644E0,-3.106539726E0,6.152748108E0
