"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.665181200E-2,-5.674578667E0,5.991029739E0,3.748356581E0
1.877657800E-2,-5.693721294E0,5.928816319E0,3.886542082E0
2.090134400E-2,-5.636891842E0,5.857629776E0,4.016352654E0
2.302610900E-2,-5.560321808E0,5.796014786E0,4.150949001E0
2.515087500E-2,-5.469992638E0,5.758925915E0,4.295714855E0
2.727564100E-2,-5.370092392E0,5.702096462E0,4.473381996E0
2.940040700E-2,-5.261219025E0,5.678766251E0,4.708476543E0
3.148458200E-2,-5.209175110E0,5.632106304E0,4.952544689E0
3.356903600E-2,-5.185844898E0,5.580062389E0,5.220541000E0
3.565232000E-2,-5.215157032E0,5.551946640E0,5.482554913E0
3.773624600E-2,-5.230710506E0,5.513661385E0,5.697310925E0
3.981982400E-2,-5.259424210E0,5.485546112E0,5.883352757E0
4.192478300E-2,-5.269593716E0,5.466403484E0,6.011966705E0
4.404148200E-2,-5.288736343E0,5.452046394E0,6.097510338E0
4.617955300E-2,-5.260620594E0,5.438287735E0,6.169294834E0
4.830499100E-2,-5.251049519E0,5.428716183E0,6.245865345E0
5.043456900E-2,-5.194219589E0,5.434100151E0,6.399604321E0
5.255728000E-2,-5.075176716E0,5.420341492E0,6.486942291E0
5.468208600E-2,-4.975276470E0,5.435296535E0,6.578467846E0
5.680765600E-2,-4.951348305E0,5.464010715E0,6.650252342E0
5.893308400E-2,-5.042873859E0,5.521438122E0,6.682555676E0
6.105902000E-2,-5.210371494E0,5.583053589E0,6.709474564E0
6.318153700E-2,-5.363512039E0,5.596812248E0,6.693323135E0
6.529789000E-2,-5.487938881E0,5.600999832E0,6.710670948E0
6.743630800E-2,-5.568696499E0,5.519643784E0,6.729215622E0
6.956276400E-2,-5.587240696E0,5.443073273E0,6.657430649E0
7.169078600E-2,-5.558526993E0,5.428716183E0,6.591030121E0
7.381305900E-2,-5.477170944E0,5.433502197E0,6.601199627E0
7.593834300E-2,-5.343770981E0,5.458028316E0,6.674778938E0
7.806433000E-2,-5.210371494E0,5.496912003E0,6.818946362E0
8.019001200E-2,-5.163113117E0,5.526223660E0,7.010372162E0
8.231702600E-2,-5.135595798E0,5.498108387E0,7.230511665E0
8.444714300E-2,-5.102694511E0,5.503491879E0,7.417151928E0
8.656480800E-2,-5.145765305E0,5.469992638E0,7.536194801E0
8.867958600E-2,-5.155336380E0,5.408377171E0,7.616952896E0
