"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.123017400E-2,-1.260523796E-1,8.728170395E-2,-8.150539398E-1
4.829221500E-2,-1.157329082E-1,-4.996299744E-3,-4.987850189E-1
6.527452600E-2,-2.155544758E-1,1.837625504E-1,-1.814484596E-1
8.230412800E-2,-2.255206108E-1,4.922428131E-1,-1.666812897E-1
9.930288800E-2,1.395421028E-1,6.933078766E-1,-4.043970108E-1
1.163040980E-1,1.008607864E0,-5.508437157E-1,-5.700135231E-1
1.333071100E-1,1.272030115E0,-1.724308968E0,-1.700458527E-1
1.502977420E-1,9.978377819E-1,-2.207426071E0,-2.003958225E0
1.673185850E-1,9.642677307E-1,-1.836036444E0,-1.198036671E0
1.843243950E-1,4.673280716E-1,5.198750496E-1,-2.700500488E-1
2.013301320E-1,-9.073686600E-1,1.643909931E0,-1.102668762E0
2.183412000E-1,-1.233299255E0,3.989715576E-1,-1.565787315E0
2.353285360E-1,-3.130898476E-1,-6.919412613E-1,3.574833393E0
2.523513130E-1,-1.091103554E0,-4.267883301E-2,4.147379398E0
2.693532460E-1,-9.076523781E-1,6.937189102E-1,3.407958031E0
2.863456160E-1,-6.044068336E-1,6.312184334E-1,2.458160400E0
3.033643860E-1,-3.436322212E-1,-6.385195255E-1,1.545230389E0
3.203706010E-1,-1.965494156E-1,-9.953937531E-1,5.523796082E-1
3.373627480E-1,-1.699562073E-1,-3.454177380E-1,2.331185341E-1
3.543688530E-1,9.931564331E-3,3.216526508E-1,7.822780609E-1
3.713877130E-1,-5.208091736E-1,1.169633865E-1,7.838802338E-1
3.883965730E-1,-9.577255249E-1,-2.747735977E-1,7.090144157E-1
4.053991890E-1,-8.699316978E-1,-3.821966648E-1,7.461166382E-2
4.223918340E-1,-1.133411407E0,2.063059807E-1,-2.975063086E0
4.394109080E-1,-1.367038250E0,-2.409491539E-1,-2.566220760E0
4.564162080E-1,4.356117249E-1,-8.622808456E-1,-4.234790802E-1
4.734220780E-1,-6.569671631E-2,-3.389534950E-1,-2.525110245E-1
4.904288530E-1,-1.810027599E0,-4.063053131E-1,-8.491427898E-1
5.074159650E-1,-1.960612297E0,-6.040744781E-1,-8.175439835E-1
5.244395560E-1,-8.296089172E-1,-3.114981651E-1,6.161193848E-1
5.414462500E-1,-1.302080154E0,-9.827022552E-1,1.861619949E-2
5.584507360E-1,-1.764917374E-2,-8.192782402E-1,-2.496936798E0
5.754590080E-1,3.254647255E-1,-1.160949230E0,-1.319417953E-1
5.924622420E-1,1.027382851E0,-1.888975620E0,9.346349239E-1
6.094680720E-1,-6.549739838E-1,9.171056747E-2,5.284558535E-1
6.264753450E-1,-3.369131088E-1,1.482215881E0,9.244320393E-1
6.434811950E-1,-1.050458908E0,1.083513260E0,1.025691748E0
6.604870240E-1,-1.478112698E0,-1.356220245E-1,4.165297747E-2
6.774879300E-1,-1.546536922E0,-6.462984085E-1,3.433785439E-1
6.944966690E-1,-7.304983139E-1,-1.490956306E0,-5.231759548E-1
7.115024270E-1,-1.364893913E-1,-1.665989876E0,-5.451941490E-1
7.285052950E-1,-6.660425663E-1,-2.062520981E0,-4.264585078E-1
7.455139030E-1,-1.151864529E-1,-1.148787498E0,-6.238970757E-1
7.625228750E-1,6.557230949E-1,-7.118053436E-1,1.382202148E0
7.795253170E-1,8.473966122E-1,2.409276962E-1,2.125241518E0
7.965311550E-1,1.960909367E-1,4.666414261E-1,1.430169463E0
8.135237810E-1,5.240314007E-1,5.297565460E-2,9.896774888E-1
8.305460090E-1,1.547791958E0,-5.890235901E-1,6.124255657E-1
8.475484300E-1,1.573231936E0,-9.323415756E-1,2.781915367E-1
8.645573120E-1,8.929983377E-1,-1.119381905E0,6.025275588E-1
8.815498760E-1,8.882361650E-1,-8.162946701E-1,4.532772303E-2
8.985656230E-1,8.269050121E-1,-8.770380020E-1,-1.572605073E-1
9.155712590E-1,4.701625109E-1,-5.745124817E-1,4.434089959E-1
9.325657760E-1,1.013606787E-1,1.130542755E-1,8.237970471E-1
9.495794590E-1,-1.346746683E-1,-9.431934357E-2,6.041347980E-3
9.665884820E-1,-2.371393442E-1,-7.090539932E-1,-4.681435227E-1
9.835942400E-1,3.593152165E-1,-8.793802261E-1,-3.842441738E-1
1.000599998E0,-2.511435986E0,6.893429756E0,-5.079995394E-1
1.017589205E0,-7.904815674E-1,2.672397614E0,8.289330006E-1
1.034609898E0,-4.784548879E-1,-1.422472000E-1,2.635766268E-1
1.051595076E0,4.335988462E-1,-9.931564331E-2,-8.431798220E-1
1.068622929E0,1.151594281E0,-7.302188873E-2,2.047185421E0
1.085629094E0,5.896837711E-1,-9.570407867E-2,2.817531824E-1
1.102634405E0,2.178893387E-1,-3.931140900E-2,2.643095851E-1
1.119636989E0,5.733603835E-1,1.109981537E-2,4.047067165E-1
1.136646124E0,1.469542086E-1,-2.090549469E-2,4.014033079E-1
1.153651659E0,-2.752112448E-1,-7.021331787E-2,2.676717043E-1
1.170660683E0,-5.222114921E-1,-3.679561615E-2,2.739898562E-1
1.187663602E0,-7.759953141E-1,-3.659248352E-2,-2.569365501E-2
1.204649544E0,-1.697558641E0,-8.458614349E-2,-1.442466974E0
1.221674549E0,3.247380733E0,7.702560425E-1,-6.766986847E-1
1.238680500E0,7.621721625E-1,-2.728252411E-1,-9.696669579E-1
1.255673033E0,-1.584348798E0,7.553768158E-1,1.070765018E0
1.272695068E0,-1.420157433E0,5.750913620E-1,8.198837042E-1
1.289697642E0,-3.777258396E-1,1.424551010E-1,-1.663761437E-1
1.306703369E0,1.017158151E0,-5.139799118E-1,6.675488353E-1
1.323714682E0,1.934470177E0,-8.616685867E-1,3.745512724E0
1.340714784E0,1.486262202E0,-8.095102310E-1,-1.845711708E0
1.357704042E0,7.607862353E-1,-3.609533310E-1,-4.983723462E-1
1.374726382E0,-6.391701698E-1,3.246679306E-1,-9.026488066E-1
1.391731906E0,-8.979675174E-1,3.405876160E-1,-1.026553631E0
1.408737755E0,-1.545870662E0,4.778623581E-1,-7.282769084E-1
1.425743482E0,-1.635080934E0,3.911809921E-1,-2.853528857E-1
1.442735945E0,2.692475915E-2,-4.741563797E-1,8.358216286E-1
1.459750136E0,4.902979732E-1,-2.008762360E-1,5.868331194E-1
1.476760960E0,5.505302548E-1,-7.363052368E-1,6.428754330E-1
1.493766485E0,2.158892155E-1,-1.817512512E-1,7.219847441E-1
1.510771958E0,-3.313070834E-1,3.740062714E-1,2.257225364E-1
1.527784308E0,-2.419246435E-1,6.442575455E-1,-9.634537995E-2
1.544783769E0,3.140946627E-1,4.904861450E-1,2.048642337E-1
1.561789466E0,4.279209077E-1,2.775669098E-1,-1.289240122E-1
1.578795295E0,4.153630733E-1,4.421892166E-1,1.989506483E-1
1.595800931E0,1.641716063E-2,1.515830040E0,3.699063957E-1
1.612806649E0,-3.399764895E-1,2.048516273E0,3.612929583E-1
1.629804512E0,-4.123480022E-1,2.312387466E0,3.998949379E-2
1.646821389E0,-3.724098206E-2,2.050055504E0,-2.123150080E-1
1.663823943E0,9.676814079E-3,2.052688599E0,-2.373524308E-1
1.680829996E0,9.757024050E-2,2.111783981E0,-1.263829768E-1
1.697835316E0,1.199758649E-1,2.167248726E0,8.276969194E-3
1.714836406E0,-1.203204393E-1,2.189003944E0,1.788201928E-1
1.731843538E0,-1.176624298E-1,1.836391449E0,5.825240165E-2
1.748852591E0,-7.931506634E-2,1.900585175E0,-8.434791863E-2
1.765841930E0,-1.080155373E-1,1.665493011E0,-1.229100078E-1
1.782867281E0,-4.139884710E-1,1.485150337E0,-8.258223534E-3
1.799869937E0,-3.207124472E-1,1.240344048E0,3.615614772E-2
1.816865094E0,-4.397528172E-1,1.285288811E0,1.355669200E-1
1.833881179E0,-4.761097431E-1,1.037859917E0,1.816012710E-1
1.850887129E0,-4.784283638E-1,9.793024063E-1,3.501625061E-1
1.867892785E0,-4.181910753E-1,7.427024841E-1,3.095808327E-1
1.884898127E0,-5.113451481E-1,5.100545883E-1,1.329694390E-1
1.901904180E0,-5.529946089E-1,5.097351074E-1,1.572801620E-1
