"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.461586500E-2,-1.464549452E-1,3.054326226E-4,-8.246680722E-3
3.669792700E-2,-1.427897513E-1,-4.581489135E-3,-7.024950348E-3
3.877759600E-2,-1.379028261E-1,-1.191187184E-2,-3.359758761E-3
4.086142500E-2,-1.330159009E-1,-4.581489135E-3,3.054326226E-4
4.294506100E-2,-1.293507218E-1,-5.803219974E-3,3.054326226E-4
4.506012000E-2,-1.256855279E-1,-9.468411095E-3,-2.138028387E-3
4.718702300E-2,-1.246165112E-1,-7.024950348E-3,-3.359758761E-3
4.931088400E-2,-1.221730486E-1,-5.803219974E-3,-7.024950348E-3
5.143769400E-2,-1.209513173E-1,-5.803219974E-3,-8.246680722E-3
5.355808500E-2,-1.197295859E-1,-5.803219974E-3,-7.024950348E-3
5.567034000E-2,-1.185078546E-1,-4.581489135E-3,-5.803219974E-3
5.781237900E-2,-1.197295859E-1,-2.138028387E-3,-4.581489135E-3
5.994006500E-2,-1.209513173E-1,-2.138028387E-3,-3.359758761E-3
6.206924500E-2,-1.256855279E-1,-3.359758761E-3,-4.581489135E-3
6.419082700E-2,-1.281289905E-1,-9.162978968E-4,-4.581489135E-3
6.631637600E-2,-1.305724531E-1,-9.162978968E-4,-9.468411095E-3
6.844316700E-2,-1.317941695E-1,1.527163084E-3,-9.468411095E-3
7.056811700E-2,-1.366810948E-1,1.527163084E-3,-8.246680722E-3
7.269504900E-2,-1.391245574E-1,1.527163084E-3,-8.246680722E-3
7.482200300E-2,-1.440114826E-1,2.748893574E-3,-8.246680722E-3
7.693238500E-2,-1.488984078E-1,3.970623948E-3,-8.246680722E-3
7.906668300E-2,-1.550070494E-1,3.970623948E-3,-8.246680722E-3
8.117866200E-2,-1.609629989E-1,6.414085161E-3,-7.024950348E-3
8.332577600E-2,-1.670716405E-1,2.748893574E-3,-7.024950348E-3
8.544874200E-2,-1.731802970E-1,3.970623948E-3,-8.399397135E-3
8.757759800E-2,-1.805106848E-1,6.414085161E-3,-9.621127509E-3
8.969909900E-2,-1.853975952E-1,7.635815535E-3,-8.399397135E-3
9.182478000E-2,-1.937969923E-1,6.414085161E-3,-8.399397135E-3
9.395067500E-2,-1.999056488E-1,-9.162978968E-4,-8.399397135E-3
9.607647900E-2,-2.023491114E-1,-2.046398632E-2,-8.246680722E-3
9.820223200E-2,-2.072360367E-1,-3.023782931E-2,-9.468411095E-3
1.003283610E-1,-2.145664245E-1,-1.924225502E-2,-7.177666761E-3
1.024546330E-1,-2.218967974E-1,-9.162978968E-4,-5.955935922E-3
1.045796740E-1,-2.290744632E-1,1.603521220E-2,-1.069014193E-3
1.067048570E-1,-2.339613885E-1,1.481348183E-2,3.817907767E-3
1.088303860E-1,-2.351831198E-1,3.970623948E-3,8.704829961E-3
1.109563830E-1,-2.376265824E-1,3.054326226E-4,1.114829071E-2
1.130824910E-1,-2.425135076E-1,3.970623948E-3,1.481348183E-2
1.152112040E-1,-2.449569702E-1,2.748893574E-3,1.481348183E-2
1.173436810E-1,-2.474004179E-1,3.054326226E-4,1.237002108E-2
1.194440130E-1,-2.498438805E-1,3.054326226E-4,8.704829961E-3
1.215687700E-1,-2.547308207E-1,3.054326226E-4,2.596177394E-3
1.236944910E-1,-2.571742535E-1,-9.162978968E-4,-1.069014193E-3
1.258401320E-1,-2.619084716E-1,-9.162978968E-4,-4.734205548E-3
1.279665560E-1,-2.655736506E-1,-2.138028387E-3,-4.886921961E-3
1.300912920E-1,-2.704605758E-1,-9.162978968E-4,-1.221730490E-3
1.322136050E-1,-2.753475010E-1,-9.162978968E-4,2.443460980E-3
1.343393680E-1,-2.814561725E-1,3.054326226E-4,4.886921961E-3
1.364637790E-1,-2.851213515E-1,1.527163084E-3,6.108652335E-3
1.385816270E-1,-2.936734557E-1,3.054326226E-4,6.108652335E-3
1.407166070E-1,-3.020728528E-1,1.374446787E-3,3.665191587E-3
1.428419420E-1,-3.106249869E-1,3.817907767E-3,1.221730490E-3
1.449703000E-1,-3.191770911E-1,3.817907767E-3,0.000000000E0
1.470938040E-1,-3.275764883E-1,3.817907767E-3,0.000000000E0
1.492194760E-1,-3.349068761E-1,3.817907767E-3,0.000000000E0
1.513455440E-1,-3.422372639E-1,2.596177394E-3,3.512475174E-3
1.534721410E-1,-3.471241891E-1,3.817907767E-3,4.734205548E-3
1.555971300E-1,-3.532328308E-1,3.817907767E-3,4.734205548E-3
1.577168110E-1,-3.605632186E-1,5.039638374E-3,5.955935922E-3
1.598256460E-1,-3.640756905E-1,3.817907767E-3,3.512475174E-3
1.619736970E-1,-3.689626157E-1,5.039638374E-3,3.512475174E-3
1.640994500E-1,-3.726277947E-1,6.261368748E-3,2.290744567E-3
1.662307780E-1,-3.775147200E-1,5.039638374E-3,-1.527163113E-4
1.683516270E-1,-3.848451078E-1,5.039638374E-3,2.290744567E-3
1.704777470E-1,-3.885102868E-1,5.039638374E-3,-1.527163113E-4
1.726027460E-1,-3.944662213E-1,6.261368748E-3,2.290744567E-3
1.747279700E-1,-3.981314301E-1,3.817907767E-3,3.512475174E-3
1.768536620E-1,-4.042400718E-1,2.596177394E-3,2.290744567E-3
1.789761290E-1,-4.103487432E-1,2.596177394E-3,3.512475174E-3
