"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.619543400E-2,-2.784647465E0,3.409772158E0,8.168498039E0
3.619543400E-2,-2.522633314E0,3.330210924E0,8.377271652E0
4.619543400E-2,-2.268994093E0,3.273979664E0,8.461619377E0
5.619543400E-2,-1.785643935E0,3.074777126E0,8.410173416E0
6.619543400E-2,-1.436291814E0,2.870789051E0,8.601000786E0
7.619543400E-2,-1.127019525E0,2.877369165E0,8.986245155E0
8.619543400E-2,-7.112665176E-1,2.702095032E0,9.081958771E0
9.619543400E-2,-7.399803996E-1,2.601596355E0,9.181859016E0
1.061954340E-1,-7.387840152E-1,2.730210543E0,8.866603851E0
1.161954340E-1,-1.113260746E0,2.717648268E0,7.969893932E0
1.261954340E-1,-1.579861164E0,2.623729944E0,7.534998417E0
1.361954340E-1,-1.929213285E0,2.761317253E0,7.430312634E0
1.461954340E-1,-2.274377823E0,3.032304525E0,7.411767960E0
1.561954340E-1,-2.393420935E0,3.194418192E0,7.219145775E0
1.661954340E-1,-2.416750908E0,3.131606579E0,7.037291527E0
1.761954340E-1,-2.391626120E0,3.150151014E0,6.632306099E0
1.861954340E-1,-2.310270309E0,3.221935749E0,6.647261143E0
1.961954340E-1,-2.182852507E0,3.223132133E0,7.144968510E0
2.061954340E-1,-2.084746838E0,3.158525944E0,7.862216949E0
2.161954340E-1,-1.885544300E0,3.131008387E0,8.279764175E0
2.261954340E-1,-1.890329838E0,3.011965513E0,8.356334686E0
2.361954340E-1,-1.898704767E0,2.834896564E0,8.261219978E0
2.461954340E-1,-1.702493310E0,2.720639229E0,8.287541389E0
2.561954340E-1,-1.661217093E0,2.879761934E0,8.674580574E0
2.661954340E-1,-1.763510346E0,3.090330362E0,8.925827026E0
2.761954340E-1,-1.883151412E0,3.132802963E0,8.876773834E0
2.861954340E-1,-1.556531072E0,2.985046148E0,8.703892708E0
2.961954340E-1,-1.293918848E0,2.809772015E0,8.883952141E0
3.061954340E-1,-1.298106313E0,2.723630428E0,8.851051331E0
