"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.425824700E-2,-4.134030640E-1,1.681406647E-1,1.171334147E0
4.425824700E-2,-4.851797223E-1,7.803803682E-2,1.230129838E0
5.425824700E-2,-5.096143484E-1,4.291328415E-2,1.276555657E0
6.425824700E-2,-5.242751241E-1,3.695734590E-2,1.321606994E0
7.425824700E-2,-5.403103232E-1,7.467827946E-2,1.365436554E0
8.425824700E-2,-5.720753074E-1,1.721112877E-1,1.385900497E0
9.425824700E-2,-5.926920176E-1,2.913827300E-1,1.364825726E0
1.042582470E-1,-6.012440920E-1,3.740022480E-1,1.340238333E0
1.142582470E-1,-6.072000265E-1,4.360050559E-1,1.297325015E0
1.242582470E-1,-6.290385127E-1,4.517348409E-1,1.254564524E0
1.342582470E-1,-6.531676650E-1,4.419609904E-1,1.225242972E0
1.442582470E-1,-6.737843752E-1,4.053090811E-1,1.194852471E0
1.542582470E-1,-6.870706677E-1,3.455969989E-1,1.171639562E0
1.642582470E-1,-6.919575930E-1,2.932153046E-1,1.159574986E0
1.742582470E-1,-6.979135275E-1,2.689334154E-1,1.146288633E0
1.842582470E-1,-7.075346708E-1,2.506074607E-1,1.125519156E0
1.942582470E-1,-7.330383062E-1,2.516764700E-1,1.109636664E0
2.042582470E-1,-7.573201656E-1,2.528982162E-1,1.100931883E0
2.142582470E-1,-7.962628603E-1,2.602286041E-1,1.089936256E0
2.242582470E-1,-8.254316449E-1,2.698497176E-1,1.073901057E0
2.342582470E-1,-8.399397135E-1,2.868012190E-1,1.051909924E0
2.442582470E-1,-8.301658630E-1,2.965750694E-1,1.028697014E0
2.542582470E-1,-7.985535860E-1,2.939788997E-1,9.921978712E-1
2.642582470E-1,-7.509061098E-1,2.829833329E-1,9.520334601E-1
2.742582470E-1,-7.070765495E-1,2.683225572E-1,9.240863919E-1
2.842582470E-1,-6.546948552E-1,2.415972054E-1,9.022479653E-1
2.942582470E-1,-6.169738770E-1,2.159408629E-1,8.901833892E-1
3.042582470E-1,-6.072000265E-1,1.831068546E-1,8.877398968E-1
3.142582470E-1,-6.084218025E-1,1.284344196E-1,8.952230215E-1
3.242582470E-1,-6.267477274E-1,8.704829961E-2,9.184358716E-1
3.342582470E-1,-6.475171447E-1,4.337143153E-2,9.552405477E-1
3.442582470E-1,-6.658431292E-1,3.237585723E-2,9.856310487E-1
3.542582470E-1,-6.817256212E-1,1.298088674E-2,1.023504734E0
3.642582470E-1,-6.866125464E-1,-2.214386500E-2,1.052978992E0
3.742582470E-1,-6.914994717E-1,-4.520402849E-2,1.076191902E0
3.842582470E-1,-6.951646209E-1,-5.742133409E-2,1.107956886E0
3.942582470E-1,-6.795876026E-1,-6.704246253E-2,1.150717378E0
4.042582470E-1,-6.528622508E-1,-9.483683109E-2,1.192256212E0
4.142582470E-1,-6.249151230E-1,-1.362229437E-1,1.220508814E0
4.242582470E-1,-5.933028460E-1,-1.835650057E-1,1.252426505E0
4.342582470E-1,-5.838344693E-1,-1.456913650E-1,1.303586483E0
4.442582470E-1,-5.949827433E-1,-4.566217586E-2,1.403462887E0
4.542582470E-1,-5.965099335E-1,-6.979135424E-2,1.488983989E0
4.642582470E-1,-5.879577994E-1,-1.488984078E-1,1.534340739E0
4.742582470E-1,-5.820018649E-1,-2.133446932E-1,1.555262923E0
4.842582470E-1,-5.795583725E-1,-2.290744632E-1,1.587027907E0
4.942582470E-1,-5.907067060E-1,-2.448042482E-1,1.628566742E0
5.042582470E-1,-6.223189831E-1,-2.664899528E-1,1.678657651E0
5.142582470E-1,-6.528622508E-1,-2.944370508E-1,1.706757545E0
5.242582470E-1,-6.747006774E-1,-3.274237812E-1,1.712866187E0
5.342582470E-1,-6.747006774E-1,-3.346014321E-1,1.712866187E0
5.442582470E-1,-6.649268270E-1,-3.152064681E-1,1.693318486E0
5.542582470E-1,-5.820018649E-1,-3.714060783E-1,1.587333322E0
5.642582470E-1,-4.721988440E-1,-4.068362415E-1,1.474170566E0
5.742582470E-1,-3.953825235E-1,-3.704897761E-1,1.409418821E0
5.842582470E-1,-2.979495227E-1,-3.184134960E-1,1.289842010E0
5.942582470E-1,-2.269364446E-1,-3.003929853E-1,1.136209369E0
6.042582470E-1,-1.913535446E-1,-3.129157126E-1,9.885326624E-1
6.142582470E-1,-1.751656085E-1,-3.654501438E-1,8.776606321E-1
6.242582470E-1,-1.797471046E-1,-4.327980280E-1,7.495316267E-1
6.342582470E-1,-1.818851233E-1,-4.621195495E-1,6.470590234E-1
6.442582470E-1,-1.792889535E-1,-4.622722864E-1,5.922338367E-1
6.542582470E-1,-1.670716405E-1,-4.502076805E-1,5.543602109E-1
6.642582470E-1,-1.548543423E-1,-4.599815309E-1,5.250386596E-1
6.742582470E-1,-1.632537395E-1,-4.466952085E-1,5.042692423E-1
6.842582470E-1,-1.925752759E-1,-4.260784984E-1,5.041165352E-1
6.942582470E-1,-2.715296149E-1,-3.969096839E-1,5.051855445E-1
7.042582470E-1,-3.955352604E-1,-3.349068761E-1,4.889976382E-1
7.142582470E-1,-5.050328374E-1,-2.388483137E-1,4.628831446E-1
7.242582470E-1,-6.178901792E-1,-8.827003092E-2,3.585779071E-1
7.342582470E-1,-6.820310354E-1,6.093380973E-2,1.835650057E-1
7.442582470E-1,-7.035640478E-1,1.432479024E-1,-4.734205548E-3
7.542582470E-1,-6.714936495E-1,3.303253949E-1,-1.954768747E-1
7.642582470E-1,-5.839871764E-1,5.213735104E-1,-2.116648108E-1
7.742582470E-1,-4.285219610E-1,6.032294035E-1,-1.285871267E-1
7.842582470E-1,-2.658790946E-1,6.339253783E-1,-6.856962293E-2
7.942582470E-1,-6.154467165E-2,6.352998614E-1,-2.901609987E-2
8.042582470E-1,1.463022232E-1,5.027421117E-1,-1.252273750E-2
8.142582470E-1,2.874121070E-1,3.982841372E-1,1.847867295E-2
8.242582470E-1,4.273002446E-1,2.341141105E-1,3.375030309E-2
8.342582470E-1,5.612324476E-1,1.513418704E-1,-7.330383174E-3
8.442582470E-1,6.330091357E-1,4.795292020E-2,2.229658142E-2
8.542582470E-1,5.853615999E-1,-8.200865984E-2,1.189660057E-1
8.642582470E-1,4.746423066E-1,-2.414444834E-1,1.740965992E-1
8.742582470E-1,4.112650156E-1,-3.107776940E-1,2.083050460E-1
8.842582470E-1,4.053090811E-1,-3.556762934E-1,2.121229619E-1
8.942582470E-1,4.150829315E-1,-3.727805018E-1,1.828014255E-1
9.042582470E-1,4.407392740E-1,-2.926044464E-1,1.253800988E-1
9.142582470E-1,4.554000497E-1,-1.881465018E-1,6.169738993E-2
9.242582470E-1,4.445571899E-1,-4.474587739E-2,-2.779436857E-2
9.342582470E-1,4.071416855E-1,9.132435173E-2,-1.319468915E-1
9.442582470E-1,3.500257730E-1,2.238821089E-1,-1.837177277E-1
9.542582470E-1,2.892446816E-1,2.991712391E-1,-1.863138974E-1
9.642582470E-1,2.015855312E-1,3.625485301E-1,-1.609629989E-1
9.742582470E-1,1.392772794E-1,4.648684561E-1,-1.186605766E-1
9.842582470E-1,1.368338168E-1,5.319108963E-1,-7.360926270E-2
9.942582470E-1,2.119702399E-1,6.562219858E-1,-7.941247895E-3
1.004258247E0,2.325869352E-1,7.049384713E-1,-1.404990070E-2
1.014258247E0,1.754710376E-1,7.037167549E-1,5.345070735E-3
1.024258247E0,4.031710699E-2,7.000515461E-1,5.879577994E-2
1.034258247E0,-1.119410545E-1,6.659958363E-1,1.246165112E-1
1.044258247E0,-2.567161322E-1,6.404922009E-1,1.927279830E-1
1.054258247E0,-3.407101035E-1,5.980370641E-1,2.512183189E-1
1.064258247E0,-4.039346576E-1,6.223189831E-1,2.302961946E-1
1.074258247E0,-4.269948006E-1,6.076582074E-1,1.974621862E-1
1.084258247E0,-4.367686510E-1,5.564982295E-1,2.145664245E-1
1.094258247E0,-4.369213581E-1,4.983133376E-1,2.941316068E-1
1.104258247E0,-4.189008474E-1,4.364632070E-1,3.845396638E-1
1.114258247E0,-4.214970171E-1,3.782783151E-1,4.909829497E-1
1.124258247E0,-4.338670373E-1,4.088215530E-1,5.751296282E-1
1.134258247E0,-4.425718784E-1,4.674646258E-1,6.322455406E-1
1.144258247E0,-4.439463317E-1,5.477933884E-1,6.638578176E-1
1.154258247E0,-4.415028691E-1,5.989533663E-1,6.832527518E-1
1.164258247E0,-4.379903674E-1,6.185010672E-1,7.089090943E-1
1.174258247E0,-4.222606122E-1,5.942191482E-1,7.443392873E-1
1.184258247E0,-3.930917978E-1,5.615378618E-1,7.787004709E-1
1.194258247E0,-3.445279896E-1,5.117523670E-1,8.228355050E-1
1.204258247E0,-2.984076738E-1,4.546364546E-1,8.620835543E-1
1.214258247E0,-2.559525371E-1,4.060726762E-1,9.062185884E-1
1.224258247E0,-2.304489166E-1,3.866777122E-1,9.465357065E-1
1.234258247E0,-2.075414658E-1,3.747658134E-1,1.018617749E0
1.244258247E0,-1.980730593E-1,3.530801237E-1,1.111469269E0
1.254258247E0,-2.055561543E-1,3.312416673E-1,1.179886222E0
1.264258247E0,-2.312124968E-1,2.985603809E-1,1.253190041E0
1.274258247E0,-2.617557645E-1,2.548835278E-1,1.302059293E0
1.284258247E0,-2.874121070E-1,1.928807050E-1,1.360702276E0
1.294258247E0,-2.837468982E-1,1.588249654E-1,1.338863850E0
1.304258247E0,-2.179261744E-1,1.915062517E-1,1.276708364E0
1.314258247E0,-1.070541367E-1,3.034473062E-1,1.187522054E0
1.324258247E0,1.221730467E-2,4.043927789E-1,1.138652802E0
1.334258247E0,1.823432744E-1,5.954409242E-1,1.138500094E0
1.344258247E0,3.315471113E-1,7.480044961E-1,1.231198907E0
1.354258247E0,4.115704596E-1,8.382598162E-1,1.330006361E0
1.364258247E0,4.526511431E-1,1.079398870E0,1.411251426E0
1.374258247E0,4.111123085E-1,1.446987033E0,1.405448198E0
1.384258247E0,2.916881442E-1,1.807092071E0,1.388496757E0
1.394258247E0,1.797471046E-1,2.008983135E0,1.392772794E0
1.404258247E0,3.130684420E-2,2.109928608E0,1.400866747E0
1.414258247E0,-6.963863969E-2,1.993253350E0,1.444849014E0
1.424258247E0,-1.463022232E-1,1.741424084E0,1.501506805E0
1.434258247E0,-1.910481006E-1,1.302059293E0,1.512196898E0
1.444258247E0,-8.628471941E-2,8.263479471E-1,1.534188032E0
1.454258247E0,9.498954564E-2,4.321871698E-1,1.550070524E0
1.464258247E0,3.798054755E-1,6.597344577E-2,1.578323126E0
1.474258247E0,6.436992288E-1,-8.842274547E-2,1.571756244E0
1.484258247E0,8.480336666E-1,-5.436700583E-2,1.529453874E0
1.494258247E0,9.601274729E-1,4.780020565E-2,1.478141189E0
1.504258247E0,1.016021609E0,2.206750661E-1,1.452179432E0
1.514258247E0,9.529497623E-1,2.083050460E-1,1.389718413E0
1.524258247E0,8.275696635E-1,2.411390543E-1,1.430951834E0
1.534258247E0,6.401867867E-1,4.028656185E-1,1.426675797E0
1.544258247E0,4.382958114E-1,6.035348773E-1,1.407433510E0
1.554258247E0,2.472477108E-1,7.142542005E-1,1.395979762E0
1.564258247E0,1.342376322E-1,6.751587987E-1,1.382387996E0
1.574258247E0,1.389718428E-2,4.926628172E-1,1.427744746E0
1.584258247E0,-7.971791178E-2,2.200642079E-1,1.491732955E0
1.594258247E0,-1.247692257E-1,1.695151068E-2,1.528690219E0
1.604258247E0,-1.563815027E-1,-1.631010175E-1,1.547321677E0
1.614258247E0,-1.782199293E-1,-2.154827118E-1,1.525483251E0
1.624258247E0,-2.047925740E-1,-1.840231568E-1,1.468061924E0
1.634258247E0,-2.617557645E-1,-7.238753140E-2,1.359022498E0
1.644258247E0,-3.391829133E-1,9.147707373E-2,1.204626322E0
1.654258247E0,-4.605923891E-1,2.226603776E-1,1.102764487E0
1.664258247E0,-5.639813542E-1,2.614503205E-1,1.067181587E0
1.674258247E0,-6.637051105E-1,3.320052624E-1,1.042441487E0
1.684258247E0,-6.927211881E-1,4.011857510E-1,9.993755221E-1
1.694258247E0,-6.658431292E-1,4.120286107E-1,9.445503950E-1
1.704258247E0,-5.913175344E-1,4.288274050E-1,8.127561808E-1
1.714258247E0,-4.696026444E-1,3.277291954E-1,7.386888266E-1
1.724258247E0,-3.756821156E-1,2.302961946E-1,6.817256212E-1
1.734258247E0,-3.402519524E-1,1.498146951E-1,5.965099335E-1
1.744258247E0,-3.336851299E-1,9.712757170E-2,4.599815309E-1
1.754258247E0,-3.651446998E-1,8.582656831E-2,3.512475193E-1
1.764258247E0,-4.123340547E-1,5.772676691E-2,3.061962128E-1
1.774258247E0,-4.755585790E-1,4.581489484E-4,2.756529450E-1
1.784258247E0,-4.740314186E-1,-3.375030309E-2,1.976149082E-1
1.794258247E0,-4.763221741E-1,-1.093448773E-1,1.415680200E-1
1.804258247E0,-4.700607955E-1,-1.934915632E-1,1.039998084E-1
1.814258247E0,-4.676173329E-1,-2.713768780E-1,8.827003092E-2
1.824258247E0,-4.784601927E-1,-3.335324228E-1,6.520986557E-2
1.834258247E0,-4.929682612E-1,-3.761402667E-1,4.214970022E-2
1.844258247E0,-5.025894046E-1,-4.199698567E-1,1.038470957E-2
1.854258247E0,-5.073235631E-1,-4.395175576E-1,-1.389718428E-2
1.864258247E0,-4.842634201E-1,-4.407392740E-1,-4.199698567E-2
1.874258247E0,-4.329507351E-1,-4.494441152E-1,-9.071348608E-2
1.884258247E0,-3.793473244E-1,-5.054910183E-1,-1.404990107E-1
1.894258247E0,-3.353650272E-1,-5.676465034E-1,-1.829541475E-1
1.904258247E0,-2.622139156E-1,-6.407976151E-1,-2.498438805E-1
1.914258247E0,-1.672243625E-1,-7.040221691E-1,-2.959642112E-1
1.924258247E0,-5.650503561E-2,-7.041749358E-1,-3.347541690E-1
1.934258247E0,4.092797264E-2,-7.078400850E-1,-3.908010423E-1
1.944258247E0,6.414084882E-2,-7.565566301E-1,-4.101960063E-1
1.954258247E0,5.940664560E-2,-7.663304210E-1,-4.576907754E-1
1.964258247E0,2.916881628E-2,-7.593054771E-1,-5.140430927E-1
1.974258247E0,-1.084285788E-2,-7.278459668E-1,-5.971207619E-1
1.984258247E0,-5.558873713E-2,-6.951646209E-1,-6.754642725E-1
1.994258247E0,-9.560041130E-2,-6.466008425E-1,-7.475463152E-1
2.004258247E0,-1.258382350E-1,-5.884159207E-1,-8.185594082E-1
2.014258247E0,-1.438587606E-1,-5.167919993E-1,-9.140071273E-1
2.024258247E0,-1.583668143E-1,-4.696026444E-1,-1.010676503E0
2.034258247E0,-1.678352207E-1,-4.746423066E-1,-1.085049391E0
2.044258247E0,-1.979203373E-1,-5.479460955E-1,-1.172861218E0
2.054258247E0,-2.524400651E-1,-7.134906054E-1,-1.223868489E0
2.064258247E0,-2.948952019E-1,-8.743008971E-1,-1.228450060E0
2.074258247E0,-2.826778889E-1,-1.053131700E0,-1.247539520E0
2.084258247E0,-1.159116775E-1,-1.172403097E0,-1.283580542E0
2.094258247E0,2.235766798E-1,-1.149343014E0,-1.355051875E0
2.104258247E0,5.664247870E-1,-9.836457372E-1,-1.398728728E0
2.114258247E0,9.482156038E-1,-6.548475623E-1,-1.412320495E0
2.124258247E0,1.166752577E0,-2.944370508E-1,-1.373683214E0
2.134258247E0,1.209055066E0,-2.046398632E-2,-1.313207507E0
2.144258247E0,1.147815824E0,2.730567753E-1,-1.216385365E0
2.154258247E0,1.013730884E0,4.667010605E-1,-1.114523649E0
2.164258247E0,8.943067193E-1,5.300782919E-1,-1.035416603E0
2.174258247E0,7.591527700E-1,4.998404980E-1,-9.538660645E-1
2.184258247E0,6.873761415E-1,3.685044646E-1,-8.889616728E-1
2.194258247E0,6.887505651E-1,1.322523206E-1,-9.078984857E-1
2.204258247E0,7.664831877E-1,7.651086897E-2,-8.710938692E-1
2.214258247E0,8.503243923E-1,-1.461495161E-1,-8.265006542E-1
2.224258247E0,9.402743578E-1,-2.432770878E-1,-7.722864151E-1
2.234258247E0,9.718865752E-1,-2.846632004E-1,-7.454082966E-1
2.244258247E0,9.547823668E-1,-2.492330223E-1,-7.454082966E-1
2.254258247E0,8.660541773E-1,-1.715004146E-1,-7.495316267E-1
2.264258247E0,7.029531598E-1,-2.428189293E-2,-7.525860071E-1
2.274258247E0,5.412266254E-1,1.021672115E-1,-7.591527700E-1
2.284258247E0,3.332269788E-1,2.565633953E-1,-7.733554244E-1
2.294258247E0,1.605048478E-1,3.866777122E-1,-7.764097452E-1
2.304258247E0,5.100724846E-2,4.621195495E-1,-7.719809413E-1
2.314258247E0,-4.749477282E-2,5.082398653E-1,-7.635815740E-1
2.324258247E0,-9.743300825E-2,5.094616413E-1,-7.392996550E-1
2.334258247E0,-1.047633886E-1,4.851797223E-1,-7.087563872E-1
2.344258247E0,-8.307767659E-2,4.318817258E-1,-6.536257863E-1
2.354258247E0,-5.039638281E-2,3.869831264E-1,-5.984952450E-1
2.364258247E0,-4.199698567E-2,3.529273868E-1,-5.496259928E-1
2.374258247E0,-5.299255997E-2,3.263547719E-1,-5.044219494E-1
2.384258247E0,-9.330966324E-2,2.971859276E-1,-4.288274050E-1
2.394258247E0,-1.432479024E-1,2.791654170E-1,-3.616322279E-1
2.404258247E0,-1.811215430E-1,2.791654170E-1,-3.165809214E-1
2.414258247E0,-2.055561543E-1,2.780964077E-1,-2.591595948E-1
2.424258247E0,-2.057088763E-1,2.929098904E-1,-2.006692290E-1
2.434258247E0,-1.754710376E-1,3.307835162E-1,-1.336267740E-1
2.444258247E0,-1.501201391E-1,3.831652105E-1,-8.109235764E-2
2.454258247E0,-1.320996135E-1,4.599815309E-1,-1.908953860E-2
2.464258247E0,-1.469130963E-1,5.441282392E-1,5.039638281E-2
2.474258247E0,-1.811215430E-1,6.258314252E-1,1.050688252E-1
2.484258247E0,-2.444988191E-1,7.548767328E-1,1.608102769E-1
2.494258247E0,-3.407101035E-1,8.692612648E-1,1.945605874E-1
2.504258247E0,-4.540255964E-1,9.434813857E-1,2.160935849E-1
2.514258247E0,-6.473644376E-1,9.518807530E-1,2.243402600E-1
2.524258247E0,-8.600982428E-1,8.179485798E-1,2.205223590E-1
2.534258247E0,-1.011898279E0,5.221370459E-1,2.368630022E-1
2.544258247E0,-1.023962855E0,1.985312104E-1,2.655736506E-1
2.554258247E0,-8.828529716E-1,-1.797471046E-1,3.144428730E-1
2.564258247E0,-6.397286057E-1,-4.654793143E-1,3.886630237E-1
2.574258247E0,-4.428772926E-1,-6.136141419E-1,4.834998548E-1
2.584258247E0,-2.400700450E-1,-6.667594314E-1,6.316346526E-1
2.594258247E0,-1.298088580E-1,-6.006332636E-1,7.658722997E-1
2.604258247E0,-1.093448773E-1,-4.812090993E-1,8.365799785E-1
2.614258247E0,-1.375973970E-1,-2.474004179E-1,8.785769343E-1
2.624258247E0,-1.974621862E-1,6.780604273E-2,9.132435322E-1
2.634258247E0,-2.524400651E-1,4.317290187E-1,9.573785663E-1
2.644258247E0,-2.843577862E-1,6.995934248E-1,1.010523796E0
2.654258247E0,-3.309362531E-1,8.701775670E-1,1.102764487E0
2.664258247E0,-3.688098788E-1,7.803803682E-1,1.221272349E0
2.674258247E0,-3.579670191E-1,5.384777188E-1,1.320843339E0
2.684258247E0,-2.522873580E-1,1.285871267E-1,1.442710996E0
2.694258247E0,-2.733621933E-2,-2.556470931E-1,1.536784291E0
2.704258247E0,3.010038435E-1,-4.743368626E-1,1.579392076E0
2.714258247E0,5.977316499E-1,-4.815145433E-1,1.583668113E0
2.724258247E0,9.187413454E-1,-3.329215646E-1,1.564273119E0
2.734258247E0,1.103528023E0,-7.727445662E-2,1.536020637E0
2.744258247E0,1.119105101E0,1.904372424E-1,1.525635958E0
2.754258247E0,9.937250614E-1,5.044219494E-1,1.533271790E0
2.764258247E0,7.855727077E-1,7.087563872E-1,1.558011770E0
2.774258247E0,6.079636216E-1,7.573201656E-1,1.572214365E0
