"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.338298600E-1,1.377629280E0,-2.751946449E-1,-9.551973343E-1
1.508383130E-1,1.807431221E0,-7.049078941E-1,-1.123208046E0
1.678399100E-1,1.907695770E0,-8.243522644E-1,-7.819266319E-1
1.848392710E-1,1.921883225E0,-8.086524010E-1,-5.228834152E-1
2.018571330E-1,1.758449793E0,-8.199427128E-1,-3.360395432E-1
2.188551200E-1,1.460710406E0,-7.835142612E-1,-4.359521866E-1
2.358467690E-1,1.088370442E0,-7.649488449E-1,-4.164505005E-1
2.528646120E-1,6.841661930E-1,-8.735542297E-1,-5.158424377E-3
2.698700540E-1,4.789662361E-1,-1.094307423E0,2.750959396E-1
2.868751110E-1,4.390628338E-1,-9.749193192E-1,3.307418823E-1
3.038829040E-1,2.612702847E-1,-7.259619236E-1,-3.282623291E-1
3.208819270E-1,1.065726280E-1,-3.708930016E-1,-1.173865318E0
3.378770650E-1,2.180814743E-3,-2.837684155E-1,-1.431619167E0
3.548951930E-1,-1.413798332E-2,-4.392132759E-1,-1.343630314E0
3.718998930E-1,6.695652008E-2,-6.452794075E-1,-1.228022099E0
3.889084680E-1,5.408287048E-2,-7.387862206E-1,-1.052031517E0
4.059102390E-1,1.088423729E-1,-7.671220303E-1,-1.097403049E0
4.229152550E-1,9.579205513E-2,-7.382533550E-1,-1.223848343E0
4.399195990E-1,1.789875031E-1,-6.923019886E-1,-1.306547165E0
4.569285820E-1,1.486792564E-1,-7.972416878E-1,-1.315188408E0
4.739195090E-1,2.718667984E-1,-9.829671383E-1,-1.107172489E0
4.909311260E-1,5.119924545E-1,-9.262137413E-1,-8.730258942E-1
5.079401280E-1,7.705336809E-1,-7.451434135E-1,-9.400148392E-1
5.249489590E-1,1.028403044E0,-4.956505299E-1,-1.089992523E0
5.419536590E-1,1.248102784E0,-3.526253700E-1,-1.047019958E0
5.589554090E-1,1.491092563E0,-1.877224445E-1,-1.212607384E0
5.759569050E-1,1.737462878E0,1.166033745E-2,-1.349910259E0
5.929653580E-1,1.930314064E0,9.143209457E-2,-1.163727760E0
6.099705070E-1,2.094939709E0,8.042788506E-2,-8.037843704E-1
6.269622270E-1,2.258170128E0,8.999347687E-3,-4.556188583E-1
6.439805890E-1,2.241356850E0,-1.188805103E-1,8.102540970E-1
6.609854610E-1,1.801283836E0,2.967681885E-1,2.680011749E0
6.779903850E-1,1.348540068E0,6.432237625E-1,4.404982567E0
6.949987790E-1,1.220520735E0,9.312846661E-1,5.190513611E0
7.119995820E-1,9.934544563E-1,1.045761347E0,4.994486809E0
7.290023490E-1,3.187463284E-1,8.547539711E-1,4.511836052E0
7.460104580E-1,-2.115132809E-1,1.463975191E0,1.897318840E0
7.630202740E-1,-7.900900841E-1,1.408803940E0,1.678648949E0
7.800234180E-1,-1.095941782E0,1.127877712E0,2.030082703E0
7.970256770E-1,-1.700836420E0,9.948222637E-1,2.712784767E0
8.140132870E-1,-1.997809172E0,4.673607349E-1,3.999420166E0
8.310327880E-1,-1.699771166E0,-5.098779202E-1,4.149978638E0
8.480405500E-1,-1.078071356E0,-1.542478681E0,2.705801010E0
8.650456980E-1,-5.305676460E-1,-2.221961975E0,7.327632904E-1
8.820534500E-1,-4.281196594E-1,-2.183785439E0,-1.177959442E-1
8.990492590E-1,-7.369916439E-1,-1.722670078E0,-2.055988312E-1
9.160604090E-1,-9.877874851E-1,-1.938927412E0,1.551599503E-1
9.330690050E-1,-1.077606678E0,-2.407860279E0,8.587131500E-1
9.500705920E-1,-1.031018734E0,-2.713372231E0,8.907499313E-1
9.670625570E-1,-2.908356190E-1,-3.191072702E0,6.186895370E-1
9.840833600E-1,3.386005163E-1,-3.748017073E0,5.840826035E-1
1.001085761E0,4.313489199E-1,-3.269151926E0,-3.405351639E-1
1.018075904E0,9.124954939E-1,-2.686217070E0,-2.545179367E0
1.035095762E0,1.345626712E0,-2.781817675E0,-3.694101810E0
1.052100024E0,1.403584719E0,-2.722208977E0,-4.177702904E0
1.069097623E0,1.466541529E0,-2.021877766E0,-4.296510696E0
1.086110666E0,1.217380404E0,-1.675940633E0,-3.866883278E0
1.103113432E0,1.093629718E0,-1.545432210E0,-3.807725906E0
1.120107543E0,1.208189607E0,-1.623644710E0,-4.050127506E0
1.137130778E0,1.290494680E0,-1.746468663E0,-3.889812469E0
1.154130981E0,1.617924452E0,-2.004156828E0,-3.448645592E0
1.171132600E0,1.856008768E0,-2.384618044E0,-3.512526035E0
1.188140635E0,1.531377316E0,-2.625849009E0,-2.733751297E0
1.205145947E0,1.590811253E0,-2.505041361E0,-9.398260117E-1
1.222151745E0,7.199560404E-1,-9.024255276E-1,4.143686295E-1
1.239155967E0,3.025382757E-1,7.068395615E-3,1.594124794E0
1.256147607E0,4.670817852E-1,2.300994396E-1,2.069764137E0
1.273165988E0,6.732363701E-1,9.443354607E-2,2.439494133E0
1.290171003E0,1.138832808E0,2.507786751E-1,2.984020233E0
1.307175999E0,1.407387376E0,3.567254543E-1,3.512557030E0
1.324184117E0,1.285346270E0,5.534441471E-1,3.417347908E0
1.341186050E0,1.119684696E0,1.642575264E-1,3.869986534E0
1.358175877E0,9.194608927E-1,1.542444229E-1,4.600147247E0
1.375195918E0,8.436742425E-1,2.455465794E-1,5.052865028E0
1.392201046E0,9.299529791E-1,2.305369377E-1,4.775356293E0
1.409204311E0,1.011015415E0,-1.785728931E-1,5.064339638E0
1.426211260E0,6.871344447E-1,-8.080949783E-1,5.197134972E0
1.443216204E0,-1.744656563E-1,-1.568977118E0,6.715511322E0
1.460217567E0,-2.942340970E-1,-2.187400579E0,6.755049706E0
1.477226713E0,8.725422621E-2,-2.312347889E0,4.785818100E0
1.494220589E0,8.649532199E-1,-2.612810135E0,2.284962654E0
1.511234658E0,1.139254332E0,-2.482034445E0,5.482654572E-1
1.528244201E0,1.475857496E0,-2.731180429E0,-2.705812454E-1
1.545252431E0,1.180405378E0,-3.074439049E0,-2.519073486E-1
1.562254507E0,7.433843017E-1,-3.224827528E0,-6.856632233E-2
1.579256337E0,5.548745990E-1,-3.266809702E0,-5.502014160E-1
1.596260286E0,2.785644829E-1,-3.305996180E0,-1.518581390E0
1.613266318E0,1.435653567E-1,-3.334377766E0,-2.848558903E0
1.630271354E0,-1.399224997E-2,-3.287483692E0,-4.015275478E0
