"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.066091000E-2,-2.310868502E0,3.112463951E0,9.250652313E0
3.066091000E-2,-1.833500385E0,3.057429075E0,9.600004196E0
4.066091000E-2,-1.561316729E0,3.182454109E0,9.540781975E0
5.066091000E-2,-1.303490162E0,3.465405464E0,9.357132912E0
6.066091000E-2,-1.206580877E0,3.626920938E0,8.842676163E0
7.066091000E-2,-1.368096352E0,3.716651678E0,8.544769287E0
8.066091000E-2,-1.875374794E0,3.934398651E0,8.380861282E0
9.066091000E-2,-2.054836512E0,4.240679741E0,8.822337151E0
1.006609100E-1,-2.419143677E0,4.192225456E0,9.233304024E0
1.106609100E-1,-2.428116798E0,3.876971006E0,9.262018204E0
1.206609100E-1,-2.054836512E0,3.644268990E0,9.348159790E0
1.306609100E-1,-1.570888042E0,3.492922783E0,9.339784622E0
1.406609100E-1,-1.111466169E0,3.427120209E0,9.211769104E0
1.506609100E-1,-9.146564603E-1,3.437289715E0,8.927620888E0
1.606609100E-1,-8.608179688E-1,3.513261795E0,8.579465866E0
1.706609100E-1,-9.367900491E-1,3.602992773E0,8.258827209E0
1.806609100E-1,-1.070189953E0,3.649652719E0,8.133204460E0
1.906609100E-1,-1.183848977E0,3.567698479E0,7.988438606E0
2.006609100E-1,-1.264606714E0,3.476771355E0,7.844869137E0
2.106609100E-1,-1.254437327E0,3.514458179E0,7.730013371E0
2.206609100E-1,-1.004985452E0,3.448057413E0,7.418348312E0
2.306609100E-1,-9.248259664E-1,3.735196114E0,7.480561733E0
2.406609100E-1,-8.452646136E-1,3.999004841E0,7.734200954E0
2.506609100E-1,-8.656035662E-1,4.066602230E0,7.996214867E0
2.606609100E-1,-8.919246197E-1,4.153940201E0,8.697312355E0
2.706609100E-1,-8.931210637E-1,4.159324169E0,9.045467377E0
2.806609100E-1,-1.205384374E0,4.259224415E0,9.357132912E0
2.906609100E-1,-1.091127157E0,4.587040901E0,1.040279675E1
3.006609100E-1,-6.502495408E-1,4.734199524E0,1.147179031E1
3.106609100E-1,-4.785645306E-1,4.429712772E0,1.184686470E1
3.206609100E-1,-3.774677813E-1,3.842873096E0,1.216451168E1
3.306609100E-1,-1.280160099E-1,3.365504980E0,1.224467182E1
3.406609100E-1,2.291127741E-1,2.529811859E0,1.210708427E1
3.506609100E-1,2.721835673E-1,1.758724689E0,1.140778160E1
3.606609100E-1,3.326023519E-1,1.332802176E0,1.099860954E1
3.706609100E-1,5.910272002E-1,1.395613790E0,1.088255692E1
3.806609100E-1,7.477570772E-1,1.425524116E0,1.121336555E1
3.906609100E-1,6.532405615E-1,1.071386337E0,1.118405342E1
4.006609100E-1,4.600201547E-1,9.158528447E-1,1.056191921E1
4.106609100E-1,3.960121572E-1,7.567301393E-1,9.783653259E0
4.206609100E-1,4.642075896E-1,6.556333899E-1,9.598209381E0
4.306609100E-1,6.951149702E-1,4.797609448E-1,9.424730301E0
4.406609100E-1,9.601200819E-1,7.357929647E-2,9.080163956E0
4.506609100E-1,1.217348576E0,-3.810569942E-1,8.492127419E0
4.606609100E-1,1.228714466E0,-6.400800347E-1,8.144570351E0
4.706609100E-1,7.908278704E-1,-7.429714203E-1,7.719843864E0
4.806609100E-1,1.230509043E0,6.340979934E-1,9.249456406E0
4.906609100E-1,1.220937729E0,2.562713146E0,1.014736271E1
5.006609100E-1,5.264210105E-1,3.709473372E0,1.091007519E1
5.106609100E-1,-3.469592705E-2,4.037888050E0,1.107996559E1
5.206609100E-1,-5.946164131E-1,3.293720484E0,1.059242725E1
5.306609100E-1,-7.633104324E-1,2.598605394E0,1.024367332E1
5.406609100E-1,-6.502495408E-1,2.044068813E0,9.883553505E0
5.506609100E-1,-7.537391186E-1,1.947159410E0,9.433703423E0
5.606609100E-1,-8.584251404E-1,2.079961061E0,9.221938133E0
5.706609100E-1,-5.922235847E-1,2.516052961E0,9.272188187E0
5.806609100E-1,-7.232306600E-1,2.955734253E0,9.369695663E0
5.906609100E-1,-8.207381964E-1,3.323630571E0,9.497113228E0
6.006609100E-1,-1.196411322E-3,2.858226538E0,9.397810936E0
6.106609100E-1,-4.313062727E-1,3.295515060E0,8.871390343E0
6.206609100E-1,-7.854440212E-1,3.771686792E0,8.565707207E0
6.306609100E-1,-1.027717352E0,3.793820381E0,8.204988480E0
6.406609100E-1,-1.140179992E0,3.677170277E0,7.654639721E0
6.506609100E-1,-1.091725349E0,3.714857101E0,7.335795879E0
6.606609100E-1,-3.900300860E-1,3.219542980E0,6.886543751E0
6.706609100E-1,1.531406492E-1,2.909672260E0,6.349354744E0
6.806609100E-1,4.947160780E-1,2.360519648E0,6.225526333E0
6.906609100E-1,2.805584669E-1,2.242672920E0,7.430910587E0
7.006609100E-1,6.819544733E-2,2.038086653E0,8.111070633E0
7.106609100E-1,-4.833501875E-1,2.151147604E0,8.472386360E0
7.206609100E-1,-1.006181955E0,2.527418852E0,8.541778564E0
7.306609100E-1,-1.274178028E0,2.698505640E0,8.547760963E0
7.406609100E-1,-1.579262972E0,2.907279491E0,8.137989998E0
7.506609100E-1,-1.398006678E0,3.041277647E0,8.106285095E0
7.606609100E-1,-1.460818172E0,3.175275564E0,8.215158463E0
7.706609100E-1,-1.542174220E0,3.170490026E0,8.209774017E0
7.806609100E-1,-1.656431437E0,3.126222849E0,8.074580193E0
7.906609100E-1,-1.853241086E0,3.159722328E0,8.249256134E0
8.006609100E-1,-1.911267042E0,3.336193085E0,8.271987915E0
8.106609100E-1,-2.109871387E0,3.214757204E0,7.764111042E0
8.206609100E-1,-1.621735573E0,3.369094372E0,7.478168964E0
8.306609100E-1,-1.506880045E0,3.560520172E0,7.398009300E0
8.406609100E-1,-1.659422517E0,3.507279873E0,7.238886833E0
8.506609100E-1,-1.511067510E0,3.211766243E0,7.408178806E0
8.606609100E-1,-1.320838094E0,3.117847919E0,7.806583881E0
8.706609100E-1,-1.264606714E0,3.218944550E0,8.136195183E0
8.806609100E-1,-1.893919110E0,3.867399693E0,8.251648903E0
8.906609100E-1,-2.060220242E0,3.646661758E0,8.293522835E0
9.006609100E-1,-2.039881229E0,3.264408350E0,8.289336205E0
9.106609100E-1,-2.294716835E0,3.426522017E0,8.458029747E0
9.206609100E-1,-2.578864574E0,3.655634880E0,8.773882866E0
9.306609100E-1,-2.627917528E0,3.684348583E0,9.102895737E0
9.406609100E-1,-2.633301258E0,3.665804386E0,9.288937569E0
9.506609100E-1,-2.790629387E0,3.536591768E0,9.435498238E0
9.606609100E-1,-2.670988321E0,3.455834150E0,9.417551994E0
9.706609100E-1,-3.323032379E0,3.964907169E0,9.533005714E0
9.806609100E-1,-3.357728481E0,4.108476639E0,9.599406242E0
9.906609100E-1,-3.246462107E0,4.007977962E0,9.486345291E0
1.000660910E0,-3.108276606E0,4.008575916E0,9.473783493E0
1.010660910E0,-3.022733212E0,4.152743816E0,9.588638306E0
1.020660910E0,-2.937788010E0,4.143770695E0,9.795019150E0
1.030660910E0,-3.014358282E0,4.077369690E0,1.000917721E1
1.040660910E0,-3.120838881E0,4.072584152E0,1.028016472E1
1.050660910E0,-3.269792080E0,4.149154663E0,1.045005512E1
1.060660910E0,-3.451646566E0,4.243670940E0,1.034716320E1
1.070660910E0,-3.675973892E0,4.424329281E0,1.021555805E1
1.080660910E0,-4.001397610E0,4.671388149E0,9.967901230E0
1.090660910E0,-4.095315933E0,4.784449100E0,9.403194427E0
1.100660910E0,-4.141975880E0,4.816751957E0,9.016156197E0
1.110660910E0,-4.060619831E0,4.831707001E0,9.035896301E0
1.120660910E0,-3.856631994E0,4.713860512E0,9.573084831E0
1.130660910E0,-4.004388809E0,4.730610371E0,1.086999512E1
1.140660910E0,-4.363312244E0,4.718048096E0,1.230209923E1
1.150660910E0,-4.564309120E0,4.371686935E0,1.397587872E1
1.160660910E0,-4.450650215E0,3.718446493E0,1.478525066E1
1.170660910E0,-4.214358807E0,3.327219963E0,1.461236954E1
1.180660910E0,-3.745365620E0,2.824727058E0,1.356850052E1
1.190660910E0,-3.375076294E0,2.712264538E0,1.176909828E1
1.200660910E0,-3.010769129E0,2.504687071E0,1.036092186E1
1.210660910E0,-2.857628345E0,2.378465652E0,9.031110764E0
1.220660910E0,-2.727219582E0,2.279761791E0,7.400402069E0
1.230660910E0,-2.245065928E0,2.264806747E0,6.399005890E0
1.240660910E0,-2.531008244E0,2.626122952E0,5.841478348E0
1.250660910E0,-1.936391711E0,2.615953445E0,6.683752060E0
