"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-1.797916484E-4,5.726791077E0,6.153553619E0,5.037175140E0
9.774208360E-3,5.582790527E0,6.380481720E0,4.601431274E0
1.972720836E-2,5.788163452E0,6.298302612E0,5.091661835E0
2.968120837E-2,5.995033264E0,6.199957123E0,5.400319977E0
3.963520838E-2,6.044729919E0,6.146667938E0,5.413193207E0
4.958920839E-2,5.823789368E0,6.060147858E0,5.677842865E0
5.954320834E-2,5.613476715E0,5.965694275E0,5.916296997E0
6.949720834E-2,5.551355896E0,5.871390381E0,6.077362061E0
7.945120835E-2,5.474864960E0,5.854325867E0,6.131699066E0
8.940520836E-2,5.392835541E0,5.809568939E0,6.028114471E0
9.935904172E-2,5.368136902E0,5.824537811E0,6.029162292E0
1.093130417E-1,5.472619629E0,5.920039215E0,6.210135956E0
1.192670417E-1,5.565426636E0,5.832770691E0,6.034551086E0
1.292210417E-1,5.315147095E0,6.111191711E0,5.721851349E0
1.391740417E-1,5.237758026E0,6.149062958E0,5.465284882E0
1.491280417E-1,5.225034485E0,6.027366028E0,5.604046326E0
1.590820417E-1,5.352269897E0,6.115981750E0,5.781876526E0
1.690360417E-1,5.532794495E0,6.110592957E0,5.771398315E0
1.789900417E-1,5.561684418E0,6.148913269E0,5.851631470E0
1.889440417E-1,5.418432312E0,6.337521057E0,6.002667389E0
1.988980417E-1,5.188809814E0,6.467750244E0,6.051016846E0
2.088520417E-1,5.012326813E0,6.900350647E0,6.044430542E0
2.188060417E-1,5.266049194E0,7.041207733E0,5.995781708E0
2.287600417E-1,5.787265320E0,6.974596252E0,5.696703644E0
2.387140417E-1,6.350244598E0,6.767576752E0,5.451363831E0
2.486680417E-1,6.691385193E0,6.526727600E0,5.139861603E0
2.586220417E-1,6.544540558E0,7.462132416E0,4.889582062E0
2.685750417E-1,6.224506073E0,8.053851929E0,4.643044739E0
2.785290417E-1,6.046077118E0,8.735534363E0,4.454886017E0
2.884830417E-1,5.945336609E0,9.048383789E0,4.309987335E0
2.984370417E-1,5.911057892E0,8.735983429E0,4.022435303E0
3.083910417E-1,6.057154083E0,8.104446716E0,4.145180054E0
3.183450417E-1,6.045178986E0,7.287894745E0,4.709207153E0
3.282990417E-1,6.023324432E0,6.441405029E0,5.167853394E0
3.382530417E-1,6.113287354E0,5.753285980E0,5.613027649E0
3.482070417E-1,6.467001801E0,5.268294525E0,5.933211823E0
3.581610417E-1,7.086713104E0,4.940925293E0,5.906567230E0
3.681150417E-1,7.463629303E0,5.700146484E0,5.365592194E0
3.780690417E-1,6.947801971E0,8.396639099E0,4.470453644E0
3.880220417E-1,6.079607391E0,9.566157074E0,4.297114105E0
3.979760417E-1,5.744304657E0,8.981921997E0,4.172423401E0
4.079300417E-1,6.108946381E0,8.407117310E0,4.647834778E0
4.178840417E-1,5.882167969E0,9.020990753E0,5.377267914E0
4.278380417E-1,5.977819061E0,8.898395691E0,5.877976685E0
4.377920417E-1,6.284381561E0,8.623716888E0,4.964576111E0
4.477460417E-1,6.291716309E0,8.333919525E0,4.200115814E0
4.577000417E-1,5.660778351E0,9.007818146E0,4.361480255E0
4.676540417E-1,5.600154419E0,9.375154266E0,4.544250183E0
4.776080417E-1,5.607489166E0,8.468339996E0,4.082610168E0
4.875620417E-1,4.591402130E0,7.981851654E0,4.108506317E0
4.975160417E-1,4.261637878E0,8.046217804E0,4.768034821E0
5.074700417E-1,4.076921997E0,8.815617828E0,5.551505585E0
5.174230417E-1,3.572920074E0,8.970845032E0,4.987328796E0
5.273770417E-1,3.264710999E0,8.035589905E0,3.890709229E0
5.373310417E-1,2.991229706E0,7.480843506E0,3.230881348E0
5.472850417E-1,2.619552612E0,7.668253784E0,2.766397247E0
5.572390417E-1,2.726280670E0,7.800877991E0,2.259401550E0
5.671930417E-1,2.452050934E0,8.717272339E0,1.800605621E0
5.771470417E-1,2.330653381E0,9.269923096E0,9.189390564E-1
5.871010417E-1,2.702779541E0,8.807534637E0,6.132746887E-1
5.970550417E-1,2.512225800E0,9.001531219E0,9.181906128E-1
6.070090417E-1,2.276466064E0,9.330547028E0,1.552421722E0
6.169630417E-1,2.472258911E0,8.723858643E0,1.904190216E0
6.269170417E-1,2.065404968E0,8.747509460E0,2.419718170E0
6.368710417E-1,1.288670197E0,8.613987122E0,2.390977936E0
6.468250417E-1,9.925859070E-1,8.344098358E0,1.782642975E0
6.567780417E-1,3.616479492E-1,8.899892578E0,8.400531006E-1
6.667320417E-1,-2.065704346E-2,9.408834229E0,-1.609153748E-1
6.766860417E-1,1.363664246E-1,1.019110748E1,-2.842588806E-1
6.866400417E-1,4.339476013E-1,1.052551208E1,-6.267466736E-1
6.965940417E-1,8.792715454E-1,9.906549225E0,-4.393363953E-1
7.065480417E-1,1.334924011E0,9.560169525E0,8.635542297E-1
7.165020417E-1,9.794132996E-1,9.971065063E0,1.527124329E0
7.264560417E-1,4.170327759E-1,9.597292328E0,9.839039612E-1
7.364100417E-1,1.392105103E-2,9.244476013E0,2.796185303E-1
7.463640417E-1,-6.900650024E-1,9.397457886E0,3.680845642E-1
7.563180417E-1,-1.302740936E0,9.503736877E0,-7.978408813E-2
7.662720417E-1,-1.745669861E0,9.936486969E0,-1.018631744E0
7.762260417E-1,-1.997595978E0,1.041504181E1,-1.371298370E0
7.861790417E-1,-1.710193634E0,1.040082138E1,-1.235231323E0
7.961330417E-1,-1.334025879E0,9.860594788E0,-8.840615845E-1
8.060870417E-1,-1.141825562E0,9.455986176E0,-2.806663513E-1
8.160410417E-1,-1.566193085E0,9.549092560E0,5.441184998E-1
8.259950417E-1,-1.778002625E0,9.211993561E0,3.207829285E-1
8.359490417E-1,-1.921703796E0,9.035809937E0,1.556762695E-2
8.459030417E-1,-2.314487000E0,9.116342468E0,8.622070312E-2
8.558570417E-1,-2.694396973E0,8.920998688E0,-1.260379028E-1
8.658110417E-1,-3.017574921E0,8.958720245E0,-1.225950623E-1
8.757650417E-1,-3.359164581E0,9.275760956E0,-4.363426208E-1
8.857190417E-1,-3.560196533E0,9.492061157E0,-9.589059448E-1
8.956730417E-1,-3.565136261E0,9.590256958E0,-9.843530273E-1
9.056270417E-1,-3.468437347E0,9.345964966E0,-5.463638306E-1
9.155810417E-1,-3.609144745E0,8.936865692E0,-3.092568970E-1
9.255340417E-1,-3.643573151E0,8.730295258E0,-2.829116821E-2
9.354880417E-1,-3.432811432E0,8.537047119E0,3.638932800E-1
9.454420417E-1,-3.303181000E0,8.545729065E0,7.827223206E-1
9.553960417E-1,-3.641178131E0,8.406069489E0,1.073268127E0
9.653500417E-1,-4.098926239E0,8.002808075E0,6.442602539E-1
9.753040417E-1,-4.185895386E0,7.828420715E0,6.475534058E-1
9.852580417E-1,-4.180955658E0,7.951464844E0,8.068222046E-1
9.952120417E-1,-4.581822052E0,7.877668304E0,2.098635864E-1
1.005166042E0,-5.170098724E0,7.953710175E0,-3.044668579E-1
1.015120042E0,-4.816533966E0,7.871531067E0,5.354365540E-1
1.025074042E0,-4.411326599E0,7.594906311E0,7.999365234E-1
1.035028042E0,-4.638853455E0,7.503296814E0,8.330177307E-1
1.044982042E0,-4.640949097E0,7.525600433E0,9.527687073E-1
1.054936042E0,-4.559518433E0,7.510032806E0,1.045875092E0
1.064889042E0,-4.680317230E0,7.453300781E0,1.129700775E0
1.074843042E0,-4.908442841E0,7.396419067E0,1.049018555E0
1.084797042E0,-5.209466858E0,7.412136383E0,7.306306458E-1
1.094751042E0,-5.250780945E0,7.576045532E0,5.536985779E-1
1.104705042E0,-4.993765411E0,7.628436584E0,4.269122314E-1
1.114659042E0,-5.064268799E0,7.475454712E0,-3.499722290E-1
1.124613042E0,-5.314548340E0,7.820936279E0,-6.384223938E-1
1.134567042E0,-5.191803589E0,7.852370911E0,-2.381547546E-1
1.144521042E0,-5.269492035E0,7.492818604E0,-4.647834778E-1
1.154475042E0,-5.568570099E0,7.522007904E0,-4.432283020E-1
1.164429042E0,-5.613626404E0,7.360942841E0,6.107299805E-2
1.174383042E0,-5.833070068E0,7.066205750E0,2.005828857E-1
1.184337042E0,-6.200106812E0,6.897207184E0,3.851490784E-1
1.194291042E0,-6.584357758E0,6.783294067E0,9.193881226E-1
1.204244042E0,-7.128476257E0,6.695875854E0,8.234376526E-1
1.214198042E0,-7.633526001E0,6.574927368E0,2.582130432E-1
1.224152042E0,-7.752977600E0,6.705455933E0,1.546284485E-1
1.234106042E0,-7.710166626E0,6.874753876E0,1.927990723E-1
1.244060042E0,-7.437733154E0,6.865622864E0,-5.628295898E-2
1.254014042E0,-7.340585175E0,6.970255280E0,-1.477427673E-1
1.263968042E0,-7.150929565E0,7.084467773E0,9.580078125E-3
1.273922042E0,-7.022346954E0,6.993756409E0,-2.844085693E-3
1.283876042E0,-6.946454773E0,6.946005707E0,2.784210205E-2
1.293830042E0,-6.983278198E0,6.926695862E0,3.397933960E-1
1.303784042E0,-7.148684235E0,6.802304535E0,4.023632813E-1
1.313738042E0,-7.389383698E0,6.817572784E0,2.893482971E-1
1.323692042E0,-7.526348877E0,6.900500336E0,3.207829285E-1
1.333646042E0,-7.415878601E0,7.061565399E0,3.475772095E-1
1.343600042E0,-7.506589966E0,7.050189056E0,1.857637024E-1
1.353553042E0,-7.630681915E0,7.069199524E0,-2.186952209E-1
1.363507042E0,-7.565417633E0,7.474706268E0,-1.586700439E-2
1.373461042E0,-7.223827972E0,7.486681366E0,3.757186890E-2
1.383415042E0,-6.999145203E0,7.425458679E0,1.083746338E-1
1.393369042E0,-6.850354614E0,7.421566772E0,2.499801636E-1
1.403323042E0,-6.814429321E0,7.344177704E0,3.674858093E-1
1.413277042E0,-6.841522980E0,7.163353729E0,4.887336731E-1
1.423231042E0,-7.021748199E0,7.050189056E0,6.918612671E-1
1.433185042E0,-7.289391632E0,6.942413177E0,6.936575317E-1
1.443139042E0,-7.465724945E0,6.803951111E0,5.954617310E-1
1.453093042E0,-7.760312347E0,6.738387451E0,6.827302551E-1
1.463047042E0,-7.677684174E0,6.605314178E0,6.486012268E-1
1.473001042E0,-7.360344086E0,6.351142731E0,1.013242950E0
1.482955042E0,-6.880292358E0,6.405330048E0,5.938151550E-1
1.492909042E0,-6.586902466E0,6.843019867E0,5.939648438E-1
1.502862042E0,-6.375691681E0,7.014563141E0,5.043013000E-1
1.512816042E0,-6.880142670E0,7.001839600E0,6.002517700E-1
1.522770042E0,-7.568710785E0,6.674769745E0,4.872367859E-1
1.532724042E0,-8.240364075E0,6.086942139E0,4.704716492E-1
1.542678042E0,-8.721463623E0,5.775439911E0,5.975573730E-1
1.552632042E0,-8.643475800E0,5.740562439E0,5.313949585E-1
1.562586042E0,-8.275840302E0,5.679639130E0,5.066963196E-1
1.572540042E0,-8.008047180E0,5.691614227E0,5.851332092E-1
1.582494042E0,-7.924221497E0,5.748945007E0,5.981561279E-1
1.592448042E0,-7.917335815E0,5.716013489E0,5.914201355E-1
1.602402042E0,-7.983647919E0,5.645360413E0,6.394702148E-1
1.612356042E0,-8.131091309E0,5.482648773E0,7.021897888E-1
1.622310042E0,-8.380472717E0,5.237907715E0,6.637197876E-1
1.632264042E0,-8.710536346E0,4.981640625E0,5.713618469E-1
1.642218042E0,-8.974587250E0,4.803810425E0,4.775070190E-1
1.652171042E0,-8.962163086E0,4.647984467E0,6.421646118E-1
1.662125042E0,-8.958570557E0,4.525988159E0,6.972500610E-1
1.672079042E0,-8.907676392E0,4.523144073E0,5.194198608E-1
1.682033042E0,-8.632997589E0,4.574636993E0,4.287084961E-1
1.691987042E0,-8.428073730E0,4.673281860E0,5.041516113E-1
1.701941042E0,-8.346493378E0,4.655169525E0,5.577401733E-1
1.711895042E0,-8.414302368E0,4.648882599E0,6.206094360E-1
1.721849042E0,-8.487799530E0,4.514761505E0,6.394702148E-1
1.731803042E0,-8.511300659E0,4.293521576E0,6.255491638E-1
1.741757042E0,-8.689130859E0,4.255500641E0,6.195616150E-1
1.751711042E0,-8.897347870E0,4.211192780E0,4.700225830E-1
1.761665042E0,-8.924441528E0,4.204756165E0,4.694238281E-1
1.771619042E0,-8.934470673E0,4.166735229E0,5.804928589E-1
