"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
4.932124983E-3,1.493491977E-2,1.571527869E-2,-1.296574250E-2
1.488512498E-2,1.009142771E-2,-1.934949867E-2,-8.442021906E-2
2.483912499E-2,3.216850013E-2,-5.718449503E-2,-1.018527374E-1
3.479312500E-2,6.098578498E-2,-7.167916000E-2,-7.481320202E-2
4.474612500E-2,5.782594159E-2,-4.459693655E-2,-1.833314449E-2
5.470012501E-2,5.965439230E-2,8.436447009E-3,5.363745615E-2
6.465412502E-2,7.066310197E-2,1.014177874E-1,1.083126888E-1
7.460812503E-2,9.665146470E-2,1.595630199E-1,1.076574624E-1
8.456112503E-2,3.185782582E-2,1.533975303E-1,9.266839921E-2
9.451512498E-2,-1.461198926E-2,1.247892454E-1,8.417242020E-2
1.044691250E-1,-2.788864449E-2,4.998318106E-2,5.165814981E-2
1.144221250E-1,-1.485997997E-2,8.468411863E-3,3.245972842E-2
1.243761250E-1,1.741593517E-2,-7.425067015E-3,3.955092654E-2
1.343301250E-1,5.897999555E-2,-1.472909283E-2,7.375312597E-2
1.442841250E-1,1.072151735E-1,-7.282095961E-3,1.245167106E-1
1.542371250E-1,1.414580345E-1,2.111857291E-3,1.914563626E-1
1.641911250E-1,1.668499410E-1,2.837888151E-2,2.975130379E-1
1.741451250E-1,1.582375020E-1,1.049931496E-1,3.915157318E-1
1.840981250E-1,1.348578781E-1,1.900361478E-1,4.230243862E-1
1.940521250E-1,1.117638424E-1,2.250123322E-1,3.776639104E-1
2.040061250E-1,9.067693353E-2,1.635087579E-1,2.821243405E-1
2.139591250E-1,5.024076253E-2,1.056388617E-1,1.504500508E-1
2.239131250E-1,3.695265204E-2,7.068300247E-2,3.284218535E-2
2.338671250E-1,6.525560468E-2,8.636675030E-2,-6.056005135E-3
2.438211250E-1,1.282396317E-1,2.704284489E-1,3.084794991E-2
2.537741250E-1,1.736936718E-1,2.805560529E-1,6.414272636E-2
2.637281250E-1,1.296910644E-1,3.572340310E-1,1.529564857E-1
2.736821250E-1,1.456717402E-1,4.458166063E-1,2.036066204E-1
2.836351250E-1,2.540355027E-1,5.133141875E-1,2.542237341E-1
2.935891250E-1,3.150122762E-1,5.263527036E-1,3.607540727E-1
3.035431250E-1,2.690589130E-1,4.821822941E-1,3.995768428E-1
3.134971250E-1,2.164357603E-1,4.831411839E-1,3.512243927E-1
3.234501250E-1,1.681766212E-1,4.964106381E-1,2.734377384E-1
3.334041250E-1,1.083812416E-1,5.833348036E-1,2.009856850E-1
3.433581250E-1,7.338784635E-2,6.748458147E-1,1.284760684E-1
3.533111250E-1,6.003737822E-2,6.919661760E-1,5.031493306E-2
