"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.234791667E-2,3.426482990E-2,2.325425971E-1,-1.221629530E-1
2.230191667E-2,-3.607965946E-2,-7.645234466E-3,4.889368638E-3
3.225491667E-2,-7.654984698E-2,-6.935382485E-2,1.033466130E-1
4.220891668E-2,-9.717677727E-2,-1.573602676E-2,1.446402347E-1
5.216291669E-2,-7.896284670E-2,3.899098814E-2,1.922512612E-1
6.211691670E-2,-6.175712228E-2,6.446438313E-2,2.017189997E-1
7.206991670E-2,-8.464063928E-2,5.357218981E-2,1.591571170E-1
8.202391665E-2,-1.655346751E-2,9.406181931E-2,9.916994691E-2
9.197791666E-2,7.666606039E-2,1.872506493E-1,4.603512883E-2
1.019319167E-1,1.041701934E-1,1.971552479E-1,3.196146548E-2
1.118849167E-1,7.602257431E-2,1.753346086E-1,3.257418059E-2
1.218389167E-1,5.196639821E-2,1.292836922E-1,-1.083094373E-2
1.317929167E-1,2.771667928E-2,1.089581859E-1,-3.966232158E-2
1.417469167E-1,4.528273836E-2,1.394233489E-1,-7.685119785E-2
1.516999167E-1,6.618302599E-2,1.921517855E-1,-5.448384382E-2
1.616539167E-1,4.576834962E-2,2.140449303E-1,-9.761349119E-2
1.716079167E-1,4.317744836E-2,2.052162194E-1,-2.113066792E-2
1.815619167E-1,1.994777620E-2,1.604417503E-1,8.620623127E-3
1.915149167E-1,-2.006558298E-1,2.050209224E-2,1.727442920E-2
2.014689167E-1,-1.865700334E-1,-1.523550510E-2,-7.852737531E-3
2.114229167E-1,1.194207551E-1,1.711883479E-1,5.471590519E-2
2.213769167E-1,7.379902437E-2,1.476609063E-1,1.440905964E-1
2.313299167E-1,4.736931726E-2,8.599909365E-2,1.103006335E-1
2.412839167E-1,4.163509905E-2,3.990081489E-2,4.036332965E-2
2.512379167E-1,5.136004195E-2,-4.712563455E-2,1.237387776E-2
2.611919167E-1,5.095249102E-2,-1.726396269E-1,4.023761451E-2
2.711449167E-1,5.575846374E-2,-2.476465398E-1,3.816587292E-2
2.810989167E-1,1.297326122E-1,-2.157844770E-1,8.563181542E-2
2.910529167E-1,1.827710974E-1,-1.475895703E-1,9.573872767E-2
3.010069167E-1,2.479139037E-1,-8.400753200E-2,1.436117826E-1
