"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
9.200458298E-3,-4.928616881E-1,-5.585233569E-1,5.110170841E-1
1.915445831E-2,-5.487670898E-1,-8.150715232E-1,6.655067801E-1
2.910845832E-2,-5.903010368E-1,-9.236868024E-1,7.979148030E-1
3.906245832E-2,-6.463289261E-1,-7.287141681E-1,9.556543827E-1
4.901645833E-2,-6.942647696E-1,-3.156251609E-1,1.155321121E0
5.897045828E-2,-7.124466896E-1,1.845902503E-1,1.341477871E0
6.892445829E-2,-6.490147710E-1,6.743968129E-1,1.413807392E0
7.887845830E-2,-4.774712920E-1,1.063544750E0,1.353141665E0
8.883245831E-2,-2.805090249E-1,1.410065293E0,1.072959900E0
9.878645831E-2,-8.951430023E-2,1.537111402E0,7.912990451E-1
1.087404583E-1,1.908624545E-2,1.444355249E0,5.759183764E-1
1.186944583E-1,4.355989397E-2,1.212881804E0,3.806114495E-1
1.286484583E-1,-5.530267954E-2,9.745931029E-1,1.513284743E-1
1.386024583E-1,-2.852455974E-1,5.757194757E-1,-5.679462850E-2
1.485564583E-1,-6.090210080E-1,2.827431858E-1,-2.837471366E-1
1.585104583E-1,-9.466107488E-1,-1.819802634E-2,-5.369865894E-1
1.684644583E-1,-1.224295974E0,-6.122376919E-1,-7.544898987E-1
1.784184583E-1,-1.400203705E0,-1.395691514E0,-9.117578268E-1
1.883724583E-1,-1.556681752E0,-2.390457869E0,-8.920519948E-1
1.983264583E-1,-1.816028357E0,-3.383424997E0,-8.048827052E-1
2.082804583E-1,-2.143631935E0,-4.096027851E0,-7.482088804E-1
2.182344583E-1,-2.339751720E0,-4.756652832E0,-6.067284346E-1
2.281884583E-1,-2.242933035E0,-4.845126152E0,-4.090532660E-1
2.381424583E-1,-1.743894815E0,-3.963089466E0,-2.122168988E-1
2.480964583E-1,-8.314399123E-1,-2.240472555E0,-2.639909275E-2
2.580504583E-1,9.254571795E-2,-2.609555721E-1,1.971333176E-1
2.680044583E-1,7.307133079E-1,1.144330144E0,3.927925825E-1
2.779584583E-1,9.537224174E-1,1.979951978E0,5.129042864E-1
2.879124583E-1,8.457195759E-1,2.471886635E0,5.887237787E-1
2.978664583E-1,6.713861227E-1,2.771191597E0,6.321540475E-1
3.078204583E-1,5.713832378E-1,2.928419352E0,6.568713784E-1
3.177744583E-1,5.939106345E-1,2.701093197E0,6.599534154E-1
3.277284583E-1,1.035884738E0,1.084846973E0,5.442780256E-1
3.376824583E-1,1.301607490E0,-2.448813170E-1,4.028023481E-1
3.476364583E-1,1.372546434E0,-2.739076614E-1,3.244509995E-1
3.575904583E-1,1.526075482E0,-1.693607308E-2,2.360303253E-1
3.675444583E-1,1.572514653E0,5.447830558E-1,8.627189696E-2
3.774984583E-1,1.444598317E0,1.069682240E0,4.837271944E-2
3.874524583E-1,1.165154576E0,1.581302404E0,1.527238637E-1
3.974064583E-1,8.413215876E-1,1.862356424E0,3.633476794E-1
4.073604583E-1,4.632603824E-1,2.016977310E0,7.030371428E-1
4.173144583E-1,4.084231332E-2,1.960151792E0,1.068132401E0
4.272684583E-1,-3.632530272E-1,1.594189048E0,1.423128724E0
4.372224583E-1,-7.011005878E-1,9.795871973E-1,1.763069272E0
4.471764583E-1,-1.003236175E0,2.270829231E-1,1.818842411E0
4.571304583E-1,-1.301592469E0,-5.857660174E-1,1.464719415E0
4.670844583E-1,-1.524296522E0,-1.453601837E0,8.892276287E-1
4.770384583E-1,-1.710358262E0,-2.458834410E0,4.602828622E-1
4.869924583E-1,-1.893219948E0,-3.191034794E0,2.395824790E-1
