"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
6.744416663E-3,-5.733496079E-1,1.710600016E-1,3.938713700E-1
1.669741666E-2,-6.051110986E-1,1.635004288E-1,1.275342053E-1
2.665041666E-2,-5.205290776E-1,1.879780430E-1,1.098937404E-1
3.660441667E-2,-3.347031024E-1,1.620801401E-1,1.454366255E-1
4.655741667E-2,-1.746083844E-1,1.737675548E-2,2.572260332E-1
5.651041667E-2,-3.853344351E-2,-8.499337256E-2,3.487022138E-1
6.646441668E-2,5.903641284E-2,-1.653358698E-1,3.933965760E-1
7.641741668E-2,7.110448122E-2,-1.905566651E-1,3.729623115E-1
8.637041668E-2,-6.822180390E-2,-1.589767304E-1,2.898681146E-1
9.632341668E-2,-1.955636358E-1,-4.850089967E-2,1.736623049E-1
1.062774167E-1,-2.760575759E-1,9.721726924E-2,3.655913115E-2
1.162304167E-1,-3.251759416E-1,1.746990162E-1,-8.866191566E-2
1.261834167E-1,-3.124997628E-1,2.114785874E-1,-1.448214984E-1
1.361364167E-1,-1.825521192E-1,2.253692329E-1,-1.612393105E-1
1.460904167E-1,-4.415729553E-2,1.912907830E-1,-2.031170690E-1
1.560434167E-1,-1.151316762E-3,1.061336884E-1,-2.328700411E-1
1.659964167E-1,1.030981064E-2,-1.286884457E-2,-2.121305519E-1
1.759494167E-1,-2.344879657E-2,-6.330546498E-2,-2.298113626E-1
1.859034167E-1,-7.652075708E-2,-4.426663846E-2,-2.505344796E-1
1.958564167E-1,-1.244918990E-1,4.779221714E-3,-3.313763291E-1
2.058094167E-1,-2.403062376E-1,6.579491705E-2,-3.619292003E-1
2.157634167E-1,-3.124225795E-1,1.440625298E-1,-3.631471753E-1
2.257164167E-1,-3.573294881E-1,2.467735505E-1,-4.410028517E-1
2.356694167E-1,-4.829276803E-1,2.849020743E-1,-5.326795918E-1
2.456224167E-1,-8.132149655E-1,4.301515889E-1,-6.455864024E-1
2.555764167E-1,-1.270329528E0,8.388015041E-1,-7.204529822E-1
2.655294167E-1,-1.413249804E0,1.193484835E0,-6.690851927E-1
2.754824167E-1,-2.195099720E0,7.930134201E-1,-8.764181042E-1
2.854354167E-1,-1.286432467E0,2.891810668E-1,-9.149705511E-1
2.953894167E-1,-3.810074955E-2,-3.793720293E-1,-1.492443323E-1
3.053424167E-1,-3.689166230E-1,-9.787388232E-1,-5.144409567E-1
3.152954167E-1,-7.440587765E-1,-8.355484056E-1,-1.252469500E0
3.252494167E-1,-2.324923110E-1,-3.776494396E-1,-1.816411815E0
3.352024167E-1,1.968061692E-1,-3.687672266E-1,-1.836468349E0
3.451554167E-1,3.226554993E-1,-4.978076747E-1,-2.273805581E0
3.551084167E-1,4.780806309E-1,-3.081375937E-1,-2.938976063E0
3.650624167E-1,8.534093106E-1,-4.103312820E-2,-3.085737083E0
3.750154167E-1,7.682533854E-1,1.354226840E-1,-3.175720469E0
3.849684167E-1,1.814449489E-1,4.598757635E-1,-2.658269366E0
3.949214167E-1,2.337596950E-1,3.927355483E-1,-2.074007977E0
4.048754167E-1,4.685748124E-1,-1.728802398E-1,-1.309459387E0
4.148284167E-1,-1.327023253E0,-1.378479628E-1,-5.241748166E-1
4.247814167E-1,-9.531385437E-1,7.028484777E-2,-8.842475259E-1
4.347354167E-1,7.689492041E-1,2.785936595E-1,-1.956766625E0
