"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.186250200E-4,-3.587589569E0,5.916746063E0,7.974965973E0
1.047262503E-2,-3.493435364E0,5.696703644E0,8.036937103E0
2.042662498E-2,-3.346141663E0,5.564079437E0,8.077951813E0
3.038062499E-2,-3.219205627E0,5.589526520E0,8.108488312E0
4.033462500E-2,-3.158282318E0,5.674100647E0,8.027207336E0
5.028862500E-2,-3.187770996E0,5.717510376E0,7.920628967E0
6.024262501E-2,-3.144810333E0,5.694608002E0,7.725135498E0
7.019662502E-2,-3.097508698E0,5.626050568E0,7.511230316E0
8.015062503E-2,-3.014581146E0,5.640570374E0,7.390730896E0
9.010462498E-2,-2.925516357E0,5.726641388E0,7.323969727E0
1.000586250E-1,-2.945724335E0,5.820645905E0,7.290888519E0
1.100116250E-1,-2.821482697E0,5.951773224E0,7.236102448E0
1.199656250E-1,-2.677482147E0,6.062393188E0,7.262148285E0
1.299196250E-1,-3.542832642E0,5.807622986E0,6.903194733E0
1.398736250E-1,-3.280128937E0,5.955665131E0,7.066205750E0
1.498276250E-1,-2.913391571E0,6.190826111E0,7.177723846E0
1.597816250E-1,-3.350332947E0,6.059399414E0,7.068750458E0
1.697356250E-1,-3.995790710E0,5.864355011E0,7.172634430E0
1.796896250E-1,-3.571423187E0,5.936055908E0,7.502548370E0
1.896436250E-1,-3.502716064E0,5.902974701E0,7.845335541E0
1.995976250E-1,-4.012406158E0,5.855972443E0,8.091723175E0
2.095506250E-1,-3.823648682E0,5.898034973E0,8.372239838E0
2.195046250E-1,-3.365301819E0,5.633535004E0,8.456813965E0
2.294586250E-1,-3.138074341E0,5.014272766E0,8.274942169E0
2.394126250E-1,-2.748284912E0,4.895569611E0,8.159831543E0
2.493666250E-1,-2.981050873E0,4.598736877E0,7.995623016E0
2.593206250E-1,-3.458408203E0,5.206772461E0,9.182953949E0
2.692746250E-1,-4.517306213E0,5.119204559E0,9.488169250E0
2.792286250E-1,-5.348827057E0,4.761897583E0,9.239087219E0
2.891826250E-1,-5.759273529E0,4.646637268E0,9.435029755E0
