"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.384375003E-3,1.531108037E-2,2.829800946E-1,5.345922160E-1
1.433737500E-2,-6.626854151E-2,3.058193189E-1,3.924317855E-1
2.429137501E-2,-1.679486981E-1,3.647639304E-1,3.014917946E-1
3.424437501E-2,-2.137218717E-1,3.784686345E-1,2.970701301E-1
4.419837502E-2,-1.583230117E-1,4.669563031E-1,2.290173107E-1
5.415237497E-2,-1.857552239E-1,4.890102464E-1,3.311664140E-1
6.410537497E-2,-2.803393458E-1,4.900259078E-1,4.959877288E-1
7.405937498E-2,-3.411354782E-1,5.749479443E-1,6.327353919E-1
8.401237498E-2,-2.714176641E-1,7.981782657E-1,6.174437535E-1
9.396662499E-2,-3.247482178E-1,8.616796124E-1,4.407052284E-1
1.039206250E-1,-4.426305704E-1,8.087412608E-1,2.643572974E-1
1.138736250E-1,-4.916743840E-1,8.867249912E-1,3.525713164E-1
1.238276250E-1,-5.799623702E-1,1.145964221E0,5.266762555E-1
1.337806250E-1,-7.114716589E-1,1.452884570E0,4.073088562E-1
1.437346250E-1,-7.917094910E-1,1.836431512E0,4.287564433E-1
1.536886250E-1,-7.975859427E-1,1.933215210E0,6.681472993E-1
1.636416250E-1,-5.715296620E-1,1.591303952E0,6.388907558E-1
1.735956250E-1,-2.604903875E-1,1.086436057E0,4.563248956E-1
1.835486250E-1,3.935605904E-1,7.435298958E-1,2.580832350E-1
1.935026250E-1,2.787600128E-1,4.845233855E-1,-2.117534065E-1
2.034566250E-1,-6.574511339E-1,4.473976591E-1,-4.315391332E-1
2.134096250E-1,-3.024456947E-1,7.380770749E-1,-9.603116155E-1
2.233636250E-1,-2.510575131E-2,9.149889699E-1,-1.364496889E0
2.333166250E-1,-2.527071588E-1,1.263371633E0,-1.259844593E0
2.432706250E-1,-2.865972552E-1,1.163624566E0,-5.795292377E-1
2.532236250E-1,-6.173451548E-1,8.105550671E-1,2.680568308E-1
2.631776250E-1,-7.933711235E-1,9.911682495E-1,-3.710637206E-1
2.731316250E-1,-7.082051119E-1,1.261115777E0,-4.805855781E-1
2.830846250E-1,-4.111835502E-1,1.468289937E0,-6.036665440E-3
2.930386250E-1,-5.522513920E-1,1.214277241E0,8.685278714E-2
3.029926250E-1,-7.009282520E-1,1.003016170E0,-1.845954287E-1
3.129456250E-1,-7.420648760E-1,1.006565430E0,-7.100256425E-1
3.228996250E-1,-6.249816184E-1,9.920190194E-1,-1.070276107E0
3.328526250E-1,-4.510012981E-1,1.184410833E0,-1.322619715E0
3.428066250E-1,-4.993496951E-1,1.254648465E0,-1.311632797E0
3.527596250E-1,-6.695166441E-1,1.368666831E0,-1.263827716E0
3.627136250E-1,-4.828592679E-1,1.586741955E0,-1.161320763E0
3.726676250E-1,-2.388332875E-1,1.536276391E0,-7.665079916E-1
3.826206250E-1,-3.543985713E-1,1.318615834E0,-5.641662633E-1
3.925746250E-1,-5.512441360E-1,9.456620014E-1,-3.877890962E-1
4.025276250E-1,-4.984769982E-1,6.817873916E-1,-1.571392429E-1
4.124816250E-1,-2.269043463E-1,4.752108175E-1,-3.411499500E-2
4.224356250E-1,-1.306308907E-1,5.121541107E-1,-3.047972256E-1
4.323886250E-1,1.213443428E-3,6.667240870E-1,-7.556473732E-1
4.423426250E-1,1.149233691E-2,6.248565611E-1,-1.133386860E0
4.522956250E-1,1.044710326E-1,8.374195147E-1,-1.339552082E0
4.622496250E-1,2.039921779E-1,9.020195532E-1,-1.241330554E0
4.722036250E-1,3.357501926E-1,1.124028684E0,-1.266106961E0
4.821566250E-1,2.478116506E-1,1.518047696E0,-7.314568573E-1
4.921106250E-1,1.157988435E-1,1.903471009E0,-4.185559756E-1
5.020636250E-1,2.373631147E-1,2.208898272E0,-3.396413684E-1
5.120176250E-1,3.752777358E-1,1.940851089E0,-2.040982318E-1
5.219716250E-1,2.352301966E-1,1.507156964E0,-4.779736269E-1
5.319246250E-1,-2.878935099E-2,1.362756465E0,-1.122474201E0
5.418786250E-1,-1.307390642E-1,1.142622245E0,-1.828569345E0
5.518316250E-1,-1.977654049E-1,9.867933628E-1,-2.371659320E0
5.617856250E-1,-1.473738080E-1,8.471264774E-1,-2.265178015E0
5.717396250E-1,4.398714155E-2,7.437348408E-1,-1.927996570E0
5.816926250E-1,4.389120336E-1,7.748920217E-1,-1.896292967E0
5.916466250E-1,6.207171710E-1,6.696968114E-1,-1.947835588E0
6.015996250E-1,6.300735931E-1,6.317919436E-1,-2.282036122E0
6.115536250E-1,5.793890508E-1,8.504719618E-1,-2.571468034E0
6.215076250E-1,3.913257846E-1,1.179013561E0,-2.771145186E0
6.314606250E-1,2.455590838E-1,1.346851746E0,-2.850648608E0
6.414146250E-1,1.851102760E-1,1.287167170E0,-2.679164976E0
6.513676250E-1,4.028500620E-1,1.264893371E0,-2.329240694E0
6.613216250E-1,8.647290815E-1,1.500266313E0,-1.636093624E0
6.712756250E-1,1.203587215E0,2.006947430E0,-1.281976889E0
6.812286250E-1,1.267361627E0,2.172534145E0,-1.378721411E0
