"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-7.381666219E-4,4.179009705E0,5.059778137E0,5.151088257E0
9.214833379E-3,4.201163635E0,5.105283508E0,5.910459137E0
1.916883333E-2,3.833079071E0,4.952601013E0,6.356082458E0
2.912283334E-2,3.778442688E0,4.774770813E0,6.084247742E0
3.907583334E-2,3.882476349E0,4.946164398E0,5.650749207E0
4.902983335E-2,3.944447479E0,5.391638031E0,6.287525024E0
5.898383335E-2,3.800446930E0,5.287005615E0,6.957382050E0
6.893783336E-2,3.902534637E0,5.014721832E0,7.170538788E0
7.889083336E-2,4.069736938E0,4.785249023E0,7.417525177E0
8.884483337E-2,3.814667358E0,4.611909485E0,7.802075500E0
9.879883332E-2,3.463497620E0,4.736151123E0,8.061935120E0
1.087518333E-1,3.497476959E0,4.980443115E0,8.344098358E0
1.187058333E-1,3.306025085E0,5.242847443E0,8.352630615E0
1.286598333E-1,2.803819427E0,5.590873718E0,7.884254608E0
1.386138333E-1,2.846480713E0,5.724994812E0,7.756570129E0
1.485668333E-1,2.700983276E0,5.738017731E0,7.951315155E0
1.585208334E-1,2.581232300E0,6.106401672E0,8.552165680E0
1.684748334E-1,2.443818054E0,6.326444092E0,8.955427094E0
1.784278334E-1,2.265838165E0,6.404581604E0,9.287586365E0
1.883818334E-1,2.464175720E0,6.386768646E0,1.006042923E1
1.983358333E-1,2.395468597E0,6.330186310E0,1.090272766E1
2.082898333E-1,2.068847809E0,6.214925995E0,1.101155136E1
2.182428333E-1,2.008523254E0,6.144572296E0,1.094314362E1
2.281968333E-1,1.861229553E0,5.833219757E0,1.099239120E1
2.381508333E-1,1.556463318E0,5.389991455E0,1.147932861E1
2.481038333E-1,1.295555878E0,5.580245819E0,1.178439423E1
2.580578334E-1,1.304537201E0,5.818400574E0,1.174113419E1
2.680118334E-1,1.225052490E0,5.818101196E0,1.167826492E1
2.779658334E-1,1.219963074E0,5.934559021E0,1.183453995E1
2.879188334E-1,1.130598907E0,5.912554779E0,1.196671509E1
2.978728333E-1,7.749385071E-1,5.700595551E0,1.196611633E1
3.078268333E-1,9.662406921E-1,5.230423279E0,1.241114090E1
3.177798333E-1,4.192781067E-1,4.721930695E0,1.206760529E1
3.277341250E-1,1.076261902E-1,4.393513641E0,1.171748337E1
3.376881250E-1,-4.745132446E-2,4.018543396E0,1.118234619E1
3.476421250E-1,-2.609074402E-1,3.715274048E0,1.033166519E1
3.575951250E-1,-4.593946838E-1,3.646417236E0,9.381441193E0
3.675491250E-1,-6.491999817E-1,3.412902832E0,9.100774841E0
3.775031250E-1,-9.225315857E-1,3.378624115E0,8.900491333E0
3.874561250E-1,-1.131497040E0,3.688779144E0,8.804391174E0
3.974101250E-1,-1.197509766E0,4.164040833E0,8.790320435E0
4.073641250E-1,-1.266216888E0,4.351600800E0,8.992699585E0
4.173181250E-1,-9.165440369E-1,4.554129639E0,9.080417175E0
4.272711250E-1,-5.046006775E-1,4.594994659E0,8.907377014E0
4.372251250E-1,-2.311193848E-1,3.975433044E0,8.260122986E0
4.471791250E-1,-3.748205566E-1,2.949316864E0,7.332651672E0
4.571321250E-1,-1.047371979E0,2.448757782E0,7.087760925E0
4.670861250E-1,-1.340911560E0,2.552941132E0,6.966962128E0
4.770401250E-1,-1.098266144E0,2.839445343E0,6.836134186E0
4.869941250E-1,-3.977229309E-1,2.985990601E0,6.718927917E0
4.969471250E-1,1.047821045E-2,3.035986633E0,6.723717957E0
5.069011250E-1,-1.318757629E-1,3.110381927E0,7.004384308E0
5.168551250E-1,-2.251318359E-1,3.356769562E0,7.326813812E0
5.268091250E-1,-1.871109009E-1,3.691623230E0,7.483537903E0
5.367621250E-1,-1.974394226E-1,3.982169037E0,7.285350037E0
5.467161250E-1,-3.891906738E-1,4.041745148E0,6.714886322E0
5.566701250E-1,-4.641847229E-1,4.009711761E0,6.190676422E0
5.666231250E-1,-2.682421875E-1,4.009113007E0,6.125561829E0
5.765771250E-1,-4.311035156E-1,3.829336853E0,6.292315063E0
5.865311250E-1,-6.219566345E-1,3.736230469E0,6.130351868E0
5.964841250E-1,-5.695655823E-1,3.833228760E0,5.642067261E0
6.064381250E-1,-5.471122742E-1,3.995341644E0,5.434299316E0
6.163921250E-1,-4.806504822E-1,4.241878967E0,5.675148468E0
6.263461250E-1,-2.459385681E-1,4.479135590E0,6.053711243E0
6.362991250E-1,-5.987548828E-4,4.572391663E0,6.590345306E0
6.462531250E-1,1.115180969E-1,4.601131897E0,7.177125092E0
6.562071250E-1,1.672023010E-1,4.633913727E0,7.518415375E0
6.661611250E-1,1.787283325E-1,4.660708008E0,7.507488098E0
6.761141250E-1,1.549278259E-1,4.715045013E0,7.331304474E0
6.860681250E-1,7.110214233E-2,4.792883148E0,7.201524353E0
6.960221250E-1,-9.580078125E-2,4.875211945E0,7.230114899E0
7.059751250E-1,-1.766326904E-1,4.925058289E0,7.226821747E0
7.159291250E-1,-8.726852417E-2,5.043761444E0,7.224426727E0
7.258831250E-1,5.583389282E-2,5.236261139E0,7.412286072E0
7.358371250E-1,5.508544922E-2,5.463488617E0,7.786807251E0
7.457901250E-1,2.080673218E-2,5.646408234E0,8.279732208E0
7.557441250E-1,-5.718109131E-2,5.768404541E0,8.837173004E0
7.656981250E-1,-3.504212952E-1,5.872138824E0,9.434131622E0
7.756511250E-1,-7.382647705E-1,6.033652954E0,9.653874664E0
7.856051250E-1,-1.054107971E0,6.179449768E0,9.531578979E0
7.955591250E-1,-1.240620117E0,6.081104279E0,9.330547028E0
8.055131250E-1,-1.238823853E0,5.683081970E0,9.260941772E0
8.154661250E-1,-8.882528687E-1,5.169949036E0,9.505084076E0
8.254201250E-1,-2.691403198E-1,4.823569336E0,9.996512146E0
8.353741250E-1,3.050656128E-1,4.625680847E0,1.046354095E1
8.453271250E-1,9.966275024E-1,4.627626801E0,1.091245743E1
8.552811250E-1,1.588796082E0,4.825664978E0,1.153351593E1
8.652351250E-1,1.788630524E0,4.942272491E0,1.197105606E1
8.751891250E-1,1.632654877E0,4.899611206E0,1.227462479E1
8.851421250E-1,1.471290436E0,4.691244507E0,1.223435852E1
8.950961250E-1,1.376537476E0,4.432881775E0,1.199440750E1
