"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.512416680E-3,-4.587315619E-1,-8.650251627E-1,-4.718892276E-1
1.846641669E-2,-5.531992316E-1,-1.122998476E0,-5.229039192E-1
2.841941669E-2,-5.811918378E-1,-1.220872879E0,-5.191830993E-1
3.837241669E-2,-5.914833546E-1,-1.073227048E0,-4.696864188E-1
4.832641664E-2,-6.118803620E-1,-7.601835728E-1,-3.800697327E-1
5.827941664E-2,-6.251791716E-1,-4.220923781E-1,-2.534449399E-1
6.823241664E-2,-6.298178434E-1,-1.795877367E-1,-1.300425529E-1
7.818641665E-2,-6.188820601E-1,3.186911345E-2,-8.765169978E-2
8.813941665E-2,-5.953714252E-1,4.795677960E-2,-8.971417695E-2
9.809679165E-2,-6.010751724E-1,-1.779266745E-1,-1.541040838E-1
1.080507917E-1,-6.664835811E-1,-5.003630519E-1,-3.172567487E-1
1.180037917E-1,-7.473821640E-1,-8.627311587E-1,-5.674298406E-1
1.279567917E-1,-8.302831054E-1,-1.337058902E0,-8.032402396E-1
1.379097917E-1,-8.639914989E-1,-1.823445797E0,-8.610846400E-1
1.478637917E-1,-8.779081702E-1,-1.829072833E0,-8.507012725E-1
1.578167917E-1,-8.916322589E-1,-1.618608117E0,-7.948609591E-1
1.677697917E-1,-8.565154672E-1,-1.347631454E0,-6.512580514E-1
1.777237917E-1,-7.926771045E-1,-9.618784189E-1,-5.035676956E-1
1.876767917E-1,-7.625231743E-1,-6.626250744E-1,-3.802319467E-1
1.976297917E-1,-8.314814568E-1,-5.120797753E-1,-2.767066061E-1
2.075837917E-1,-1.054460049E0,-4.710457027E-1,-3.110974729E-1
2.175367917E-1,-1.330716729E0,-6.763890386E-1,-3.470541537E-1
2.274897917E-1,-1.549882889E0,-9.963070154E-1,-3.466759920E-1
2.374437916E-1,-1.649541616E0,-1.369872808E0,-3.626943827E-1
2.473967916E-1,-1.605940223E0,-1.760980368E0,-4.602929354E-1
2.573497916E-1,-1.499380469E0,-2.083882809E0,-5.742056370E-1
2.673027916E-1,-1.432934999E0,-2.277026415E0,-6.312115192E-1
2.772567917E-1,-1.463539243E0,-2.327996254E0,-6.833753586E-1
2.872097917E-1,-1.589497447E0,-2.114613771E0,-7.503378391E-1
2.971627917E-1,-1.745950937E0,-1.658281446E0,-7.508534193E-1
3.071167917E-1,-1.782294750E0,-1.352699876E0,-6.751048565E-1
3.170697917E-1,-1.861922503E0,-9.894916415E-1,-5.930280685E-1
3.270227917E-1,-1.931424260E0,-8.538901806E-1,-5.254448652E-1
3.369767917E-1,-1.962951303E0,-1.200411439E0,-3.939241469E-1
3.469297917E-1,-1.988582969E0,-1.493608117E0,-3.108693063E-1
3.568827917E-1,-1.994812131E0,-1.652897358E0,-2.154833972E-1
3.668357917E-1,-1.940378070E0,-1.810906768E0,-7.859174907E-2
3.767897917E-1,-1.825373173E0,-1.819707751E0,5.067143589E-2
3.867427917E-1,-1.613843560E0,-1.631322622E0,2.000289559E-1
3.966957917E-1,-1.265669942E0,-1.350016713E0,4.195160568E-1
4.066497917E-1,-8.736404181E-1,-9.256246686E-1,7.370667458E-1
4.166027917E-1,-5.354788899E-1,-4.228331745E-1,1.134899020E0
4.265557917E-1,-3.527604043E-1,-3.091981076E-2,1.476390839E0
4.365097916E-1,-3.737397194E-1,1.163548604E-1,1.663108230E0
4.464627916E-1,-4.846216738E-1,3.403762821E-3,1.693900585E0
4.564157916E-1,-6.433239579E-1,-9.050648659E-2,1.673566818E0
4.663697917E-1,-7.982347608E-1,-3.084908240E-3,1.657878518E0
4.763227917E-1,-8.680282235E-1,1.800300628E-1,1.671200752E0
4.862757917E-1,-8.251544833E-1,3.838888109E-1,1.706713319E0
4.962287917E-1,-7.065505981E-1,6.381080151E-1,1.745974660E0
5.061827917E-1,-6.247677803E-1,9.785805941E-1,1.780334949E0
5.161357917E-1,-6.490526199E-1,1.340390205E0,1.770040751E0
5.260887917E-1,-7.687254548E-1,1.555782080E0,1.701873422E0
5.360427917E-1,-9.663112760E-1,1.549234867E0,1.553206921E0
5.459957917E-1,-1.182380915E0,1.321463227E0,1.346443057E0
