"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.192444700E-2,-4.713262558E0,7.100701332E0,5.778666496E0
1.401161300E-2,-4.694119930E0,7.028916359E0,5.831308842E0
1.610065300E-2,-4.670191765E0,6.957131863E0,5.870192051E0
1.820078100E-2,-4.655834675E0,6.895516872E0,5.970690727E0
2.032494800E-2,-4.641477585E0,6.857231617E0,6.061617851E0
2.245006000E-2,-4.627718925E0,6.824330330E0,6.133402824E0
2.457356400E-2,-4.594219685E0,6.829115868E0,6.238687038E0
2.669937800E-2,-4.590032101E0,6.848856449E0,6.296114445E0
2.882283100E-2,-4.542175770E0,6.839285374E0,6.396613121E0
3.093779200E-2,-4.485345840E0,6.849454880E0,6.483353138E0
3.307403200E-2,-4.452444553E0,6.892525673E0,6.531209469E0
3.519125000E-2,-4.385445595E0,6.960123062E0,6.570092678E0
3.733165100E-2,-4.309473515E0,7.060621262E0,6.652047157E0
3.945427100E-2,-4.257429600E0,7.161119938E0,6.614359856E0
4.158253700E-2,-4.186243057E0,7.267002583E0,6.681957245E0
4.370590000E-2,-4.096512318E0,7.363313675E0,6.969096184E0
4.583246700E-2,-3.973282099E0,7.460222721E0,7.199405193E0
4.795733300E-2,-3.825525284E0,7.632505894E0,7.167101860E0
5.008116400E-2,-3.631108284E0,7.767700672E0,7.498507977E0
5.219713100E-2,-3.431905985E0,7.874181271E0,7.710870743E0
5.432167300E-2,-3.265006542E0,7.965706348E0,7.788637638E0
5.646046700E-2,-3.088535786E0,8.024331093E0,7.886145115E0
5.858818300E-2,-2.831905603E0,7.864011765E0,8.543573380E0
6.071445400E-2,-2.588435888E0,7.660023689E0,8.809176445E0
6.283469400E-2,-2.474178553E0,7.746165276E0,8.819944382E0
6.496382400E-2,-2.434697151E0,7.707281590E0,8.467002869E0
6.708949500E-2,-2.337787628E0,7.664210796E0,8.115258217E0
6.921603200E-2,-2.216950178E0,7.711469173E0,7.744370461E0
7.133761300E-2,-2.076970100E0,7.730013371E0,7.349554539E0
7.345347900E-2,-1.796411633E0,7.471588612E0,6.742375851E0
7.559262900E-2,-1.549950838E0,7.336992264E0,6.015556335E0
7.771876800E-2,-1.298106313E0,7.193423271E0,5.240880013E0
7.984881300E-2,-1.204187989E0,7.205985546E0,4.502095699E0
8.197109800E-2,-9.308080077E-1,7.130013466E0,4.219144344E0
8.409589400E-2,-8.344969153E-1,7.034898758E0,4.143770695E0
8.622137300E-2,-5.054838061E-1,7.198806763E0,4.285545349E0
8.834708400E-2,-1.250249892E-1,7.392027378E0,4.648057938E0
9.047324400E-2,2.027917206E-1,7.547560692E0,5.076373100E0
9.259657600E-2,4.636093974E-1,7.654639721E0,5.570491314E0
9.471247200E-2,7.435696125E-1,7.642675400E0,6.223133564E0
9.683991400E-2,9.996016622E-1,7.520641804E0,6.932605267E0
9.897658100E-2,1.069591761E0,7.331010342E0,7.597211838E0
1.011046730E-1,1.207179070E0,6.859624386E0,8.320442200E0
1.032306510E-1,1.545763373E0,6.174080849E0,9.199206352E0
1.053503820E-1,1.944766641E0,5.652445316E0,1.040279675E1
1.074663480E-1,2.638685226E0,5.056034088E0,1.209691525E1
1.096066160E-1,3.661018610E0,4.055834293E0,1.445922947E1
1.117368660E-1,4.089334011E0,3.317050457E0,1.718166351E1
1.138599120E-1,4.591826439E0,2.513062000E0,2.034856415E1
1.159769580E-1,4.781457901E0,1.796411633E0,2.277249336E1
1.181072270E-1,4.920839787E0,1.293918848E0,2.443610382E1
1.202341190E-1,4.969294548E0,1.554138303E0,2.541416931E1
1.223615100E-1,4.803591251E0,1.781456470E0,2.465803719E1
1.244858590E-1,4.144967079E0,2.185843468E0,2.260200500E1
1.266116640E-1,2.981456995E0,2.836092949E0,1.989033890E1
1.287378940E-1,1.292124271E0,3.984647989E0,1.663669777E1
1.308643080E-1,-6.771687865E-1,5.763711452E0,1.341715431E1
1.329858590E-1,-1.147358418E0,6.605386734E0,1.184447193E1
1.350992120E-1,-1.146162033E0,7.167700291E0,1.106082249E1
1.372298570E-1,-1.079162955E0,7.668996811E0,1.052124119E1
1.393665150E-1,-7.740781307E-1,8.147561073E0,1.028016472E1
1.414955940E-1,-4.199403822E-1,8.425726891E0,1.004028416E1
1.436206960E-1,-1.316052489E-2,8.508278847E0,9.882955551E0
1.457441710E-1,3.649054468E-1,8.428119659E0,9.835099220E0
1.478710220E-1,6.472585201E-1,8.247461319E0,9.881759644E0
1.499965610E-1,9.062815905E-1,7.938189030E0,9.990034103E0
1.521213170E-1,1.150349498E0,7.461419106E0,1.023769188E1
1.542483420E-1,1.457229018E0,6.894320011E0,1.057149029E1
1.563784490E-1,1.730608940E0,6.174080849E0,1.104407310E1
1.584987280E-1,1.989033818E0,5.330012321E0,1.167876911E1
1.606245820E-1,2.285743713E0,4.476971149E0,1.242832088E1
1.627490640E-1,2.538784742E0,3.585046530E0,1.317727470E1
1.648770050E-1,2.687737942E0,2.903092146E0,1.369113255E1
1.670018720E-1,2.751147747E0,2.243869543E0,1.397049522E1
1.691276040E-1,2.623131752E0,1.947159410E0,1.384068394E1
1.712532140E-1,2.338984251E0,1.691725612E0,1.341296768E1
1.733791710E-1,1.900499344E0,1.650449395E0,1.291645622E1
1.755056360E-1,1.400399446E0,1.643270969E0,1.244267750E1
1.776300250E-1,9.146564603E-1,1.506281853E0,1.196949673E1
1.797438360E-1,5.060819983E-1,1.345962763E0,1.144008541E1
1.818836680E-1,1.160518974E-1,1.247856975E0,1.102493000E1
1.840079760E-1,-6.879365444E-2,9.409775138E-1,1.073240757E1
1.861376350E-1,-2.434697002E-1,6.000002623E-1,1.052602673E1
1.882594910E-1,-3.032902777E-1,-1.196411345E-2,1.045962620E1
1.903854680E-1,-4.929214716E-1,-4.384847581E-1,1.034357452E1
1.925114450E-1,-6.717849374E-1,-1.190429211E0,1.024307537E1
1.946370970E-1,-8.991031051E-1,-1.573879123E0,1.001635551E1
1.967600830E-1,-1.155135155E0,-2.063211441E0,9.790233612E0
1.988768830E-1,-1.487737536E0,-2.562114954E0,9.586843491E0
2.010147000E-1,-1.748555183E0,-2.788834810E0,9.198010445E0
2.031406160E-1,-2.057827473E0,-2.995813847E0,8.994022369E0
2.052691260E-1,-2.449054003E0,-3.035893679E0,8.827122688E0
2.073890590E-1,-2.835494757E0,-3.171088219E0,8.665607452E0
2.095028700E-1,-3.189034462E0,-3.029911757E0,8.460422516E0
2.116307890E-1,-3.570689678E0,-2.816352367E0,8.126624107E0
2.137699290E-1,-4.071985722E0,-2.737389088E0,7.905886173E0
2.158967400E-1,-4.393222332E0,-2.518445730E0,7.948956966E0
2.180151880E-1,-4.542175770E0,-2.318645239E0,7.956733704E0
2.201466890E-1,-4.604987144E0,-2.017747641E0,7.821538925E0
2.222722990E-1,-4.643870354E0,-1.625923038E0,7.710870743E0
2.243972080E-1,-4.591826439E0,-1.281954765E0,7.557730198E0
2.265108560E-1,-4.424927235E0,-9.804590940E-1,7.411170006E0
2.286499240E-1,-4.292125702E0,-7.788637877E-1,7.369295597E0
2.307760640E-1,-3.967299938E0,-5.437689424E-1,7.344171047E0
2.329058250E-1,-3.599403381E0,-3.750749528E-1,7.262216568E0
2.350273160E-1,-3.288934708E0,-3.116651475E-1,7.280162811E0
2.371499040E-1,-2.977867842E0,-3.014956415E-1,7.245467186E0
2.392659010E-1,-2.562114954E0,-3.092723191E-1,7.283751965E0
2.414048370E-1,-2.280359983E0,-3.559323549E-1,7.325028419E0
2.435305190E-1,-2.031506538E0,-4.265206456E-1,7.351947784E0
2.456570560E-1,-1.844866276E0,-5.455635786E-1,7.378268719E0
2.477692990E-1,-1.701296926E0,-6.023930907E-1,7.466204643E0
2.498957850E-1,-1.581655741E0,-6.305087805E-1,7.505686283E0
2.520335720E-1,-1.552941918E0,-6.257231236E-1,7.448856831E0
2.541623150E-1,-1.552941918E0,-6.017948985E-1,7.334001541E0
2.562886070E-1,-1.537986755E0,-5.449653864E-1,7.162316322E0
2.584110630E-1,-1.700100541E0,-5.694918036E-1,7.007979393E0
2.605368980E-1,-1.818545222E0,-5.706881881E-1,6.805785656E0
2.626633330E-1,-1.865803480E0,-5.808576941E-1,6.562315941E0
2.647900120E-1,-1.974676847E0,-6.005984545E-1,6.298507214E0
2.669151840E-1,-2.035693884E0,-5.922235847E-1,6.044867992E0
2.690399200E-1,-2.121237278E0,-5.832505226E-1,5.871986866E0
2.711657740E-1,-2.273779631E0,-5.934200287E-1,5.807978630E0
2.732913640E-1,-2.402992249E0,-6.227321029E-1,5.792425632E0
