"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.099785300E-2,-4.805162907E0,6.670545101E0,5.619490623E0
2.099885300E-2,-4.683058739E0,6.761524677E0,5.502174854E0
3.099785300E-2,-4.565742493E0,6.845322132E0,5.353734493E0
4.099735300E-2,-4.537012100E0,6.924330711E0,5.200505257E0
5.099701900E-2,-4.544194698E0,6.996156693E0,5.052064896E0
6.099676900E-2,-4.548983097E0,7.091924667E0,4.929960728E0
7.099656900E-2,-4.568136692E0,7.235576630E0,4.824316502E0
8.099640200E-2,-4.594472885E0,7.412747860E0,4.714183331E0
9.099625900E-2,-4.620809078E0,7.621043205E0,4.620809078E0
1.009961340E-1,-4.644751072E0,7.826944828E0,4.534617901E0
1.109960220E-1,-4.668693542E0,8.059182167E0,4.443638325E0
1.209959220E-1,-4.680664539E0,8.269871712E0,4.383783340E0
1.309958310E-1,-4.692635536E0,8.466196060E0,4.345476151E0
1.409957470E-1,-4.730942726E0,8.643367767E0,4.323928356E0
1.509956700E-1,-4.776432514E0,8.777442932E0,4.299986362E0
1.609955980E-1,-4.819528103E0,8.868422508E0,4.280832767E0
1.709955310E-1,-4.855441093E0,8.945036888E0,4.266467571E0
1.809954680E-1,-4.874594688E0,9.019257545E0,4.268861771E0
1.909954090E-1,-4.876988888E0,9.033622742E0,4.340687752E0
2.009953530E-1,-4.915595531E0,9.024045944E0,4.405331135E0
2.109953000E-1,-5.025728703E0,9.002497673E0,4.398148537E0
2.209952500E-1,-5.080795288E0,8.954613686E0,4.355052948E0
2.309952020E-1,-5.025728703E0,8.858845711E0,4.288015366E0
2.409951560E-1,-4.925172329E0,8.763077736E0,4.225766182E0
2.509951120E-1,-4.675876141E0,8.648156166E0,4.134786129E0
2.609950700E-1,-4.259284973E0,8.490138054E0,4.029441357E0
2.709950700E-1,-3.708618402E0,8.334515572E0,3.933673382E0
2.809950310E-1,-3.064578056E0,8.195652008E0,3.849876404E0
2.909949930E-1,-2.394201756E0,8.109460831E0,3.742137194E0
3.009949570E-1,-1.776497602E0,8.085518837E0,3.617638826E0
3.109949220E-1,-1.216254473E0,8.099884033E0,3.454833031E0
3.209948880E-1,-7.757213712E-1,8.121431351E0,3.287238836E0
3.309948880E-1,-4.525041282E-1,8.140584946E0,3.119644880E0
3.409948880E-1,-2.442085743E-1,8.178892136E0,2.956839085E0
3.509948880E-1,-1.675941199E-1,8.300996780E0,2.772485495E0
3.609948880E-1,-1.388636976E-1,8.447042465E0,2.612074137E0
3.709948880E-1,-1.819593310E-1,8.614637375E0,2.480392933E0
3.809948880E-1,-2.753331959E-1,8.755894661E0,2.365471363E0
3.909948880E-1,-4.141969085E-1,8.868422508E0,2.267308950E0
4.009948880E-1,-5.793967843E-1,8.992920876E0,2.226607561E0
4.109948880E-1,-7.709329724E-1,9.182063103E0,2.250549555E0
4.209948880E-1,-9.744400978E-1,9.404723167E0,2.341529369E0
4.309948880E-1,-1.230619669E0,9.692028046E0,2.537853718E0
4.409948880E-1,-1.493981838E0,9.960178375E0,2.786850691E0
4.509948880E-1,-1.757344007E0,1.016607952E1,3.062183857E0
4.609948880E-1,-1.987187386E0,1.031212616E1,3.296815634E0
4.709948880E-1,-2.231395960E0,1.048929691E1,3.466804028E0
4.809948880E-1,-2.449268341E0,1.069040966E1,3.612850428E0
4.909948880E-1,-2.604891539E0,1.090828228E1,3.732560396E0
5.009948880E-1,-2.683900118E0,1.115009689E1,3.775655985E0
5.109948880E-1,-2.652775526E0,1.135360336E1,3.768473387E0
5.209949210E-1,-2.609679937E0,1.150204468E1,3.718195200E0
5.309949210E-1,-2.631227732E0,1.159541798E1,3.624821424E0
5.409949210E-1,-2.722207308E0,1.163851357E1,3.505111217E0
5.509949210E-1,-2.894589901E0,1.161696625E1,3.301604033E0
5.609949210E-1,-3.083731890E0,1.160499477E1,3.050212860E0
5.709948870E-1,-3.246537447E0,1.163133144E1,2.786850691E0
5.809948870E-1,-3.347094059E0,1.168639755E1,2.540247917E0
5.909948870E-1,-3.349488258E0,1.177498341E1,2.248155355E0
6.009948870E-1,-3.294421434E0,1.183004951E1,1.980004787E0
6.109948870E-1,-3.124433279E0,1.180610752E1,1.757344007E0
6.209948870E-1,-2.863465309E0,1.173428154E1,1.541865945E0
6.309948870E-1,-2.516305923E0,1.162893677E1,1.302445769E0
6.409948870E-1,-2.188300371E0,1.153556347E1,1.072602391E0
6.509948870E-1,-1.862688899E0,1.143261242E1,8.714894056E-1
6.609948870E-1,-1.544260144E0,1.129853725E1,7.110779285E-1
6.709948870E-1,-1.216254473E0,1.111418343E1,5.770025849E-1
6.809948870E-1,-9.528923035E-1,1.093940639E1,4.644751251E-1
6.909948870E-1,-7.541735172E-1,1.079096603E1,3.878606856E-1
7.009948870E-1,-5.410895944E-1,1.066886234E1,3.232172430E-1
7.109948870E-1,-2.274491638E-1,1.052281570E1,2.681505978E-1
7.209948870E-1,7.900865376E-2,1.034803867E1,2.442085743E-1
7.309948870E-1,3.758896589E-1,1.012537861E1,2.513911724E-1
7.409948870E-1,6.416460276E-1,9.878775597E0,2.825157940E-1
