"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.882950400E-2,2.370114326E0,2.841463089E0,-4.280615807E0
3.882950400E-2,2.946553469E0,2.452399254E0,-3.819857836E0
4.882950400E-2,2.904983521E0,2.238201618E0,-3.821083784E0
5.882950400E-2,2.863391876E0,2.292217255E0,-4.207672119E0
6.882950400E-2,2.519865990E0,2.400365829E0,-3.830290556E0
7.882950400E-2,2.225139856E0,2.420510292E0,-3.894562006E0
8.882950400E-2,2.115333796E0,2.461718559E0,-3.981122017E0
9.882950400E-2,1.901090860E0,2.600766182E0,-3.885202169E0
1.088295040E-1,1.899028540E0,2.568980694E0,-3.859028578E0
1.188295040E-1,1.827917576E0,2.525228024E0,-4.138117790E0
1.288295040E-1,1.750854969E0,2.554443359E0,-4.063377380E0
1.388295040E-1,1.484224081E0,2.511709213E0,-4.018471718E0
1.488295040E-1,1.284344435E0,2.537106514E0,-4.000233650E0
1.588295040E-1,1.004016399E0,2.508679390E0,-3.808725357E0
1.688295040E-1,9.903385639E-1,2.634975910E0,-3.801599503E0
1.788295040E-1,1.363451004E0,3.180726051E0,-3.977587461E0
1.888295040E-1,1.526438475E0,3.217961311E0,-4.037883759E0
1.988295040E-1,1.785352945E0,3.123086452E0,-4.090109825E0
2.088295040E-1,1.833163261E0,3.093041897E0,-4.097473145E0
2.188295040E-1,1.933062792E0,3.164940357E0,-4.112868786E0
2.288295560E-1,1.915458441E0,3.252723217E0,-4.013814449E0
2.388295560E-1,1.822488785E0,3.220147610E0,-3.866606712E0
2.488295560E-1,1.622362375E0,2.904641151E0,-3.698585749E0
2.588295560E-1,1.391423225E0,2.396768093E0,-3.372220039E0
2.688295560E-1,1.284527779E0,2.279091358E0,-2.945627213E0
2.788295560E-1,1.246155500E0,2.326505661E0,-2.296552181E0
2.888295560E-1,1.123181820E0,1.915079594E0,-2.161777973E0
2.988295560E-1,1.378928661E0,2.031751156E0,-2.297734737E0
3.088295560E-1,1.500837803E0,2.333296299E0,-2.439989090E0
3.188295560E-1,1.612665415E0,2.171890259E0,-2.275202274E0
