"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.591258400E-2,1.573741585E-1,-1.250746548E-1,-2.191479132E-2
2.998381300E-2,1.573741585E-1,-1.250746548E-1,-2.191479132E-2
3.998381300E-2,1.573741585E-1,-1.250746548E-1,-2.191479132E-2
4.998431300E-2,1.573741585E-1,-1.250746548E-1,-2.191479132E-2
5.998431300E-2,6.818783283E-2,-3.657555580E-1,-1.801288873E-1
6.998431300E-2,7.918340713E-2,-4.317290187E-1,-1.776854247E-1
7.998431300E-2,8.590292186E-2,-3.315471113E-1,-1.337031275E-1
8.998431300E-2,4.741841555E-2,-2.423607856E-1,-9.460775554E-2
9.998431300E-2,-4.604396969E-2,-1.110247597E-1,-7.628180087E-2
1.099843130E-1,-7.047858089E-2,-3.466660157E-2,-9.766208380E-2
1.199843130E-1,-9.430231899E-2,-2.611448988E-2,-1.642463952E-1
1.299843130E-1,-8.880453557E-2,-8.597928286E-2,-2.516001165E-1
1.399844030E-1,-3.871358559E-2,-1.262963861E-1,-3.389538527E-1
1.499844030E-1,6.024658307E-2,-1.128573567E-1,-4.177554548E-1
1.599844030E-1,2.514474094E-1,-3.627012372E-1,-5.209916830E-1
1.699844030E-1,4.438699484E-1,-6.693555713E-1,-6.456081867E-1
1.799844030E-1,5.904776454E-1,-8.941540122E-1,-7.958810329E-1
1.899844030E-1,7.065420151E-1,-1.005331516E0,-8.361981511E-1
1.999844030E-1,8.849146366E-1,-1.315651059E0,-8.404742479E-1
2.099844030E-1,9.893726110E-1,-1.745700121E0,-8.093200922E-1
2.199844030E-1,1.029078841E0,-2.029752493E0,-7.891615629E-1
2.299844030E-1,1.074893713E0,-2.235003233E0,-8.746826649E-1
2.399844030E-1,1.062065601E0,-2.178192854E0,-1.014570832E0
2.499844030E-1,1.091387153E0,-1.812895298E0,-1.137354732E0
2.599844030E-1,1.201953769E0,-1.801288843E0,-1.150793791E0
2.699844030E-1,1.296637893E0,-1.980883241E0,-1.169730544E0
2.799844030E-1,1.314352989E0,-2.205070734E0,-1.210658550E0
2.899844030E-1,1.268537998E0,-2.420706272E0,-1.268079877E0
2.999844030E-1,1.212338448E0,-2.566703081E0,-1.369483471E0
3.099844030E-1,1.196455956E0,-2.778062344E0,-1.535027981E0
3.199844030E-1,1.208673239E0,-3.154355526E0,-1.740278721E0
3.299844030E-1,1.279533625E0,-3.635717154E0,-2.004172564E0
3.399844030E-1,1.360167861E0,-4.072485924E0,-2.302885532E0
3.499843690E-1,1.483562589E0,-4.355316639E0,-2.655354977E0
3.599843690E-1,1.654604912E0,-4.491539478E0,-3.024317503E0
3.699843690E-1,1.843973160E0,-4.597218990E0,-3.347465277E0
3.799843690E-1,2.031508684E0,-4.648531914E0,-3.580204725E0
3.899844020E-1,2.186057568E0,-4.688238144E0,-3.684051991E0
3.999844020E-1,2.506150961E0,-4.417013645E0,-3.796451092E0
4.099844020E-1,2.658256531E0,-3.999181986E0,-3.751247168E0
4.199844020E-1,2.605721951E0,-3.566689491E0,-3.637626171E0
4.299844020E-1,2.430403709E0,-3.202003002E0,-3.524005175E0
4.399843680E-1,2.186668396E0,-2.867859602E0,-3.389003992E0
4.499843680E-1,1.958204865E0,-2.497064352E0,-3.213685751E0
4.599843680E-1,1.775556207E0,-2.208125114E0,-3.047530413E0
4.699843680E-1,1.637500644E0,-2.046245813E0,-2.916805267E0
4.799843680E-1,1.503110290E0,-1.929570556E0,-2.836170912E0
4.899843680E-1,1.308244228E0,-1.716378570E0,-2.765921354E0
4.999843680E-1,1.048626542E0,-1.408502579E0,-2.639472485E0
5.099843680E-1,8.067238927E-1,-1.109178543E0,-2.451936722E0
5.199843680E-1,5.984188914E-1,-9.045386910E-1,-2.235690355E0
5.299843680E-1,4.481460154E-1,-8.031350970E-1,-2.045100451E0
5.399843680E-1,3.742313087E-1,-7.707592249E-1,-1.916818738E0
5.499843680E-1,4.426482320E-1,-8.843801618E-1,-1.823967218E0
5.599843680E-1,5.397757888E-1,-1.015716195E0,-1.816636920E0
5.699843680E-1,5.929210782E-1,-1.132391453E0,-1.893605947E0
5.799844010E-1,5.348888636E-1,-1.182482362E0,-2.019444227E0
5.899844010E-1,4.047745764E-1,-1.112843752E0,-2.124512911E0
5.999844010E-1,2.740494311E-1,-9.564622641E-1,-2.153223515E0
6.099844010E-1,1.781435758E-1,-8.153523803E-1,-2.112295628E0
6.199844010E-1,1.530981064E-1,-7.078400850E-1,-2.023720264E0
6.299844010E-1,2.117411643E-1,-6.107125282E-1,-1.908877492E0
6.399844340E-1,3.467423916E-1,-5.422956347E-1,-1.802587032E0
6.499844670E-1,4.921283126E-1,-5.349652171E-1,-1.762880683E0
6.599844670E-1,5.581017733E-1,-6.052147150E-1,-1.808084726E0
6.699844670E-1,5.379431844E-1,-7.292203903E-1,-1.905823231E0
6.799844670E-1,4.683045745E-1,-8.110763431E-1,-2.005394220E0
6.899844330E-1,3.931681514E-1,-8.092437387E-1,-2.053041697E0
6.999844330E-1,3.442989290E-1,-6.033821702E-1,-1.993787766E0
7.099844330E-1,3.485749662E-1,-4.457789063E-1,-1.867949605E0
7.199844330E-1,3.791182339E-1,-3.425426781E-1,-1.747609138E0
7.299844330E-1,4.298200607E-1,-2.411390543E-1,-1.685911775E0
7.399844330E-1,4.609741867E-1,-1.947132945E-1,-1.676137924E0
7.499844330E-1,4.621959031E-1,-2.093740702E-1,-1.720731020E0
7.599844330E-1,4.518111944E-1,-2.680171132E-1,-1.818469524E0
7.699844330E-1,4.292092025E-1,-3.700316250E-1,-1.941864252E0
7.799844330E-1,4.182136059E-1,-4.909829497E-1,-2.062815666E0
7.899844330E-1,4.340961277E-1,-6.143777370E-1,-2.175214767E0
7.999844330E-1,4.505894780E-1,-6.937901974E-1,-2.266844511E0
8.099844330E-1,4.371504486E-1,-7.133378983E-1,-2.336483240E0
8.199844330E-1,3.980550766E-1,-6.675229669E-1,-2.368248224E0
8.299844330E-1,3.546836376E-1,-5.887213945E-1,-2.337094069E0
8.399844330E-1,3.296381533E-1,-5.227479339E-1,-2.254016399E0
