"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.983321630E-1,4.867412090E0,2.521094322E0,7.020098686E0
4.083321630E-1,7.192481041E0,4.932055473E-1,6.773495674E0
4.183321630E-1,9.021651268E0,-1.211466074E0,6.665756702E0
4.283321630E-1,1.048211479E1,-2.628833532E0,6.593930721E0
4.383321630E-1,1.162175465E1,-3.897760391E0,6.423942566E0
4.483321630E-1,1.248845577E1,-5.011363506E0,6.206069946E0
4.583321630E-1,1.307742882E1,-6.033687592E0,5.933131218E0
4.683321630E-1,1.353232765E1,-6.924330711E0,5.655403614E0
4.783321630E-1,1.387469769E1,-7.731176376E0,5.394435883E0
4.883321630E-1,1.424819374E1,-8.401553154E0,5.214870453E0
4.983321630E-1,1.488535023E1,-8.923488617E0,5.126285076E0
5.083321630E-1,1.545756435E1,-9.347262383E0,5.042488098E0
5.183321630E-1,1.587415600E1,-9.706393242E0,4.908412933E0
5.283321630E-1,1.607526970E1,-9.967360497E0,4.711789131E0
5.383321630E-1,1.603456688E1,-1.019241619E1,4.448426723E0
5.483321630E-1,1.591246319E1,-1.039352894E1,4.192247391E0
5.583321630E-1,1.555093861E1,-1.056351757E1,3.991134167E0
5.683321630E-1,1.505533886E1,-1.065928555E1,3.825934410E0
5.783322210E-1,1.428889465E1,-1.066646767E1,3.667917013E0
5.883322210E-1,1.355387497E1,-1.059224796E1,3.545812607E0
5.983322210E-1,1.283800888E1,-1.036479855E1,3.452438831E0
6.083322210E-1,1.221791077E1,-1.000806236E1,3.402160645E0
6.183322210E-1,1.171752262E1,-9.560346603E0,3.416525841E0
6.283322210E-1,1.129135418E1,-9.083900452E0,3.497928619E0
6.383322210E-1,1.091307068E1,-8.559570312E0,3.663128614E0
6.483322210E-1,1.057788277E1,-8.061576843E0,3.854664803E0
6.583322210E-1,1.034085655E1,-7.554005623E0,4.053383350E0
6.683322210E-1,1.022832870E1,-7.103895664E0,4.218583584E0
6.783322210E-1,1.020438671E1,-6.704063892E0,4.290409565E0
6.883322210E-1,1.014692593E1,-6.323386192E0,4.283226967E0
6.983322210E-1,9.991303444E0,-5.947496414E0,4.086902142E0
7.083322210E-1,9.814131737E0,-5.612308025E0,3.840299606E0
7.183322210E-1,9.565135002E0,-5.267542839E0,3.507505417E0
7.283322210E-1,9.265859604E0,-4.913201332E0,3.150769472E0
7.383322210E-1,8.954613686E0,-4.541800499E0,2.820369720E0
7.483322210E-1,8.643367767E0,-4.254496574E0,2.545036316E0
7.583322210E-1,8.394370079E0,-3.924096584E0,2.370259762E0
7.683322210E-1,8.178892136E0,-3.622427225E0,2.257732153E0
7.783322210E-1,7.944260597E0,-3.430891037E0,2.164358377E0
7.883322210E-1,7.764695168E0,-3.272873640E0,2.090138197E0
7.983322210E-1,7.565976620E0,-3.234566450E0,1.996764183E0
8.083322210E-1,7.357681274E0,-3.236960649E0,1.903390408E0
8.183322210E-1,7.125443459E0,-3.251325846E0,1.793257117E0
8.283322540E-1,6.936301708E0,-3.280056238E0,1.680729628E0
