"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
2.833216300E-2,-6.856399775E-1,-1.191495419E0,7.565755844E-1
3.833216300E-2,-6.906827688E-1,-1.134082317E0,7.257471085E-1
4.833216300E-2,-6.956166029E-1,-1.076443195E0,6.952819824E-1
5.833216300E-2,-6.991897821E-1,-1.018128872E0,6.646909714E-1
6.833216300E-2,-7.194459438E-1,-9.305734634E-1,6.226425171E-1
7.833241300E-2,-7.562137842E-1,-8.495354652E-1,5.883541107E-1
8.833241300E-2,-8.094645739E-1,-7.740354538E-1,5.612649918E-1
9.833241300E-2,-8.927075863E-1,-7.036108971E-1,5.441503525E-1
1.083324130E-1,-1.000110865E0,-6.341538429E-1,5.343866348E-1
1.183324130E-1,-1.137239695E0,-5.663743019E-1,5.345125198E-1
1.283324130E-1,-1.309435606E0,-5.016641617E-1,5.479660034E-1
1.383324130E-1,-1.508347273E0,-4.384381771E-1,5.736970901E-1
1.483324130E-1,-1.723472118E0,-3.766472340E-1,6.103134155E-1
1.583324130E-1,-1.953971863E0,-3.151757717E-1,6.583557129E-1
1.683324130E-1,-2.195972204E0,-2.507708073E-1,7.163658142E-1
1.783324130E-1,-2.441801548E0,-1.811974049E-1,7.815113068E-1
1.883324130E-1,-2.687082291E0,-1.064012051E-1,8.524675369E-1
1.983324130E-1,-2.924112320E0,-2.887988091E-2,9.269218445E-1
2.083324130E-1,-3.161835194E0,5.510926247E-2,1.007257462E0
2.183324130E-1,-3.403510094E0,1.521999836E-1,1.092906952E0
2.283324130E-1,-3.650276661E0,2.650697231E-1,1.184451103E0
2.383324130E-1,-3.906526089E0,3.918082714E-1,1.286706924E0
2.483324130E-1,-4.197127819E0,5.256423950E-1,1.420805454E0
2.583324130E-1,-4.511244297E0,6.548426151E-1,1.589333534E0
2.683324130E-1,-4.856020927E0,7.734818459E-1,1.805227757E0
2.783324130E-1,-5.222829342E0,8.816542625E-1,2.069163322E0
2.883324130E-1,-5.587199688E0,9.919302464E-1,2.361529827E0
2.983324130E-1,-5.925741673E0,1.123367548E0,2.654013157E0
3.083324130E-1,-6.234156132E0,1.292917013E0,2.932751179E0
3.183320200E-1,-6.516053677E0,1.508985043E0,3.196103573E0
3.283320540E-1,-6.778242111E0,1.771025538E0,3.452646732E0
3.383320540E-1,-7.027490616E0,2.070220709E0,3.717380047E0
3.483320540E-1,-7.265377045E0,2.392458916E0,4.001671791E0
3.583320540E-1,-7.487795830E0,2.729512930E0,4.306038380E0
3.683320540E-1,-7.678206444E0,3.081881523E0,4.604162693E0
3.783320200E-1,-7.820353508E0,3.459781647E0,4.860915661E0
3.883320200E-1,-7.912925720E0,3.867144585E0,5.068116188E0
3.983320200E-1,-4.071365833E0,3.297846317E0,3.062179804E0
4.083320200E-1,-1.773873329E0,1.699414372E0,2.989370823E0
4.183320200E-1,4.270648956E-2,4.085477591E-1,3.070727348E0
4.283320200E-1,1.502105713E0,-6.119716167E-1,3.208393335E0
4.383320200E-1,2.654175758E0,-1.497359037E0,3.263131142E0
4.483320200E-1,3.554305077E0,-2.234675407E0,3.266487122E0
4.583320200E-1,4.204150200E0,-2.881232977E0,3.195036650E0
4.683320200E-1,4.751212120E0,-3.389769554E0,3.092390299E0
4.783320200E-1,5.217047691E0,-3.806357384E0,2.983832598E0
4.883320200E-1,5.743298531E0,-4.082585812E0,2.938150167E0
4.983320200E-1,6.559416771E0,-4.211814404E0,2.970103502E0
5.083320200E-1,7.330855370E0,-4.253577232E0,2.997762680E0
5.183320200E-1,7.534884453E0,-3.900753975E0,3.109399796E0
5.283320200E-1,8.347639084E0,-4.209719658E0,2.894246340E0
5.383320200E-1,8.489167213E0,-4.161614895E0,2.755341053E0
5.483320200E-1,8.536530495E0,-4.119864941E0,2.640882492E0
5.583320200E-1,8.343423843E0,-4.062985420E0,2.589359999E0
5.683320200E-1,8.512303352E0,-3.851195812E0,2.737186193E0
5.783320530E-1,7.420547009E0,-3.756151676E0,2.552830458E0
5.883320530E-1,6.859676361E0,-3.493929863E0,2.560088873E0
5.983320530E-1,6.325853825E0,-3.082715988E0,2.596149445E0
6.083320530E-1,5.895478725E0,-2.546097755E0,2.683795452E0
6.183324190E-1,5.588238716E0,-1.926480770E0,2.845486641E0
6.283323850E-1,5.353065968E0,-1.290746212E0,3.081232309E0
6.383323850E-1,5.160396099E0,-6.216645241E-1,3.405621529E0
6.483323850E-1,5.003127098E0,5.797386169E-3,3.756616592E0
6.583323850E-1,4.937060833E0,6.292963028E-1,4.104176521E0
6.683323850E-1,4.992259979E0,1.185973644E0,4.396779060E0
6.783323850E-1,5.130043507E0,1.683160305E0,4.565395355E0
6.883323850E-1,5.218734741E0,2.148385048E0,4.618379593E0
6.983323850E-1,5.173533916E0,2.587361336E0,4.426295280E0
7.083323850E-1,5.085131645E0,2.973010540E0,4.154801369E0
7.183323850E-1,4.905157089E0,3.356960297E0,3.776998758E0
7.283323850E-1,4.656278133E0,3.739901543E0,3.364128113E0
7.383323850E-1,4.378650188E0,4.130361557E0,2.976592541E0
7.483323850E-1,4.086055756E0,4.428218842E0,2.651842594E0
7.583323850E-1,3.842400551E0,4.761798382E0,2.440140486E0
7.683323850E-1,3.622518063E0,5.061307907E0,2.304661751E0
7.783323850E-1,3.373894215E0,5.245552063E0,2.197769642E0
7.883323850E-1,3.169436932E0,5.390436172E0,2.112189770E0
7.983323850E-1,2.936392307E0,5.410491943E0,2.003054142E0
8.083323850E-1,2.684287071E0,5.384470940E0,1.886198997E0
8.183323850E-1,2.399122238E0,5.341092110E0,1.743507266E0
8.283324180E-1,2.343522072E0,5.309964180E0,1.705640197E0
8.383324180E-1,1.919715405E0,5.186064243E0,1.407208443E0
8.483324180E-1,1.652242184E0,5.067269802E0,1.193271041E0
8.583324180E-1,1.421498299E0,4.946693897E0,9.399129152E-1
8.683324180E-1,1.353313923E0,4.814549446E0,7.114490867E-1
8.783323840E-1,1.461702824E0,4.641185760E0,5.461527109E-1
8.883323840E-1,1.651414871E0,4.446885586E0,4.596779644E-1
8.983323840E-1,1.863780975E0,4.266147614E0,4.827361703E-1
9.083323840E-1,2.069244385E0,4.100236893E0,5.373498201E-1
9.183323840E-1,2.287906170E0,3.910640717E0,5.197510123E-1
9.283323840E-1,2.490314007E0,3.689110279E0,4.151630998E-1
9.383323840E-1,2.810966492E0,3.464018822E0,1.925812662E-1
9.483323840E-1,3.114346981E0,3.232157707E0,-8.037701249E-2
9.583323840E-1,3.399356365E0,2.950147152E0,-4.168593884E-1
9.683323840E-1,3.570403576E0,2.630388737E0,-7.703315020E-1
9.783323840E-1,3.639459133E0,2.230034351E0,-1.101433873E0
9.883323840E-1,3.680900574E0,1.775553703E0,-1.340465307E0
9.983323840E-1,3.757032871E0,1.246491432E0,-1.427678943E0
1.008332384E0,3.840517044E0,7.108778954E-1,-1.408443451E0
1.018332384E0,3.913348675E0,6.856155396E-2,-1.282419920E0
1.028332384E0,3.956958294E0,-6.413269043E-1,-1.149113894E0
1.038332384E0,4.075011730E0,-1.446774006E0,-1.014061332E0
1.048332384E0,4.160759449E0,-2.220719337E0,-8.797089458E-1
1.058332384E0,4.327241421E0,-3.111685276E0,-8.647271395E-1
1.068332384E0,4.535965443E0,-4.035964966E0,-8.918273449E-1
1.078332417E0,4.686685562E0,-4.938885212E0,-9.912047386E-1
1.088332417E0,4.688513756E0,-5.801578999E0,-1.042765379E0
1.098332417E0,4.444452286E0,-6.479190350E0,-1.010428429E0
1.108332417E0,4.071287155E0,-6.974272251E0,-9.624059200E-1
1.118332417E0,3.510740280E0,-7.293033123E0,-8.282868862E-1
1.128332383E0,3.017523766E0,-7.442949772E0,-7.213702202E-1
1.138332383E0,2.679440498E0,-7.384283066E0,-5.459814668E-1
1.148332383E0,2.442481041E0,-7.290514469E0,-3.771299720E-1
1.158332383E0,2.236852646E0,-7.118023396E0,-1.879535913E-1
1.168332383E0,1.997773170E0,-6.940035343E0,2.539861202E-2
1.178332383E0,1.681402206E0,-6.750761986E0,2.602957487E-1
1.188332383E0,1.368198395E0,-6.624113083E0,4.670177698E-1
1.198332383E0,1.044603348E0,-6.536098480E0,6.146171093E-1
1.208332383E0,6.626148224E-1,-6.481213093E0,8.198434711E-1
1.218332383E0,2.517747879E-1,-6.453709602E0,9.668501616E-1
1.228332383E0,-1.883506775E-1,-6.386760235E0,1.052886486E0
1.238332383E0,-7.189254761E-1,-6.241463661E0,1.121927261E0
1.248332383E0,-1.236515045E0,-6.030506134E0,1.112359762E0
1.258332383E0,-1.793234825E0,-5.697867393E0,1.106962919E0
1.268332383E0,-2.262579441E0,-5.360962868E0,1.103247643E0
1.278332383E0,-2.685501099E0,-4.994304657E0,1.115782738E0
1.288332383E0,-3.081872940E0,-4.668037415E0,1.162263393E0
1.298332383E0,-3.532007694E0,-4.307665348E0,1.248941541E0
1.308332383E0,-3.938974380E0,-4.000516415E0,1.350621939E0
1.318332383E0,-4.307621002E0,-3.730545998E0,1.401857138E0
1.328332383E0,-4.686100483E0,-3.520267010E0,1.420248032E0
1.338332383E0,-5.082577705E0,-3.365123272E0,1.380631924E0
1.348332383E0,-5.476593971E0,-3.278456688E0,1.291406989E0
1.358332383E0,-5.863854408E0,-3.255679369E0,1.163580298E0
1.368332383E0,-6.191612244E0,-3.261493444E0,1.001026511E0
1.378332349E0,-6.451256275E0,-3.305731535E0,7.955319285E-1
1.388332349E0,-6.641525269E0,-3.354126453E0,6.020821333E-1
1.398332349E0,-6.763072491E0,-3.396518707E0,4.116986394E-1
1.408332349E0,-6.840153217E0,-3.445213795E0,2.712433338E-1
1.418332349E0,-6.901018143E0,-3.520622015E0,1.590484381E-1
1.428332349E0,-6.949821472E0,-3.612844467E0,7.325226068E-2
1.438332349E0,-7.000142097E0,-3.739412785E0,-1.620179415E-2
1.448332349E0,-7.048911095E0,-3.911878347E0,-1.088175178E-1
1.458332349E0,-7.110423088E0,-4.152838707E0,-2.156289667E-1
1.468332349E0,-7.194414139E0,-4.401859760E0,-3.667734861E-1
1.478332349E0,-7.253288269E0,-4.667493343E0,-5.586199760E-1
1.488332349E0,-7.222278595E0,-4.968279362E0,-7.657248378E-1
1.498332349E0,-7.082059860E0,-5.362197876E0,-9.943331480E-1
1.508332349E0,-6.832444191E0,-5.768803596E0,-1.217780590E0
1.518332349E0,-6.437195301E0,-6.276949406E0,-1.432814002E0
1.528332349E0,-6.082612991E0,-6.812783241E0,-1.530002356E0
1.542175345E0,-5.746543407E0,-7.335488319E0,-1.606552601E0
1.552175378E0,-5.480491638E0,-7.761091232E0,-1.648552179E0
1.562175378E0,-5.237917900E0,-8.149306297E0,-1.687791824E0
1.572175378E0,-4.993376255E0,-8.569378853E0,-1.624628305E0
1.582175411E0,-4.565412521E0,-9.197291374E0,-1.544204593E0
1.592175411E0,-3.998966694E0,-9.826891899E0,-1.501555562E0
1.602175411E0,-3.357533455E0,-1.041043568E1,-1.466401219E0
1.612175411E0,-2.726873398E0,-1.080765724E1,-1.480651855E0
1.622175411E0,-2.049205780E0,-1.104748344E1,-1.417526364E0
1.632175411E0,-1.360343456E0,-1.113488388E1,-1.319478631E0
1.642175411E0,-6.695508957E-1,-1.106192970E1,-1.068586707E0
1.652175411E0,-5.219745636E-2,-1.094595242E1,-7.031384110E-1
1.662175411E0,6.440458298E-1,-1.078629971E1,-1.992126703E-1
1.672175411E0,1.339164734E0,-1.050973320E1,3.032540083E-1
1.682175411E0,2.038142204E0,-1.010632706E1,7.225953341E-1
1.692175411E0,2.725801468E0,-9.783418655E0,1.141263843E0
1.702175411E0,3.227473259E0,-9.388373375E0,1.350543022E0
1.712175411E0,3.686233044E0,-8.934450150E0,1.394739389E0
1.722175411E0,4.152129173E0,-8.287899971E0,1.263205528E0
1.732175411E0,4.631918907E0,-7.542934418E0,1.031659603E0
1.742175411E0,5.073719501E0,-6.711419106E0,6.721178293E-1
1.752175411E0,5.502921104E0,-5.882002831E0,2.874193192E-1
1.762175411E0,5.718263149E0,-4.726185322E0,-7.590776682E-2
1.772175411E0,5.807608604E0,-3.569270134E0,-3.535574377E-1
1.782175411E0,5.712266922E0,-2.355242252E0,-4.914402962E-1
1.792175411E0,5.603382587E0,-1.269102097E0,-5.601011515E-1
1.802175411E0,5.396111488E0,-2.758874893E-1,-5.230903625E-1
1.812175411E0,5.065124989E0,6.038622856E-1,-3.339034617E-1
1.822175411E0,4.713141918E0,1.339553833E0,-1.272633076E-1
1.832175444E0,4.376259327E0,1.950515747E0,7.632797956E-2
1.842175444E0,4.112545013E0,2.463125706E0,2.440741062E-1
1.852175410E0,3.927900314E0,2.903878212E0,3.986842930E-1
1.862175410E0,3.854486942E0,3.309749603E0,5.345867872E-1
1.872175410E0,3.853885174E0,3.660904884E0,6.628589630E-1
1.882175376E0,3.961476564E0,3.963670731E0,8.161135316E-1
1.892175376E0,4.101836681E0,4.220015049E0,9.759891033E-1
1.902175376E0,4.292149544E0,4.447654724E0,1.168295622E0
1.912175376E0,4.488011360E0,4.630948067E0,1.361892819E0
1.922175376E0,4.676876068E0,4.820366383E0,1.578518391E0
1.932175376E0,4.820461750E0,5.016401291E0,1.790043354E0
1.942175376E0,4.893921375E0,5.202594757E0,1.974213362E0
1.952175376E0,4.940192699E0,5.379529953E0,2.110992670E0
1.962175376E0,4.920554161E0,5.559550285E0,2.164608002E0
1.972175376E0,4.869027138E0,5.731214046E0,2.130613804E0
1.982175376E0,4.827342987E0,5.886333466E0,1.998580933E0
1.992175376E0,4.804514885E0,6.013566017E0,1.807118416E0
2.002175376E0,4.861569881E0,6.055672646E0,1.577349305E0
2.012175376E0,4.957654953E0,6.012414932E0,1.388327122E0
2.022175376E0,5.181799889E0,5.838323116E0,1.325173616E0
2.032175376E0,5.434388161E0,5.604763031E0,1.348377466E0
2.042175376E0,5.669793129E0,5.248819828E0,1.439363003E0
2.052175376E0,5.907453537E0,4.843649864E0,1.545512676E0
2.062175376E0,6.259113312E0,4.347408295E0,1.666574836E0
2.072175376E0,6.681923866E0,3.820652962E0,1.775347352E0
2.082175409E0,7.276109695E0,3.202231884E0,1.867396116E0
2.092175409E0,7.982347488E0,2.543116093E0,1.950478792E0
2.102175409E0,8.803707123E0,1.701484680E0,2.043300867E0
2.112175409E0,9.492919922E0,9.136495590E-1,2.124372244E0
2.122175409E0,1.001243973E1,1.845607758E-1,2.188815355E0
2.132175375E0,1.042332935E1,-4.879398346E-1,2.210516930E0
2.142175375E0,1.082122993E1,-1.209707260E0,2.127706528E0
2.152175375E0,1.114537239E1,-1.859783173E0,1.988756180E0
2.162175375E0,1.138344193E1,-2.434115410E0,1.733817577E0
2.172175375E0,1.152945518E1,-2.992969513E0,1.396844864E0
2.182175375E0,1.154643059E1,-3.643567085E0,9.705320001E-1
2.192175375E0,1.138102150E1,-4.351569176E0,5.536521673E-1
2.202175375E0,1.101216888E1,-5.222350121E0,1.496218145E-1
2.212175375E0,1.050156021E1,-6.164560318E0,-1.437163949E-1
