"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.260496700E-2,-3.298672289E-2,6.566801574E-3,-1.298088697E-3
2.655650400E-2,-3.298672289E-2,6.566801574E-3,-1.298088697E-3
3.655650400E-2,-3.298672289E-2,6.566801574E-3,-1.298088697E-3
4.655650400E-2,-3.298672289E-2,6.566801574E-3,-1.298088697E-3
5.655650400E-2,-1.747074574E-1,1.201877370E-1,4.696026444E-2
6.655650400E-2,-1.533271819E-1,8.292495459E-2,4.024074972E-2
7.655650400E-2,-1.038470939E-1,4.566217586E-2,1.145372284E-3
8.655650400E-2,-5.803219974E-2,2.000583708E-2,-3.184135258E-2
9.655650400E-2,-3.176499158E-2,1.069014193E-3,-4.039346427E-2
1.065565040E-1,-2.260201424E-2,-1.985311974E-3,-2.512183413E-2
1.165565040E-1,-2.260201424E-2,1.328631863E-2,-2.519819187E-3
1.265565040E-1,-2.321287990E-2,3.222314268E-2,1.091921609E-2
1.365565040E-1,-4.153883830E-2,4.627304152E-2,1.702786796E-2
1.465565040E-1,-8.491026610E-2,4.932736978E-2,2.313652076E-2
1.565565040E-1,-1.178969890E-1,6.582073122E-2,2.863430791E-2
1.665565040E-1,-1.313360333E-1,9.697485715E-2,4.085161164E-2
1.765565040E-1,-1.337794960E-1,9.453139454E-2,4.634939879E-2
1.865565040E-1,-1.044579595E-1,6.154467165E-2,1.763873361E-2
1.965565040E-1,-4.520402849E-2,3.955352306E-2,2.367102774E-3
2.065565040E-1,9.162978269E-3,2.306016348E-2,-6.185010541E-3
2.165565040E-1,3.726277873E-2,1.023199316E-2,-6.795875728E-3
2.265565040E-1,4.031710699E-2,-1.053742506E-2,1.091921609E-2
2.365565040E-1,-2.871066704E-2,-1.107193232E-1,4.757113010E-2
2.465565040E-1,-7.696902007E-2,-9.361509979E-2,4.818199575E-2
2.565565040E-1,-1.044579595E-1,-1.094975919E-1,2.741257846E-2
2.665565040E-1,-1.435533315E-1,-1.736384481E-1,1.824959926E-2
2.765565040E-1,-1.936442852E-1,-2.200642079E-1,1.641700417E-2
2.865565040E-1,-2.455678284E-1,-2.280054539E-1,1.214094646E-2
2.965565040E-1,-2.895501256E-1,-2.176207453E-1,-6.795875728E-3
3.065565040E-1,-3.170390725E-1,-2.438879460E-1,-1.656972058E-2
3.165565040E-1,-3.109304011E-1,-2.829833329E-1,-1.351539325E-2
3.265565040E-1,-2.577851415E-1,-3.233004212E-1,6.032294128E-3
