"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.576614000E-2,-4.036093712E0,5.163113117E0,7.410571575E0
3.576614000E-2,-3.836891174E0,5.255835056E0,7.737192154E0
4.576614000E-2,-3.808177233E0,5.140979290E0,7.790432453E0
5.576614000E-2,-3.713062525E0,5.069792747E0,7.982456207E0
6.576614000E-2,-3.589233875E0,5.085346222E0,8.169694901E0
7.576614000E-2,-3.422334671E0,4.986044407E0,8.338987350E0
8.576614000E-2,-3.403790236E0,5.076971531E0,8.358129501E0
9.576614000E-2,-3.389433384E0,4.943571568E0,8.583054543E0
1.057661400E-1,-3.294916868E0,4.767699242E0,8.971290588E0
1.157661400E-1,-3.213560820E0,4.572085857E0,9.096315384E0
1.257661400E-1,-3.069991350E0,4.481756687E0,9.160323143E0
1.357661400E-1,-3.017349243E0,4.487140656E0,9.189635277E0
1.457661400E-1,-2.916850805E0,4.425525665E0,9.257830620E0
1.557661400E-1,-2.744567633E0,4.325624943E0,9.202795982E0
1.657661400E-1,-2.577069998E0,4.350151539E0,9.209376335E0
1.757661400E-1,-2.535793781E0,4.456034184E0,9.605986595E0
1.857661400E-1,-2.643470764E0,4.585844517E0,1.010548782E1
1.957661400E-1,-2.678166628E0,4.696512699E0,1.040578747E1
2.057661400E-1,-2.669193745E0,4.830510616E0,1.040997505E1
2.157661400E-1,-2.630310297E0,5.011766911E0,1.016231823E1
2.257661400E-1,-2.533999205E0,5.154737949E0,9.852447510E0
2.357661400E-1,-2.273181438E0,5.273182869E0,8.834300995E0
2.457661400E-1,-1.724626899E0,5.134997368E0,8.105687141E0
2.557661400E-1,-1.354935765E0,5.025525570E0,7.814360619E0
2.657661400E-1,-1.187438250E0,4.840082169E0,7.940581799E0
2.757661400E-1,-1.208375454E0,4.573880672E0,8.566305161E0
2.857661400E-1,-1.244267821E0,4.326821327E0,9.588040352E0
2.957661400E-1,-1.266401410E0,4.204189301E0,1.043749237E1
3.057661400E-1,-1.311266780E0,4.019343853E0,1.123908806E1
3.157661400E-1,-1.205982566E0,3.747758389E0,1.145563793E1
3.257661400E-1,-1.174875975E0,3.555136204E0,1.088375378E1
3.357661400E-1,-1.023529887E0,3.324826956E0,1.018445110E1
3.457661400E-1,-7.878368497E-1,2.971885681E0,1.014018440E1
3.557661400E-1,-5.688936114E-1,2.572284460E0,1.074437141E1
3.657661400E-1,-4.725824594E-1,1.983051777E0,1.240798187E1
3.757661400E-1,-4.492524564E-1,1.557129383E0,1.436590862E1
3.857661400E-1,-7.136593461E-1,1.523629785E0,1.475414467E1
3.957661400E-1,-8.542376757E-1,1.569093466E0,1.391725445E1
4.057661400E-1,-1.060020447E0,1.999801517E0,1.227697468E1
4.157661400E-1,-1.138385415E0,2.699702263E0,1.078086281E1
4.257661400E-1,-1.045663476E0,3.128017426E0,9.883553505E0
4.357661400E-1,-8.177471161E-1,3.323032379E0,8.812167168E0
4.457661400E-1,-6.065805554E-1,3.390031576E0,8.475378036E0
4.557661400E-1,-7.639086246E-1,3.723232031E0,8.143373489E0
4.657661400E-1,-6.783652306E-1,3.933800459E0,8.034500122E0
4.757661400E-1,-5.742774606E-1,4.149752617E0,8.230711937E0
4.857661400E-1,-3.894318938E-1,4.194019794E0,8.643473625E0
4.957661400E-1,-2.231307179E-1,4.252644062E0,8.874381065E0
5.057661400E-1,-1.429711580E-1,4.320241451E0,9.018548965E0
5.157661400E-1,-5.563312769E-2,4.229313850E0,8.866603851E0
5.257661400E-1,6.939185411E-2,4.081557274E0,8.749356270E0
5.357661400E-1,2.662015259E-1,3.924229145E0,8.660821915E0
5.457661400E-1,4.965106845E-1,3.738187075E0,8.626125336E0
5.557661400E-1,8.279166222E-1,3.509672642E0,8.396414757E0
5.657661400E-1,1.049850941E0,3.270390272E0,8.022536278E0
5.757661400E-1,1.263410330E0,2.988037348E0,7.400402069E0
5.857661400E-1,1.266401410E0,2.800200701E0,6.665805817E0
5.957661400E-1,1.296909928E0,2.651247501E0,6.284150600E0
6.057661400E-1,1.322632670E0,2.382653236E0,6.008377552E0
6.157661400E-1,1.400997639E0,2.124228239E0,5.780461311E0
6.257661400E-1,1.549950838E0,2.019542217E0,5.691926956E0
6.357661400E-1,1.578664780E0,1.981257200E0,5.620740414E0
6.457661400E-1,1.383051515E0,1.889731646E0,5.599802971E0
6.557661400E-1,1.287936807E0,1.765304923E0,5.675177097E0
6.657661400E-1,1.301695466E0,1.674377680E0,5.780461311E0
6.757661400E-1,1.482951880E0,1.651645780E0,5.973681927E0
6.857661400E-1,1.624128342E0,1.853839397E0,6.442675114E0
6.957661400E-1,1.363908887E0,2.188236237E0,6.668198586E0
7.057661400E-1,9.756734371E-1,2.540579557E0,6.595815659E0
7.157661400E-1,7.417750359E-1,2.801995277E0,6.368497372E0
7.257661400E-1,6.364908218E-1,3.020938635E0,6.104090691E0
7.357661400E-1,6.412764788E-1,3.154936552E0,5.989234924E0
7.457661400E-1,5.455635786E-1,3.345764160E0,5.921039581E0
7.557661400E-1,2.614158690E-1,3.627519131E0,6.203392506E0
7.657661400E-1,-2.620140910E-1,3.796811342E0,8.120641708E0
7.757661400E-1,-8.291130662E-1,4.071387768E0,1.000857925E1
7.857661400E-1,-7.884350419E-1,4.718646049E0,8.690134048E0
7.957661400E-1,-8.117650747E-1,4.880760193E0,8.388637543E0
8.057661400E-1,-8.225327730E-1,4.570889473E0,8.986245155E0
8.157661400E-1,-6.801598072E-1,4.352544308E0,9.508479118E0
8.257661400E-1,-6.000002623E-1,4.396811485E0,9.709476471E0
8.357661400E-1,-6.382854581E-1,4.454239368E0,9.804591179E0
8.457661400E-1,-8.063812256E-1,4.420141697E0,9.974481583E0
8.557661400E-1,-9.738788009E-1,4.295714855E0,1.021137047E1
8.657661400E-1,-1.104885817E0,4.296313286E0,1.073480034E1
8.757661400E-1,-9.894321561E-1,4.222733974E0,1.183908844E1
8.857661400E-1,-8.452646136E-1,4.182653904E0,1.301994610E1
8.957661400E-1,-8.811569214E-1,3.964308977E0,1.395972729E1
9.057661400E-1,-9.684949517E-1,3.745365620E0,1.447956848E1
9.157661400E-1,-1.231107235E0,3.629911900E0,1.451007652E1
9.257661400E-1,-1.530808330E0,3.713660717E0,1.400997639E1
9.357661400E-1,-1.815554142E0,3.845266104E0,1.339561939E1
9.457661400E-1,-2.186441660E0,4.076771736E0,1.259880924E1
9.557661400E-1,-2.548954248E0,4.356133461E0,1.206879902E1
9.657661400E-1,-2.753540754E0,4.464408875E0,1.170329571E1
9.757661400E-1,-2.988037348E0,4.301696777E0,1.182532978E1
9.857661400E-1,-2.979662418E0,3.696312666E0,1.281416321E1
9.957661400E-1,-2.834298372E0,3.058625460E0,1.412064457E1
1.005766140E0,-2.611765862E0,2.746362209E0,1.512622833E1
1.015766140E0,-2.164308071E0,2.486740828E0,1.590030670E1
1.025766140E0,-1.770688772E0,2.129014015E0,1.577169228E1
1.035766140E0,-1.604985833E0,1.922633052E0,1.499163246E1
1.045766140E0,-1.417149186E0,1.843071699E0,1.333280754E1
1.055766140E0,-1.181456208E0,2.030908108E0,1.137368393E1
1.065766140E0,-1.824527264E0,2.105684042E0,9.390034676E0
1.075766140E0,-2.106282234E0,2.020738840E0,8.050053596E0
1.085766140E0,-2.154138565E0,1.655235052E0,7.028916359E0
1.095766140E0,-2.863012314E0,1.968096614E0,7.034300327E0
1.105766140E0,-3.174677372E0,1.924427629E0,7.298109055E0
1.115766140E0,-3.251247883E0,1.733001828E0,7.469195843E0
1.125766140E0,-3.189632654E0,1.466800332E0,7.909475327E0
