"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.342743220E-1,7.047133446E-1,-9.786622524E-1,-1.334486008E-1
1.512887570E-1,6.304366589E-1,-5.609319210E-1,2.316436768E-1
1.683092550E-1,6.347241402E-1,-4.475173950E-1,2.814121246E-1
1.853004980E-1,7.441263199E-1,-4.017491341E-1,-3.480529785E-2
2.023054930E-1,8.455855846E-1,-3.661792278E-1,-5.421180725E-1
2.193074460E-1,9.690296650E-1,-3.728978634E-1,-9.614109993E-1
2.363184330E-1,1.049118996E0,-3.879144192E-1,-1.198566437E0
2.533199190E-1,1.090145350E0,-3.302392960E-1,-1.172492981E0
2.703207420E-1,1.070420504E0,-1.254346371E-1,-9.482841492E-1
2.873307420E-1,9.903085232E-1,1.516599655E-1,-6.174535751E-1
3.043341920E-1,9.753628969E-1,3.870165348E-1,-3.937559128E-1
3.213442630E-1,1.046807289E0,6.107053757E-1,-3.809394836E-1
3.383460540E-1,1.110879898E0,7.816469669E-1,-4.585494995E-1
3.553509580E-1,1.057561636E0,8.587381840E-1,-3.397512436E-1
3.723562070E-1,1.010222435E0,9.316384792E-1,-2.466115952E-1
3.893613340E-1,9.911004305E-1,1.077079773E0,-2.161931992E-1
4.063564720E-1,9.498316050E-1,1.116247177E0,-1.476125717E-1
4.233703170E-1,1.013685226E0,1.195690155E0,-3.089942932E-1
4.403797070E-1,7.934608459E-1,1.768867254E0,-1.079170227E0
4.573783640E-1,8.884575367E-1,1.604835033E0,-6.441574097E-1
4.743902980E-1,9.193201065E-1,1.635247946E0,-6.555624008E-1
4.913877240E-1,8.342294693E-1,1.697325945E0,-8.420534134E-1
5.083935030E-1,6.871886253E-1,1.670269728E0,-8.776369095E-1
5.253890270E-1,8.191043139E-1,1.414492369E0,-6.621809006E-1
5.424069110E-1,1.012252092E0,1.017460585E0,-4.775152206E-1
5.594108480E-1,1.431185603E0,6.168568134E-1,4.472541809E-1
5.764171150E-1,1.250865579E0,4.394063950E-1,3.574647903E-1
5.934127110E-1,1.500474215E0,3.612368107E-1,6.146411896E-1
6.104255790E-1,1.503286839E0,2.990288734E-1,9.649248123E-1
6.274324460E-1,1.578392744E0,5.034596920E-1,1.134131432E0
6.444416020E-1,1.616420031E0,8.668632507E-1,1.199688911E0
6.614426000E-1,1.739032030E0,1.217319012E0,1.387804031E0
6.784281340E-1,1.780630827E0,1.493092775E0,1.315753937E0
6.954526110E-1,1.761178136E0,1.511636734E0,1.217579842E0
7.124578490E-1,1.731044531E0,9.532043934E-1,1.579461098E0
7.294587440E-1,1.988214970E0,-2.033176422E-1,2.744182587E0
7.464530580E-1,2.255529404E0,-9.784342051E-1,3.459876060E0
7.634731910E-1,1.391885996E0,-3.145134449E-1,3.770933151E0
7.804781860E-1,1.055979967E0,1.930081844E-2,4.133913994E0
7.974799050E-1,1.260132432E0,-1.104155779E-1,3.665084839E0
8.144751960E-1,1.268569946E0,-4.533696175E-2,2.136903763E0
8.314785530E-1,1.499065638E0,-6.931769848E-2,1.056556702E-1
8.484965080E-1,2.083934307E0,-6.572929621E-1,-1.179782867E0
8.655033850E-1,2.238265991E0,-9.538780451E-1,-2.226746559E0
8.825084820E-1,2.502120495E0,-1.101172328E0,-2.017766953E0
8.995181670E-1,2.643521547E0,-1.397116661E0,-1.812845230E0
9.165055830E-1,2.614519119E0,-1.732900620E0,-1.676972389E0
9.335193580E-1,2.389856100E0,-1.880023718E0,-1.474367142E0
9.505288890E-1,1.883256197E0,-1.401219964E0,-1.324215889E0
9.675292760E-1,1.605415583E0,-1.303094745E0,-1.078240395E0
9.845399480E-1,1.550448298E0,-1.091546416E0,-8.122196198E-1
1.001544059E0,1.424638391E0,-1.287447929E0,-8.198957443E-1
1.018536063E0,1.288314939E0,-1.174743056E0,-1.536019802E0
1.035560977E0,1.211599350E0,-9.849727154E-1,-2.199787140E0
1.052559430E0,1.041931391E0,-9.678661823E-1,-2.512553692E0
1.069563438E0,1.167104483E0,-1.206800342E0,-2.609987259E0
1.086569481E0,9.844624996E-1,-9.474136829E-1,-2.231100082E0
1.103576084E0,1.150405645E0,-7.519658804E-1,-1.959241867E0
1.120577326E0,1.378109813E0,-2.934756279E-1,-1.968401432E0
1.137584955E0,1.425506115E0,-1.284878254E-1,-1.881896973E0
1.154576778E0,1.287848711E0,-8.511948586E-2,-1.533735275E0
1.171595861E0,1.096152544E0,1.482021809E-1,-1.042736053E0
1.188600184E0,1.015962601E0,3.472397327E-1,-4.557151794E-1
1.205589342E0,1.064000130E0,3.913967609E-1,-7.050037384E-2
1.222610165E0,1.065164089E0,5.807776451E-1,5.558586121E-2
1.239615262E0,9.074844122E-1,1.002795935E0,1.775875092E-1
1.256616970E0,7.477443218E-1,1.221764565E0,2.678136826E-1
1.273628650E0,6.664974689E-1,1.350585938E0,5.203027725E-1
1.290630553E0,8.669339418E-1,9.724636078E-1,1.141006470E0
1.307632251E0,9.110811949E-1,4.236657619E-1,1.961568832E0
1.324640583E0,1.099884033E0,7.304067612E-1,3.478235245E0
1.341650746E0,7.885651588E-1,1.692811251E0,5.091766357E0
1.358654052E0,5.199843645E-1,2.271401405E0,5.977586746E0
1.375655925E0,4.387512207E-1,1.904008150E0,5.176010132E0
1.392643352E0,-1.655626297E-1,1.758202553E0,4.299057961E0
1.409666088E0,-4.926126003E-1,1.626731634E0,4.368913651E0
1.426671235E0,-8.822851181E-1,5.087487698E-1,4.781040192E0
1.443673068E0,-6.037328243E-1,-5.267012119E-1,5.705639839E0
1.460681276E0,-3.076679707E-1,-1.251245975E0,6.348401070E0
1.477686444E0,4.587373734E-1,-2.046065807E0,5.339797020E0
1.494694583E0,1.090934992E0,-2.501809835E0,3.133915901E0
1.511693292E0,1.718403578E0,-3.531614065E0,1.096910477E0
1.528704879E0,1.344762921E0,-3.728353262E0,-1.722172737E0
1.545703558E0,9.421253204E-1,-4.162714481E0,-3.328689575E0
1.562711848E0,8.377804756E-1,-4.088874817E0,-3.048816204E0
1.579699875E0,4.904108047E-1,-4.226739883E0,-2.319417953E0
1.596721878E0,9.139838219E-1,-4.506974220E0,-1.912144661E0
1.613727057E0,1.402388215E0,-4.682316780E0,-2.207028866E0
1.630732022E0,1.868400693E0,-4.940312862E0,-2.803922176E0
1.647737179E0,2.103069067E0,-4.776913166E0,-3.094954491E0
1.664729368E0,2.188826799E0,-3.983954430E0,-2.575739384E0
1.681746041E0,2.135893106E0,-3.452913523E0,-1.985984802E0
1.698748004E0,2.247994900E0,-3.159549713E0,-1.363111019E0
1.715757415E0,2.655665874E0,-3.000530958E0,-9.873805046E-1
1.732765807E0,3.073947430E0,-2.740293503E0,-1.407952309E0
1.749756286E0,2.730727673E0,-2.374929190E0,-2.201086044E0
