"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
3.509043900E-2,-1.824959964E-1,2.089159191E-1,8.717046976E-1
4.509043900E-2,-1.007927656E-1,4.825835302E-2,8.112290502E-1
5.509043900E-2,-1.201877370E-1,1.563815027E-1,7.498371005E-1
6.509043900E-2,-2.076941878E-1,3.313944042E-1,6.870706677E-1
7.509043900E-2,-3.002402782E-1,6.574437022E-1,6.653849483E-1
8.509043900E-2,-3.564398587E-1,8.959866166E-1,7.087563872E-1
9.509043900E-2,-2.799290121E-1,1.171181440E0,6.934847832E-1
1.050904390E-1,-1.875356287E-1,1.348790407E0,6.860016584E-1
1.150904390E-1,-1.985312104E-1,1.396438003E0,7.212791443E-1
1.250904390E-1,-2.460259795E-1,1.392620087E0,7.162395120E-1
1.350904390E-1,-2.785545588E-1,1.369407177E0,6.382014751E-1
1.450904390E-1,-3.184134960E-1,1.204779029E0,5.065600276E-1
1.550904390E-1,-3.239113092E-1,8.466592431E-1,3.938553631E-1
1.650904390E-1,-2.942843437E-1,4.789183438E-1,3.057380617E-1
1.750904390E-1,-2.368630022E-1,1.137736514E-1,2.553416789E-1
1.850904390E-1,-1.307251602E-1,-3.961461186E-1,1.970040351E-1
1.950904390E-1,-2.107485011E-2,-6.249151230E-1,2.025018334E-1
2.050904390E-1,-1.542434748E-2,-4.712825418E-1,3.486513495E-1
2.150904390E-1,-2.243402600E-1,-1.566869318E-1,6.455318332E-1
2.250904390E-1,-4.744895697E-1,1.313360315E-2,9.729556441E-1
2.350904390E-1,-6.284276247E-1,4.398229718E-2,1.238834739E0
2.450904390E-1,-7.629706860E-1,1.394299865E-1,1.520290852E0
2.550904390E-1,-8.729264140E-1,3.003929853E-1,1.671174645E0
2.650904390E-1,-9.593638778E-1,4.208861589E-1,1.702481389E0
2.750904390E-1,-1.072373986E0,4.718934000E-1,1.653306842E0
2.850904390E-1,-1.169348836E0,4.557054639E-1,1.550528765E0
2.950904390E-1,-1.232267857E0,4.882340431E-1,1.430799127E0
3.050904390E-1,-1.244332552E0,6.061310172E-1,1.330311775E0
3.150904390E-1,-1.143234253E0,8.579602242E-1,1.249372125E0
3.250904390E-1,-1.026711702E0,7.437284589E-1,1.350012183E0
3.350904390E-1,-8.860600591E-1,4.425718784E-1,1.540143967E0
3.450904390E-1,-6.117815375E-1,4.657847434E-2,1.835802794E0
3.550904390E-1,-2.608394623E-1,-1.873829067E-1,2.112830162E0
3.650904390E-1,6.582073122E-2,-4.361577928E-1,2.358092546E0
3.750904390E-1,4.511239827E-1,-1.007622242E0,2.520124674E0
3.850904390E-1,8.578075171E-1,-1.519832730E0,2.457205534E0
3.950904390E-1,1.319468975E0,-1.707673788E0,2.188730240E0
4.050904390E-1,1.612073421E0,-1.337184072E0,1.779450417E0
4.150904390E-1,1.771661878E0,-1.217912555E0,1.191034555E0
4.250904390E-1,1.476308584E0,-1.047786593E0,6.163630486E-1
4.350904390E-1,1.400103092E0,-1.105513334E0,4.075998366E-1
4.450904390E-1,1.115745425E0,-9.355401397E-1,3.152064681E-1
4.550904390E-1,8.312348723E-1,-7.507534027E-1,2.813034356E-1
4.650904390E-1,5.638286471E-1,-4.981606007E-1,1.313360333E-1
4.750904390E-1,3.501785100E-1,-3.271183372E-1,-5.146539584E-2
4.850904390E-1,9.407325089E-2,-1.403462887E-1,-2.805398703E-1
4.950904390E-1,-1.426370293E-1,2.214386500E-2,-4.766276181E-1
5.050904390E-1,-2.872593701E-1,7.559457421E-2,-4.880813360E-1
5.150904390E-1,-8.246681094E-2,-3.265074790E-1,3.555235863E-1
5.250904390E-1,2.113593817E-1,-7.602217793E-1,6.159048676E-1
5.350904390E-1,2.901609838E-1,-1.022588372E0,2.846632004E-1
5.450904390E-1,5.222898126E-1,-1.443016410E0,-6.185010448E-2
5.550904390E-1,6.968445182E-1,-1.517694712E0,-2.738203406E-1
5.650904390E-1,7.200574279E-1,-1.401019454E0,-3.533855379E-1
5.750904390E-1,5.839871764E-1,-1.297783256E0,-4.247040749E-1
5.850904390E-1,2.458732575E-1,-1.110705733E0,-4.854851663E-1
5.950904390E-1,-2.503020465E-1,-8.518515825E-1,-5.016731024E-1
6.050904390E-1,-6.554583907E-1,-6.049093008E-1,-4.822781086E-1
6.150904390E-1,-1.037554622E0,-3.190243840E-1,-4.225660264E-1
6.250904390E-1,-1.217607141E0,-1.840231568E-1,-4.243986309E-1
6.350904390E-1,-1.232267857E0,-1.863138936E-2,-4.285219610E-1
6.450904390E-1,-1.053742528E0,6.078109145E-2,-3.538436890E-1
6.550904390E-1,-6.832527518E-1,1.319468915E-1,-2.167044431E-1
6.650904390E-1,-2.884811163E-1,1.325577646E-1,-3.772092983E-2
6.750904390E-1,-4.581489484E-4,1.791362315E-1,4.932736978E-2
