"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-8.583333693E-4,3.700305176E-1,1.000070343E1,8.864566040E-1
9.094666631E-3,4.224215698E-1,9.967173157E0,8.174501038E-1
1.904766663E-2,4.439767456E-1,9.921967163E0,8.223898315E-1
2.900166664E-2,4.986131287E-1,9.847571869E0,7.861651611E-1
3.895466664E-2,5.068460083E-1,9.843530273E0,8.063731384E-1
4.890866665E-2,4.827461243E-1,9.886191559E0,8.463400269E-1
5.886166665E-2,4.806504822E-1,9.907147980E0,8.464897156E-1
6.881566666E-2,4.584965515E-1,9.902956696E0,8.318202209E-1
7.876866666E-2,4.173321533E-1,9.897418213E0,8.397537231E-1
8.872266667E-2,4.213737488E-1,9.882149963E0,8.696914673E-1
9.867566667E-2,4.077520752E-1,9.868079224E0,8.934919739E-1
1.086296666E-1,3.962260437E-1,9.834998016E0,8.884025574E-1
1.185826666E-1,3.595523071E-1,9.827214203E0,8.638536072E-1
1.285366666E-1,3.221301270E-1,9.833950195E0,8.060737610E-1
1.384896666E-1,2.847079468E-1,9.791887665E0,7.725434875E-1
1.484436666E-1,3.055146790E-1,9.742191010E0,7.402107239E-1
1.583966666E-1,3.836521912E-1,9.708361359E0,7.047344971E-1
1.683506666E-1,4.294569397E-1,9.651329956E0,7.048841858E-1
1.783036666E-1,4.555027771E-1,9.638756104E0,7.159611511E-1
1.882576667E-1,4.113446045E-1,9.657616882E0,7.140151978E-1
1.982106667E-1,3.724255371E-1,9.712702332E0,7.164102173E-1
2.081646667E-1,3.567082214E-1,9.813592529E0,7.159611511E-1
2.181176667E-1,3.543132019E-1,9.902208252E0,7.692503357E-1
2.280716667E-1,3.523672485E-1,9.931846619E0,8.550219727E-1
2.380246667E-1,3.625460815E-1,9.948312378E0,8.951385498E-1
2.479786666E-1,3.823049927E-1,9.987081757E0,9.003776550E-1
2.579316666E-1,3.197351074E-1,1.006851242E1,8.316705322E-1
2.678856666E-1,2.468367004E-1,9.973160706E0,7.683522034E-1
