"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.361666670E-3,3.438281361E-3,1.856454462E-2,-1.833561435E-2
1.531566662E-2,3.650433850E-3,6.621459965E-3,5.017733201E-4
2.526866662E-2,8.538931608E-3,-6.745478138E-3,7.287773769E-3
3.522266663E-2,1.620747149E-2,-2.193862572E-2,9.052428417E-3
4.517566663E-2,2.148186043E-2,-2.798240259E-2,4.801223986E-3
5.512966664E-2,2.269546315E-2,-3.312923014E-2,-2.741913311E-3
6.508266664E-2,2.162940055E-2,-3.148445860E-2,-2.064671367E-3
7.503666665E-2,2.165154181E-2,-2.593231946E-2,2.795632463E-3
8.498966665E-2,1.972394623E-2,-2.876618877E-2,1.064876094E-2
9.494366666E-2,2.072399296E-2,-3.015751392E-2,1.491236128E-2
1.048966667E-1,2.670731582E-2,-3.426996991E-2,1.130351238E-2
1.148506667E-1,3.871672228E-2,-2.578935772E-2,-4.142045043E-3
1.248036667E-1,5.452125147E-2,-1.213852689E-2,-3.082984686E-2
1.347576666E-1,6.655544788E-2,5.884977523E-3,-5.259253830E-2
1.447106666E-1,6.946015358E-2,8.626168594E-3,-5.517766997E-2
1.546646666E-1,6.430082768E-2,-2.434382914E-3,-3.362623230E-2
1.646176666E-1,4.079816863E-2,-1.617070101E-2,-6.527768448E-3
1.745716666E-1,6.436898839E-3,-2.612929605E-2,2.299030311E-2
1.845246666E-1,-2.191404812E-2,-3.876306489E-2,4.745516926E-2
1.944786666E-1,-4.318348318E-2,-4.092206061E-2,6.279004365E-2
2.044316666E-1,-4.696570337E-2,-2.961800620E-2,8.087370545E-2
2.143846666E-1,-3.513163328E-2,-2.296393178E-2,9.006777406E-2
2.243386667E-1,-2.443531156E-2,-2.060490288E-2,7.292313874E-2
2.342916667E-1,-1.126681082E-2,-1.371335238E-2,3.773171455E-2
2.442456667E-1,1.744594891E-3,-9.008846246E-4,-5.928681698E-3
2.541986667E-1,8.765518665E-3,2.108811587E-2,-4.934011400E-2
2.641526667E-1,6.589982193E-3,5.968983844E-2,-1.107182503E-1
2.741056667E-1,1.384017337E-2,9.739921242E-2,-1.570271552E-1
2.840596666E-1,2.316682786E-2,1.231743544E-1,-1.678595543E-1
2.940126666E-1,2.649651468E-2,1.343553960E-1,-1.412843317E-1
3.039666666E-1,3.437361121E-2,1.333098412E-1,-9.148988128E-2
3.139196666E-1,3.250563145E-2,1.234271303E-1,-5.734099448E-2
3.238736666E-1,4.504539445E-2,1.049522460E-1,-4.397273064E-2
3.338266666E-1,7.710818946E-2,7.622990012E-2,-5.656033754E-2
3.437806666E-1,1.336337924E-1,6.329705566E-2,-1.080134138E-1
3.537336666E-1,2.012640834E-1,5.615735054E-2,-1.906957477E-1
3.636876667E-1,2.771969438E-1,7.256562263E-2,-2.852872312E-1
3.736406667E-1,3.531987667E-1,1.043294072E-1,-3.728002906E-1
3.835946667E-1,4.161287248E-1,1.355062276E-1,-4.426238537E-1
3.935476667E-1,4.257489145E-1,1.782324612E-1,-4.734073579E-1
4.035016666E-1,3.689056039E-1,2.396311015E-1,-4.688592255E-1
4.134546666E-1,2.820239961E-1,2.986299694E-1,-4.606618583E-1
4.234086666E-1,2.262376994E-1,3.226799071E-1,-4.319846630E-1
4.333666667E-1,2.339335978E-1,2.903051376E-1,-3.738210797E-1
4.433206667E-1,2.869020104E-1,2.195121795E-1,-2.923608422E-1
4.532736667E-1,3.527581096E-1,1.233757734E-1,-1.954939365E-1
4.632276666E-1,3.797553778E-1,4.770603403E-2,-9.293508530E-2
4.731806666E-1,3.434542716E-1,8.518361486E-3,1.376319304E-2
4.831346666E-1,2.502233982E-1,1.531741209E-2,1.366464943E-1
4.930876666E-1,1.271615624E-1,8.354710042E-2,2.377879620E-1
5.030416666E-1,-1.280593686E-2,1.464965045E-1,3.334529698E-1
5.129946666E-1,-1.369115710E-1,2.554970086E-1,3.962884545E-1
5.229486667E-1,-2.241790891E-1,3.433027565E-1,4.219570756E-1
5.329016667E-1,-2.394039184E-1,3.808452487E-1,4.393235445E-1
5.428556667E-1,-1.784473658E-1,3.491823971E-1,4.728143811E-1
5.528086667E-1,-4.391553253E-2,2.816708982E-1,5.012893081E-1
5.627626667E-1,1.062180474E-1,2.008777857E-1,5.358667374E-1
5.727156667E-1,2.116599977E-1,1.463508904E-1,5.866423845E-1
5.826696666E-1,2.498396039E-1,1.401081681E-1,6.365585327E-1
5.926226666E-1,2.034139782E-1,1.750697345E-1,6.858126521E-1
6.025766666E-1,9.439242631E-2,2.409195900E-1,7.359315157E-1
6.125296666E-1,-6.556674093E-2,3.389226198E-1,7.691161036E-1
6.224836666E-1,-2.690969706E-1,4.544963539E-1,7.700681686E-1
6.324366666E-1,-4.538201690E-1,5.284728408E-1,7.530807853E-1
6.423906666E-1,-5.371582508E-1,5.208074450E-1,7.286478877E-1
6.523436666E-1,-4.796818197E-1,4.161046445E-1,7.298069000E-1
6.622966666E-1,-3.052034974E-1,2.598543167E-1,7.525247335E-1
6.722506667E-1,-6.621363759E-2,1.347468644E-1,7.728919983E-1
6.822036667E-1,1.686380208E-1,4.378606007E-2,7.950737476E-1
6.921576667E-1,3.178899586E-1,4.299203306E-2,8.073028326E-1
7.021106667E-1,3.546069562E-1,1.151895300E-1,7.848121524E-1
7.120646667E-1,3.170705140E-1,2.260619104E-1,7.489190102E-1
7.220176666E-1,2.484504282E-1,3.383010924E-1,7.253711224E-1
7.319716666E-1,1.716302931E-1,4.525204003E-1,7.251080871E-1
7.419246666E-1,9.296290576E-2,5.456431508E-1,7.189947963E-1
7.518786666E-1,3.224305063E-2,5.845760107E-1,7.058704495E-1
7.618316666E-1,1.433702186E-2,5.501213670E-1,6.991427541E-1
7.717856666E-1,3.997889534E-2,4.519451857E-1,7.096436620E-1
7.817386666E-1,9.585255384E-2,3.591170013E-1,7.197263837E-1
7.916926667E-1,1.578183174E-1,2.438185960E-1,7.563664317E-1
8.016456667E-1,2.148137093E-1,1.688005328E-1,7.967622876E-1
8.115996667E-1,2.418657988E-1,1.439960450E-1,8.239420056E-1
8.215526667E-1,2.188544869E-1,1.570766866E-1,8.313695788E-1
8.315066667E-1,1.601707041E-1,2.099743336E-1,8.245931268E-1
8.414596667E-1,7.292021811E-2,2.997636199E-1,7.911238670E-1
8.514136666E-1,-2.683407068E-2,3.891944289E-1,7.348251939E-1
8.613666666E-1,-1.167245433E-1,4.517481029E-1,6.679084301E-1
8.713206666E-1,-1.605976671E-1,4.537748098E-1,6.138501167E-1
8.812736666E-1,-1.339229196E-1,4.134878516E-1,5.496282578E-1
8.912276666E-1,-4.048705101E-2,3.269747496E-1,4.681091309E-1
9.011806666E-1,8.614093065E-2,2.362155467E-1,4.196111560E-1
9.111346666E-1,2.077149451E-1,1.640358269E-1,4.059762061E-1
9.210876666E-1,2.862609029E-1,1.167191714E-1,4.090449810E-1
9.310416667E-1,2.751409113E-1,1.151572168E-1,4.131878912E-1
9.409946667E-1,1.889144033E-1,1.435313374E-1,4.087840915E-1
9.509486667E-1,5.434438586E-2,1.963395029E-1,4.093592763E-1
9.609016667E-1,-1.016625166E-1,2.394006848E-1,4.135087729E-1
9.708556666E-1,-2.602889836E-1,2.619373500E-1,4.081180692E-1
9.808086666E-1,-3.493184745E-1,2.487517744E-1,3.998905122E-1
9.907626666E-1,-3.433550298E-1,1.769394279E-1,4.004272223E-1
1.000715667E0,-2.543913424E-1,1.083763465E-1,3.866443038E-1
1.010669667E0,-1.333809793E-1,1.450852118E-2,3.820534647E-1
1.020622667E0,1.630624197E-2,-1.396972686E-2,3.817200363E-1
1.030576667E0,1.319097579E-1,-6.387770176E-2,4.117553234E-1
1.040529667E0,2.122948766E-1,-7.056622952E-2,4.610190392E-1
1.050483667E0,1.712937355E-1,-4.432205856E-2,5.133340359E-1
1.060436667E0,8.615753055E-2,4.565981217E-4,5.623737574E-1
1.070390667E0,-4.176454991E-2,4.242795706E-2,6.063404083E-1
1.080343667E0,-1.809344292E-1,7.355844975E-2,6.376381516E-1
1.090297667E0,-2.702239454E-1,3.987402469E-2,6.616808772E-1
1.100250667E0,-2.872567177E-1,-3.510408103E-2,6.750504375E-1
1.110204667E0,-2.337070554E-1,-9.869349748E-2,6.416749954E-1
1.120157667E0,-1.252998859E-1,-1.801819801E-1,5.872479677E-1
1.130110667E0,2.214236185E-2,-2.416265309E-1,5.369567275E-1
1.140064667E0,1.555201262E-1,-2.748476267E-1,5.132173300E-1
1.150017667E0,2.283515334E-1,-2.711520195E-1,5.006989241E-1
1.159971667E0,2.329787761E-1,-2.454570681E-1,5.231429935E-1
1.169924667E0,1.722464114E-1,-2.194709778E-1,5.733482242E-1
1.179878667E0,4.833298177E-2,-1.946447194E-1,6.377676725E-1
1.189831667E0,-9.426345676E-2,-1.662944406E-1,7.123405337E-1
1.199785667E0,-2.075111866E-1,-1.291771680E-1,7.765754461E-1
1.209738667E0,-2.658109665E-1,-8.974295110E-2,7.771363258E-1
1.219692667E0,-2.955028415E-1,-7.284333557E-2,6.821805239E-1
1.229645667E0,-1.989246756E-1,-8.755443245E-2,5.731108785E-1
1.239599667E0,-6.462465972E-2,-1.197845414E-1,4.691528082E-1
1.249552667E0,5.322393030E-2,-1.378583461E-1,3.731355965E-1
1.259506667E0,1.480929106E-1,-1.503528357E-1,3.255273104E-1
1.269459667E0,1.604578197E-1,-1.311589330E-1,3.366668224E-1
1.279413667E0,1.302543879E-1,-9.727740288E-2,3.935655355E-1
1.289366667E0,5.108193308E-2,-8.273382485E-2,4.962461591E-1
1.299320667E0,-5.884563550E-2,-7.409159839E-2,6.589877009E-1
1.309273667E0,-1.594287455E-1,-1.087473184E-1,8.404763341E-1
1.319227667E0,-2.573531866E-1,-1.864287853E-1,9.874636531E-1
