"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
4.932124983E-3,-5.987913548E-1,-1.996520090E-1,1.830043282E-1
1.488512498E-2,-4.043473146E-1,-1.940135390E-1,2.354159188E-1
2.483912499E-2,-1.272378246E-1,-2.020446897E-1,3.696217241E-1
3.479312500E-2,2.130582858E-1,-9.940032721E-2,2.546088195E-1
4.474612500E-2,4.042150944E-1,1.796001524E-1,2.056359764E-1
5.470012501E-2,4.296868815E-1,3.072548103E-1,-4.718352199E-2
6.465412502E-2,4.411795107E-1,3.367627841E-1,-5.304404005E-2
7.460812503E-2,2.362560906E-1,2.837852561E-1,-6.765865856E-1
8.456112503E-2,-6.868928879E-2,1.214443302E-1,3.289993628E-1
9.451512498E-2,-8.958862625E-2,2.736216259E-1,1.468281897E-1
1.044691250E-1,-1.120909779E-1,2.333635461E-1,4.326465958E-1
1.144221250E-1,-1.341213861E-1,8.686623573E-3,1.988018239E-1
1.243761250E-1,-3.196731269E-2,2.690245450E-2,1.968055113E-1
1.343301250E-1,1.140194627E-1,8.212589800E-2,-6.361302853E-2
1.442841250E-1,2.840187793E-1,7.205991626E-2,-6.420184314E-2
1.542371250E-1,3.807062177E-1,1.267968714E-1,-1.545651524E-1
1.641911250E-1,3.700457934E-1,3.309395421E-1,-1.765959261E-1
1.741451250E-1,3.007699558E-1,4.601051205E-1,-1.988189270E-1
1.840981250E-1,1.724941774E-1,3.933193928E-1,-1.912859590E-1
1.940521250E-1,2.075432651E-2,1.239405066E-1,-1.133816046E-1
2.040061250E-1,-2.880462684E-1,-3.216845691E-2,2.075035771E-1
2.139591250E-1,-5.897437388E-1,-1.537993133E-1,5.347711408E-1
2.239131250E-1,-5.109659564E-1,-2.084216630E-1,5.082299712E-1
2.338671250E-1,-8.311049603E-2,-7.069225252E-2,2.785794801E-1
2.438211250E-1,2.465050171E-1,2.025545669E-1,6.387352198E-3
2.537741250E-1,4.867709090E-1,-1.789183670E-1,-1.041586232E0
2.637281250E-1,1.933494414E-1,6.687519014E-2,4.453267946E-1
2.736821250E-1,1.424715024E-1,4.860100400E-1,1.732114846E-1
2.836351250E-1,-1.527617249E-1,8.786470628E-1,-3.122323988E-1
2.935891250E-1,-5.124580928E-1,1.023406581E0,-1.357669388E-1
3.035431250E-1,-3.257192210E-1,6.912894094E-1,4.227741569E-1
3.134971250E-1,-7.236696817E-2,4.564710760E-1,6.300438454E-1
3.234501250E-1,-4.092641652E-2,3.978083003E-1,4.946955673E-1
3.334041250E-1,1.678406708E-1,2.349972582E-1,2.866351160E-1
3.433581250E-1,4.380058613E-1,1.671251178E-2,1.503325722E-1
3.533111250E-1,2.418179622E-1,-1.966371846E-1,2.457743344E-1
3.632651250E-1,-5.159278306E-1,-3.455885714E-1,-1.841989875E-2
3.732191250E-1,-5.979480401E-1,-3.053187972E-1,-3.692762268E-1
3.831731250E-1,-1.176323622E0,-4.411712515E-1,-2.292885485E-1
3.931261250E-1,-7.118678809E-1,2.241828328E-1,-2.649023310E-1
4.030801250E-1,2.203010125E-1,9.459596246E-1,3.133709248E-1
4.130341250E-1,4.869821396E-1,9.387219411E-1,9.058319378E-1
4.229871250E-1,-1.740137956E-1,2.468285143E-1,6.635039522E-1
4.329411250E-1,-4.514744841E-1,2.152944803E-2,2.212247995E-1
4.428951250E-1,-2.881596313E-1,1.141785800E-1,9.576737903E-2
4.528491250E-1,-6.633965828E-2,2.408093905E-1,1.796725117E-2
4.628021250E-1,1.503687519E-1,5.792286909E-1,-1.061275488E-1
4.727561250E-1,2.525269914E-1,8.229570115E-1,1.947831787E-2
4.827101250E-1,9.125866413E-2,8.503915626E-1,5.760815732E-2
4.926631250E-1,-6.653700180E-2,8.047236389E-1,-1.009638727E-1
5.026171250E-1,1.204087883E-2,8.299450189E-1,-7.924848318E-2
5.125711250E-1,-2.008715920E-2,8.633753049E-1,-1.255544112E-1
5.225241250E-1,-8.818799883E-2,8.628291750E-1,-6.866217233E-2
5.324781250E-1,-5.979512561E-2,9.139940661E-1,1.405736424E-2
5.424321250E-1,-2.135860701E-1,8.522252494E-1,1.061620474E-2
5.523861250E-1,-2.924181950E-1,8.091885728E-1,-9.844664633E-2
5.623391250E-1,-2.881661728E-1,8.219273168E-1,-1.643944681E-1
5.722931250E-1,-3.904991711E-1,5.942098421E-1,-1.205298257E-1
5.822471250E-1,-6.733913016E-1,3.082885981E-2,-1.716829493E-1
5.922001250E-1,-6.457977793E-1,1.015062019E0,3.458171976E-1
6.021541250E-1,-9.077078708E-1,5.811366373E-1,6.278786945E-1
6.121081250E-1,-8.315407971E-1,4.121532744E-1,2.442622445E-1
6.220621250E-1,-8.786013814E-1,1.022704915E0,3.064572501E-1
6.320151250E-1,-2.978959945E-1,9.883215326E-1,4.258497558E-1
6.419691250E-1,-7.533614773E-2,9.309954304E-1,2.558777384E-1
