"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
9.466958349E-3,-3.401325345E-3,3.196117312E-1,-6.120040888E-1
1.942095836E-2,-2.522939068E-1,3.850093299E-1,-9.717078388E-1
2.937395836E-2,-5.350553155E-1,4.350582799E-1,-1.429141951E0
3.932795837E-2,-4.098994651E-1,4.019843817E-1,-1.655330379E0
4.928195837E-2,-2.724779105E-1,2.019344696E-1,-1.779548044E0
5.923595832E-2,4.726421356E-1,2.972724438E-2,-1.835594775E0
6.918995833E-2,3.895505700E-1,-2.498097172E-1,-1.910739682E0
7.914295833E-2,-1.854245639E-1,-1.508906159E-1,-2.554313473E0
8.909695834E-2,-2.794097847E-1,3.865719983E-1,-2.591953754E0
9.905095835E-2,-1.434064722E-1,7.031373301E-1,-2.789442878E0
1.090049584E-1,1.939287543E-2,6.824057347E-1,-3.044076841E0
1.189589584E-1,2.549561441E-1,5.073073536E-1,-3.444777174E0
1.289119584E-1,3.876715672E-1,2.049001774E-1,-4.276757609E0
1.388659584E-1,3.338081861E-1,-1.028981316E-1,-5.142456012E0
1.488199583E-1,2.570719591E-1,-6.915629129E-1,-5.278630064E0
1.587739583E-1,3.108259973E-1,-1.611248220E0,-5.132866579E0
1.687279583E-1,7.694687292E-1,-1.473326582E0,-4.400718580E0
1.786809583E-1,1.436312976E0,-4.830212358E-1,-3.561905674E0
1.886349584E-1,1.894486323E0,1.524812047E-1,-3.239332913E0
1.985889584E-1,1.965031664E0,7.898530000E-1,-2.772129858E0
2.085429584E-1,1.982096325E0,1.358178973E0,-1.878224486E0
2.184969584E-1,2.929570232E0,1.917859106E0,-7.164721978E-1
2.284499583E-1,3.435087168E0,1.879608083E0,-3.791340476E-1
2.384039583E-1,3.577611880E0,1.711349190E0,-1.383747677E0
2.483579583E-1,2.870021603E0,1.570416090E0,-3.160953326E0
2.583119583E-1,1.896232009E0,1.610102751E0,-4.460928530E0
2.682659584E-1,1.684211677E0,1.819101242E0,-4.663115891E0
2.782189584E-1,1.228698083E0,1.797078288E0,-4.242021639E0
2.881729584E-1,4.675573969E-1,1.480597010E0,-3.507340043E0
2.981269584E-1,5.861936018E-2,1.012628847E0,-2.094166253E0
3.080809583E-1,-1.192372987E-1,4.998419210E-1,-8.337632507E-1
3.180349583E-1,1.662235502E-1,4.021345089E-1,1.727858073E-1
3.279879583E-1,1.004420671E0,6.555487423E-1,5.433987075E-1
3.379419583E-1,1.372158203E0,8.515029721E-1,2.813212395E-2
3.478959583E-1,1.323626898E0,8.006000362E-1,-8.248778218E-1
3.578499584E-1,1.680886074E0,8.563218087E-1,-2.536140327E0
3.678038333E-1,2.544027344E0,1.521291146E0,-4.088961999E0
3.777568333E-1,3.304268290E0,2.306225761E0,-4.183038436E0
3.877108333E-1,3.228734542E0,2.050157623E0,-4.283453840E0
3.976648333E-1,4.541968600E0,1.686896719E0,-3.159641211E0
4.076188334E-1,6.135991507E0,1.144258296E0,-9.457146263E-1
4.175728334E-1,6.795109536E0,4.289647503E-1,1.083907136E0
4.275258334E-1,6.263511094E0,-6.808629468E-2,2.239017572E0
4.374798334E-1,4.069203088E0,-7.860284825E-1,2.533977442E0
4.474338333E-1,1.737240807E0,-1.331364519E0,1.671620137E0
4.573878333E-1,2.979438503E-1,-1.632464404E0,9.322578442E-1
4.673418333E-1,-9.315672880E-1,-2.143101162E0,1.494109195E0
4.772948333E-1,-1.268476399E0,-2.242169952E0,2.432817687E0
4.872488333E-1,2.658123770E-1,-1.966977764E0,2.586375511E0
4.972028334E-1,2.184091167E0,-1.697010063E0,2.597448383E0
5.071568334E-1,3.229135954E0,-1.477129612E0,2.927148900E0
5.171108334E-1,4.696042440E0,-6.752408490E-1,2.268291072E0
5.270638334E-1,5.469290224E0,-2.176164097E-1,1.214494758E0
5.370178333E-1,3.229118704E0,-8.806602591E-1,2.120387506E-1
5.469718333E-1,-2.396913737E0,-3.230951222E0,-1.460422801E0
5.569258333E-1,-9.094979081E0,-8.309889808E0,-1.983182006E0
5.668798333E-1,-5.887456191E0,-9.588781705E0,1.283708834E0
5.768328334E-1,1.578886220E0,-3.471737808E0,3.121600980E0
5.867868334E-1,2.201424653E0,-2.247226478E0,1.363093557E0
5.967408334E-1,-4.249873281E-2,-5.122781886E0,7.265118670E-1
6.066948334E-1,-7.719874173E-1,-5.333589213E0,1.494398047E0
6.166488333E-1,-2.420694655E-1,-4.314162832E0,2.446303706E0
6.266018333E-1,3.862618035E-1,-4.341599137E0,1.809534320E0
6.365558333E-1,2.140373290E-1,-4.504367495E0,1.646970615E0
6.465098333E-1,-2.451521176E-1,-4.176518206E0,1.703646507E0
6.564638334E-1,2.200880277E-1,-3.994170447E0,1.985019786E0
6.664178334E-1,1.198938240E0,-4.269436895E0,3.174500740E0
6.763708334E-1,2.095946730E0,-4.368978140E0,4.030321442E0
6.863248334E-1,2.751390368E0,-4.196850144E0,3.898865510E0
6.962788333E-1,2.635507910E0,-4.182826182E0,3.781797528E0
7.062328333E-1,2.898554261E0,-4.013481461E0,4.670245109E0
7.161868333E-1,3.451473990E0,-3.830864146E0,5.391070851E0
7.261398333E-1,3.745553854E0,-2.996141367E0,6.023444300E0
7.360938333E-1,4.195829220E0,-1.922485569E0,5.602126685E0
7.460478334E-1,3.921249236E0,-1.276594527E0,5.084307792E0
7.560018334E-1,3.806283621E0,-1.175226611E0,4.645188913E0
7.659558334E-1,4.140001760E0,-1.117667205E0,4.245639896E0
7.759088334E-1,4.647705262E0,-3.784581095E-1,4.396056011E0
7.858628333E-1,5.201151533E0,1.921740049E-1,4.898715413E0
7.958168333E-1,5.526191819E0,1.524766731E-1,4.936998303E0
8.057708333E-1,5.590495988E0,1.178488773E-1,4.574325922E0
8.157248333E-1,5.661748989E0,1.264589024E-1,4.214764259E0
8.256778333E-1,5.825886179E0,2.915988904E-1,4.018990123E0
8.356318334E-1,6.062123632E0,8.368499959E-1,3.774796364E0
8.455858334E-1,6.030221223E0,8.144656849E-1,3.615296016E0
8.555398334E-1,5.905420007E0,8.980387688E-1,3.505181251E0
8.654938333E-1,5.926119150E0,1.630981988E0,3.361343254E0
8.754468333E-1,5.916437330E0,2.369478309E0,3.186684583E0
8.854008333E-1,5.968641272E0,2.276989390E0,3.210899073E0
8.953548333E-1,6.222519774E0,2.565816116E0,3.577317181E0
9.053088333E-1,5.717816770E0,2.550096461E0,3.296474243E0
9.152628334E-1,4.743591705E0,2.008594590E0,2.730569018E0
9.252158334E-1,4.110378011E0,1.766740302E0,2.539867927E0
9.351698334E-1,4.109112089E0,2.660162694E0,2.541707461E0
9.451238334E-1,4.092208665E0,3.663787560E0,2.633410513E0
9.550778333E-1,3.767398467E0,3.429462147E0,2.352224929E0
9.650318333E-1,3.702034782E0,3.283410394E0,1.947739109E0
9.749848333E-1,3.905154482E0,3.557625512E0,1.685480962E0
9.849388333E-1,4.178440771E0,3.876939620E0,1.433446087E0
9.948928333E-1,4.641800159E0,4.447969930E0,1.297353312E0
1.004846833E0,5.277123821E0,5.130209604E0,1.205309951E0
1.014800833E0,5.480653703E0,5.150752627E0,6.095266235E-1
1.024753833E0,5.353067458E0,4.583324786E0,1.013322655E-1
1.034707833E0,5.431164039E0,4.003962779E0,-8.182575312E-3
1.044661833E0,5.511075597E0,3.158560646E0,-1.101135957E-1
1.054615833E0,5.386926345E0,2.058391233E0,-4.213526988E-1
1.064569833E0,5.159000709E0,7.570021731E-1,-5.535231614E-1
1.074522833E0,5.145257413E0,2.001092613E-2,-4.616990715E-1
1.084476833E0,5.829985077E0,1.912799072E0,3.448693639E-1
1.094430833E0,6.238698435E0,2.130755205E0,4.895891207E-1
1.104384833E0,6.219510797E0,3.990280294E-1,-1.462780581E-1
