"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
-2.423833357E-3,-5.087470551E0,4.684658203E0,7.230863342E0
7.530166651E-3,-5.113815765E0,4.634213104E0,7.125183105E0
1.748416666E-2,-5.004542999E0,4.603377228E0,7.121291199E0
2.743816667E-2,-4.967719574E0,4.548890533E0,7.090155945E0
3.739216668E-2,-4.860093384E0,4.563859406E0,7.065457306E0
4.734616668E-2,-4.841082916E0,4.538112946E0,7.040459290E0
5.730016663E-2,-4.837340698E0,4.507426758E0,7.006030884E0
6.725316664E-2,-4.604724426E0,4.507726135E0,7.072642365E0
7.720716664E-2,-4.334536285E0,4.429888000E0,7.078779602E0
8.716116665E-2,-4.669240265E0,4.270319824E0,6.919061737E0
9.711516666E-2,-4.820874939E0,4.318070526E0,6.806495819E0
1.070691667E-1,-4.484524384E0,4.560566254E0,6.898255005E0
1.170231667E-1,-4.840035095E0,4.689298553E0,6.827751617E0
1.269771667E-1,-5.404361572E0,4.878505096E0,6.841223602E0
1.369311666E-1,-5.363795929E0,5.223387909E0,6.854545898E0
1.468851666E-1,-5.400469666E0,5.221142578E0,7.103927307E0
1.568391667E-1,-5.714815979E0,4.700076141E0,7.104825439E0
1.667931667E-1,-5.439987488E0,4.590503998E0,7.404951324E0
1.767471667E-1,-5.191055145E0,4.864134979E0,8.306975555E0
1.867011667E-1,-4.891827393E0,4.659660187E0,8.857081604E0
1.966551667E-1,-4.615052948E0,4.203109589E0,8.704399109E0
2.066091666E-1,-4.691543884E0,3.104544067E0,8.571325836E0
2.165631666E-1,-4.726271667E0,3.201242981E0,9.307944031E0
2.265171667E-1,-4.405488739E0,3.706741791E0,9.975555725E0
2.364711667E-1,-4.160298615E0,4.129612427E0,1.019619690E1
2.464241667E-1,-3.689377899E0,4.592300262E0,1.038570282E1
2.563781667E-1,-2.537822571E0,4.183500366E0,1.081081879E1
2.663357500E-1,-3.136278076E0,3.600612488E0,1.103056183E1
2.762897500E-1,-4.170028381E0,3.350033569E0,1.066801575E1
2.862437500E-1,-3.071612549E0,3.551364899E0,9.337432709E0
2.961977500E-1,-1.237177277E0,3.591930542E0,7.503147125E0
3.061517500E-1,-3.577560425E-1,2.915936279E0,5.713768158E0
3.161057500E-1,-6.331832886E-2,1.735341339E0,4.774321747E0
3.260597500E-1,-2.510279846E-1,7.488926697E-1,4.715494080E0
3.360137500E-1,-6.083349609E-1,-1.510359192E-1,5.147495728E0
3.459677500E-1,-1.228345642E0,-7.726931763E-1,5.448519745E0
3.559217500E-1,-1.706152039E0,-5.938151550E-1,5.303770752E0
3.658757500E-1,-1.999541931E0,-8.262817383E-2,5.404361572E0
3.758297500E-1,-1.845961304E0,1.329235840E-1,6.189478912E0
3.857837500E-1,-1.754950562E0,-1.207987976E-1,6.644682312E0
3.957377500E-1,-2.527194672E0,-5.959107971E-1,6.348747711E0
4.056917500E-1,-8.678952026E-1,4.960684204E-1,6.599326630E0
4.156447500E-1,-4.177812195E-1,1.126407623E0,6.626270599E0
4.255987500E-1,9.415420532E-1,7.539820862E-1,7.157066803E0
4.355527500E-1,1.104104004E0,6.104306030E-1,7.211553497E0
4.455067500E-1,-7.970924377E-1,3.260220337E-1,7.064858551E0
4.554607500E-1,-1.702260132E0,1.957928467E-1,6.556515656E0
4.654147500E-1,-1.507964172E0,-5.074447632E-2,6.375541992E0
4.753687500E-1,-1.623224487E0,-2.326162720E-1,6.816974030E0
4.853227500E-1,-2.110760651E0,-9.035211182E-1,7.283404083E0
4.952767500E-1,-2.847827911E0,-1.697021027E0,7.596253510E0
5.052307500E-1,-2.480342102E0,-1.772314453E0,7.978408813E0
5.151847500E-1,-1.696721649E0,-1.621278534E0,8.393645325E0
5.251387500E-1,-7.069798279E-1,-1.108744354E0,8.436007233E0
5.350927500E-1,1.192120972E0,1.773811340E-1,8.617729340E0
5.450467500E-1,2.859353943E0,1.254092102E0,8.389753418E0
5.550007500E-1,4.738246765E0,1.699865112E0,5.034480743E0
5.649547500E-1,5.300776978E0,6.444099426E-1,2.665656738E0
5.749087500E-1,4.918322296E0,-8.375083923E-1,1.836830292E0
5.848627500E-1,4.849764862E0,-2.003882904E0,1.613943787E0
5.948157500E-1,3.601660309E0,-2.184257813E0,2.105521545E0
6.047697500E-1,1.032103729E0,-1.812431030E0,3.743565216E0
6.147237500E-1,-1.017733612E0,-6.080355835E-1,5.595065002E0
6.246777500E-1,3.243754578E-1,7.993377686E-2,7.172035675E0
6.346317500E-1,3.376977539E0,-1.959425354E-1,7.067702637E0
6.445857500E-1,5.930517426E0,-7.378157043E-1,5.411546631E0
6.545397500E-1,7.741152191E0,-1.153201904E0,3.226390686E0
6.644937500E-1,9.687255249E0,-1.818119202E0,2.484383698E0
6.744477500E-1,1.068163742E1,-2.446512451E0,4.178860016E0
6.844017500E-1,1.033271301E1,-3.114872589E0,4.631369019E0
6.943557500E-1,8.269553375E0,-3.811523895E0,3.841761017E0
7.043097500E-1,6.694378967E0,-3.930676117E0,4.045936432E0
7.142637500E-1,7.528594208E0,-4.691992950E0,3.973786469E0
7.242177500E-1,9.531129913E0,-6.337970123E0,4.176015930E0
