"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
5.103083386E-3,-9.417679906E-1,-3.614890575E-1,2.070360780E-1
1.505708334E-2,-1.338266373E0,-1.235520542E-1,2.120551467E-1
2.501208335E-2,-1.616079330E0,8.794394135E-2,2.617508173E-1
3.496608336E-2,-1.727487087E0,2.298168987E-1,3.088935614E-1
4.492008337E-2,-1.735800743E0,4.269616604E-1,3.876093924E-1
5.487408338E-2,-1.656771541E0,8.276012540E-1,4.787141681E-1
6.482908333E-2,-1.523618817E0,1.205382824E0,5.832182169E-1
7.478308334E-2,-1.381701469E0,1.344544053E0,7.213443518E-1
8.473708335E-2,-1.255416751E0,1.284728885E0,8.673308492E-1
9.469108336E-2,-1.210124135E0,1.221956253E0,9.813061953E-1
1.046460834E-1,-1.296453953E0,1.262188077E0,1.060428143E0
1.146000834E-1,-1.517343163E0,1.321526885E0,1.133940220E0
1.245540833E-1,-1.840000868E0,1.441443682E0,1.187418699E0
1.345080833E-1,-2.105861425E0,1.691191196E0,1.162656188E0
1.444630834E-1,-2.392117500E0,1.792730570E0,1.108868003E0
1.544170834E-1,-2.597922802E0,1.711224556E0,1.047210932E0
1.643710834E-1,-2.653008699E0,1.426900744E0,9.198663235E-1
1.743250834E-1,-2.552126646E0,8.337832093E-1,8.123458028E-1
1.842800833E-1,-2.313482523E0,8.884966373E-2,7.088561654E-1
1.942340833E-1,-2.020437002E0,-7.269512415E-1,5.824559927E-1
2.041880834E-1,-1.726423740E0,-1.422884703E0,4.067342877E-1
2.141420834E-1,-1.481201410E0,-1.925315142E0,2.088792473E-1
2.240965834E-1,-1.278557539E0,-2.064945459E0,4.946401715E-2
2.340505834E-1,-1.101886272E0,-1.636846185E0,-9.243440814E-3
2.440045833E-1,-8.564509153E-1,-6.390936375E-1,3.794963658E-2
2.539585833E-1,-4.041281343E-1,4.979272783E-1,7.866257429E-2
2.639135834E-1,1.984879673E-1,6.500017643E-1,-2.002112567E-2
2.738675834E-1,1.092087746E0,8.903023005E-1,-9.455250949E-2
2.838215834E-1,2.112401962E0,4.441146851E-1,2.197052985E-1
2.937755834E-1,2.723364592E0,-5.379402637E-1,5.332034230E-1
3.037305833E-1,2.560316086E0,-1.766366363E0,5.379587412E-1
3.136845834E-1,2.032152176E0,-2.020096302E0,4.152588844E-1
3.236385834E-1,1.367865086E0,-1.235250592E0,4.258491993E-1
3.335925834E-1,8.960567117E-1,4.595857859E-2,4.470826387E-1
3.435475834E-1,8.412594795E-1,1.450020313E0,3.958679140E-1
3.535015833E-1,1.195926189E0,3.116424561E0,2.365485430E-1
3.634555833E-1,1.689435005E0,4.709899902E0,4.443982989E-2
3.734095833E-1,2.363954067E0,5.433989048E0,-1.479721814E-2
3.833645834E-1,2.884898663E0,6.779083252E0,4.125461280E-1
3.933185834E-1,3.406948328E0,7.142352581E0,8.645628691E-1
4.032725834E-1,3.889650822E0,6.559973240E0,1.160772085E0
4.132265833E-1,4.057655334E0,5.922871113E0,1.466224551E0
4.231815833E-1,3.745077133E0,5.546217442E0,1.975989223E0
4.331355834E-1,2.998379230E0,5.867977619E0,2.587000132E0
4.430895834E-1,1.889071703E0,5.338472366E0,2.000423908E0
4.530435834E-1,9.178850651E-1,4.017428875E0,-6.062889695E-1
4.629985833E-1,4.509221613E-1,4.380409241E0,-1.072396040E0
4.729525833E-1,4.614840448E-1,5.353775024E0,-6.275372505E-1
4.829065833E-1,8.443674445E-1,6.444949150E0,-4.325797558E-1
4.928605834E-1,1.383033156E0,7.263072491E0,-2.402391434E-1
5.028155834E-1,1.899877071E0,7.793872833E0,8.440312743E-2
5.127695834E-1,2.266688824E0,7.993494987E0,4.642990530E-1
5.227235833E-1,2.497601748E0,7.610450745E0,6.630095243E-1
5.326775833E-1,2.592586994E0,6.764654636E0,6.493288875E-1
5.426325834E-1,2.542996645E0,5.662415028E0,4.865013063E-1
5.525865834E-1,2.292067051E0,4.681303978E0,2.158142179E-1
5.625405834E-1,1.823773146E0,3.974327087E0,-1.604251862E-1
5.724945834E-1,1.209994197E0,3.467934608E0,-6.208195686E-1
5.824495833E-1,6.529082060E-1,3.066375732E0,-1.175774693E0
5.924035833E-1,2.622347772E-1,2.743376017E0,-1.615219235E0
6.023575834E-1,2.690827288E-2,2.460206985E0,-1.876256943E0
6.123115834E-1,-8.398534358E-2,2.306221724E0,-1.988326430E0
6.222665834E-1,-7.119578123E-2,2.359635353E0,-2.058933020E0
6.322205834E-1,5.310562998E-2,2.385432482E0,-2.190645933E0
6.421745833E-1,1.417561471E-1,2.425864935E0,-2.324070692E0
6.521285833E-1,-2.918233909E-2,2.118683338E0,-2.505307913E0
6.620835834E-1,-3.844072819E-1,1.572296381E0,-2.732800722E0
6.720375834E-1,-6.817561984E-1,1.539120078E0,-2.919795036E0
6.819915834E-1,-8.329055309E-1,1.486348271E0,-3.062370300E0
6.919455834E-1,-1.018389702E0,1.388547421E0,-3.187068939E0
7.019005833E-1,-1.256729841E0,1.513740540E0,-3.397214890E0
7.118545834E-1,-1.457722068E0,1.620940566E0,-3.680761337E0
7.218085834E-1,-1.603014588E0,1.655830979E0,-4.005449295E0
7.317625834E-1,-1.738131881E0,1.625040412E0,-4.364675999E0
7.417175834E-1,-1.898237348E0,1.502165556E0,-4.691274166E0
7.516715833E-1,-2.071931362E0,1.334237814E0,-4.949822426E0
7.616255833E-1,-2.253160000E0,1.160440087E0,-5.169106007E0
7.715795834E-1,-2.432193756E0,9.928920269E-1,-5.347310543E0
7.815345834E-1,-2.602770090E0,8.375924826E-1,-5.492249012E0
7.914885834E-1,-2.725538015E0,6.456604004E-1,-5.646948814E0
8.014425834E-1,-2.767739058E0,4.646873772E-1,-5.819635391E0
8.113965833E-1,-2.721201181E0,3.494450450E-1,-6.019938469E0
8.213515833E-1,-2.629027605E0,3.626545966E-1,-6.247343063E0
8.313055834E-1,-2.483109951E0,4.391463399E-1,-6.525725365E0
8.412595834E-1,-2.284995317E0,5.975788236E-1,-6.783256531E0
8.512135834E-1,-1.978412628E0,8.291909695E-1,-6.882485867E0
8.611685833E-1,-1.526028395E0,1.140144825E0,-6.774580002E0
8.711225833E-1,-1.002441764E0,1.423118711E0,-6.469812870E0
8.810765833E-1,-5.113397241E-1,1.583840728E0,-6.139702320E0
8.910305834E-1,-1.053357422E-1,1.594757915E0,-5.841035843E0
9.009855834E-1,1.700566858E-1,1.485690832E0,-5.531451702E0
9.109395834E-1,3.058739603E-1,1.379810572E0,-5.238279343E0
9.208935833E-1,3.009828031E-1,1.280275464E0,-4.974045753E0
9.308475833E-1,2.406269908E-1,1.172123790E0,-4.692583561E0
9.408025834E-1,2.242456228E-1,9.912490845E-1,-4.256576538E0
9.507565834E-1,2.631492019E-1,7.355905175E-1,-3.507577181E0
9.607105834E-1,2.361173183E-1,3.063941598E-1,-2.468046188E0
9.706645834E-1,1.707410663E-1,-7.915455103E-2,-1.354436517E0
9.806195833E-1,2.999951839E-1,-5.814664364E-1,-5.325559974E-1
9.905735833E-1,4.049984515E-1,-6.798826456E-1,2.719781920E-2
1.000527583E0,4.534469545E-1,-7.858163118E-1,3.278442025E-1
1.010481583E0,4.895914197E-1,-9.631240964E-1,3.783865571E-1
1.020436583E0,4.901562929E-1,-1.099322081E0,2.453283668E-1
1.030390583E0,4.255510867E-1,-1.122304678E0,4.232266173E-2
1.040344583E0,3.084889352E-1,-1.061306834E0,-9.950025380E-2
1.050298583E0,1.931346059E-1,-9.566053748E-1,-1.224642247E-1
1.060253583E0,1.471961439E-1,-8.169412017E-1,-2.915051952E-2
1.070207583E0,1.759689301E-1,-6.206787825E-1,1.581569463E-1
1.080161583E0,2.197877914E-1,-3.899492025E-1,4.190188944E-1
1.090115583E0,2.827057242E-1,-1.447416693E-1,7.024402618E-1
1.100070583E0,3.779965639E-1,6.209007651E-2,9.551055431E-1
1.110024583E0,4.594413042E-1,2.088306248E-1,1.174344301E0
1.119978583E0,5.178329945E-1,3.251319230E-1,1.349763274E0
1.129932583E0,5.762580633E-1,3.966619074E-1,1.486762881E0
1.139887583E0,6.292049289E-1,4.037562907E-1,1.603903055E0
1.149841583E0,6.895120144E-1,3.882885277E-1,1.704357028E0
1.159795583E0,7.594474554E-1,4.034589529E-1,1.804351568E0
1.169749583E0,8.523740768E-1,4.825938642E-1,1.969219804E0
1.179703583E0,9.486481547E-1,6.361421943E-1,2.233902216E0
1.189658583E0,1.046587110E0,8.222433925E-1,2.554612637E0
1.199612583E0,1.112393260E0,1.079338551E0,2.892743587E0
1.209566583E0,1.130631685E0,1.318329215E0,3.200333118E0
1.219520958E0,1.084162951E0,1.506522298E0,3.454012394E0
1.229475958E0,9.692652822E-1,1.623087525E0,3.646877766E0
1.239429958E0,7.725111842E-1,1.708612084E0,3.823439360E0
1.249383958E0,5.481246114E-1,1.705167770E0,3.939248323E0
1.259337958E0,3.352416158E-1,1.636519790E0,4.080516815E0
1.269292958E0,1.986485124E-1,1.624987006E0,4.298296928E0
1.279246958E0,1.407117099E-1,1.547261596E0,4.678319454E0
1.289200958E0,1.163362563E-1,1.426959515E0,5.172539711E0
1.299154958E0,1.080181450E-1,1.317445278E0,5.621848106E0
1.309109958E0,9.365219623E-2,1.221759796E0,5.968466759E0
1.319063958E0,1.390018314E-1,1.235774040E0,6.144918919E0
1.329017958E0,1.914453059E-1,1.050179482E0,6.163448811E0
1.338971958E0,1.827066690E-1,7.863329649E-1,6.171370029E0
1.348926958E0,9.874604642E-2,4.265820682E-1,5.975213528E0
1.358880958E0,-4.937923700E-2,2.939462662E-3,5.600147724E0
1.368834958E0,-2.387912124E-1,-4.059660733E-1,5.339474201E0
1.378788958E0,-4.277395606E-1,-7.484299541E-1,5.201481342E0
1.388743958E0,-5.703519583E-1,-9.711329937E-1,5.097100735E0
1.398697958E0,-6.438168883E-1,-9.470050335E-1,5.081329823E0
1.408651958E0,-6.362186074E-1,-8.425585032E-1,5.082172871E0
1.418605958E0,-5.632487535E-1,-7.121498585E-1,5.032073498E0
1.428560958E0,-4.105844200E-1,-5.763097405E-1,4.903192043E0
1.438514958E0,-2.418936640E-1,-4.271367788E-1,4.668533325E0
1.448468958E0,-1.017090231E-1,-3.154105544E-1,4.316608906E0
1.458422958E0,6.632366683E-3,-2.501279414E-1,3.867979527E0
1.468377958E0,8.103759587E-2,-2.048562765E-1,3.362209082E0
1.478331958E0,1.240428537E-1,-1.708945930E-1,2.873710632E0
1.488285958E0,1.348731369E-1,-1.906647533E-1,2.419433594E0
1.498239958E0,1.236423180E-1,-2.890672088E-1,2.018520832E0
1.508193958E0,1.150973439E-1,-4.227132797E-1,1.691704750E0
1.518148958E0,1.348444223E-1,-5.863389969E-1,1.450675130E0
1.528102958E0,1.697607785E-1,-8.092108965E-1,1.256650567E0
1.538056958E0,2.253987342E-1,-1.005083561E0,1.090905190E0
1.548010958E0,2.892588973E-1,-1.161140084E0,9.626750946E-1
1.557965958E0,3.982945681E-1,-1.168749809E0,8.037371039E-1
1.567919958E0,5.275776982E-1,-1.096726179E0,6.631230712E-1
1.577873958E0,6.513390541E-1,-9.589558244E-1,4.907374680E-1
1.587827958E0,7.313259840E-1,-7.895530462E-1,2.753899693E-1
1.597782958E0,7.465427518E-1,-6.029672027E-1,2.205623314E-2
1.607736958E0,7.072427273E-1,-4.322567284E-1,-2.619107664E-1
1.617690958E0,6.184526682E-1,-2.849612832E-1,-5.775203705E-1
1.627644958E0,4.801496565E-1,-1.861866266E-1,-9.409503341E-1
1.637599958E0,2.735320330E-1,-1.576125175E-1,-1.339769125E0
1.647553958E0,2.047402039E-2,-1.646863669E-1,-1.743793130E0
1.657507958E0,-2.478959262E-1,-1.166743711E-1,-2.146012306E0
1.667461958E0,-5.348822474E-1,-5.940697715E-2,-2.503466606E0
1.677416958E0,-8.266033530E-1,-1.405361108E-2,-2.807451010E0
1.687370958E0,-1.107581615E0,-1.698950492E-2,-3.054747105E0
1.697324958E0,-1.313362479E0,-1.482621953E-2,-3.275824070E0
1.707278958E0,-1.486914396E0,-5.350243673E-2,-3.450795889E0
1.717232958E0,-1.567465186E0,-1.281830668E-1,-3.569958687E0
1.727187958E0,-1.563877225E0,-1.891390383E-1,-3.689115524E0
1.737141958E0,-1.510356426E0,-2.725319266E-1,-3.775921822E0
1.747095958E0,-1.434549451E0,-3.815656006E-1,-3.800478458E0
1.757049958E0,-1.371002436E0,-4.270974100E-1,-3.842725039E0
1.767004958E0,-1.317266703E0,-3.878732920E-1,-3.919991970E0
1.776958958E0,-1.279000878E0,-2.713727653E-1,-4.030251026E0
1.786912958E0,-1.287004232E0,-1.913805008E-1,-4.142554283E0
1.796866958E0,-1.339962959E0,-1.514274925E-1,-4.246137142E0
1.806821958E0,-1.406524420E0,-1.872679442E-1,-4.374864101E0
1.816775958E0,-1.511737108E0,-3.072017729E-1,-4.548971653E0
1.826729958E0,-1.689469576E0,-5.175478458E-1,-4.775023460E0
1.836683958E0,-1.916930676E0,-8.329244256E-1,-5.025063515E0
1.846638958E0,-2.142401457E0,-1.146676183E0,-5.335763931E0
1.856592958E0,-2.328813076E0,-1.435509562E0,-5.649003983E0
1.866546958E0,-2.429037333E0,-1.627418399E0,-5.926065445E0
1.876500958E0,-2.431122065E0,-1.633295774E0,-6.107207298E0
1.886455958E0,-2.278833389E0,-1.549628019E0,-6.138091564E0
