"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.961666699E-3,-9.959281754E-1,-5.297846353E-1,1.804889292E-1
1.591466670E-2,-8.915039206E-1,-5.189576384E-1,2.195226020E-1
2.586866671E-2,-9.569278318E-1,-5.410753164E-1,-2.036585212E-3
3.582166671E-2,-9.745320439E-1,-4.815269798E-1,-3.236083031E-1
4.577566666E-2,-9.838475356E-1,-3.521646425E-1,-5.632172602E-1
5.572866666E-2,-1.129614236E0,-3.519532657E-1,-7.863715678E-1
6.568266667E-2,-1.238627386E0,-4.439372769E-1,-6.383405328E-1
7.563666668E-2,-1.281845326E0,-5.205898887E-1,-4.453251135E-1
8.558966668E-2,-1.176122113E0,-5.634988037E-1,-1.757029831E-1
9.554366668E-2,-9.758429897E-1,-4.676857433E-1,1.386222804E-1
1.054966667E-1,-9.365836143E-1,-3.460940632E-1,1.011299336E-1
1.154506667E-1,-7.198203135E-1,-9.570137858E-2,1.779956764E-1
1.254036667E-1,-8.392643112E-1,5.359119326E-2,5.761144638E-2
1.353576667E-1,-1.456837581E0,1.029548496E-1,-8.475597560E-2
1.453106667E-1,-1.064859539E0,5.504036719E-1,-9.729357541E-2
1.552646667E-1,-9.807680994E-1,9.910980830E-1,2.166393399E-2
1.652176667E-1,-1.144239877E0,1.236112206E0,6.577065110E-2
1.751716667E-1,-9.476749054E-1,1.448719014E0,1.814326698E-1
1.851246667E-1,-7.034679902E-1,1.533521183E0,1.898210853E-1
1.950786667E-1,-4.560953924E-1,1.489417681E0,2.483540529E-1
2.050316667E-1,-3.372516114E-1,1.411898220E0,2.106237245E-1
2.149856667E-1,-2.594751647E-1,1.407629460E0,2.037889141E-1
2.249396667E-1,-2.675361362E-1,1.414985842E0,3.134686464E-1
2.348926667E-1,-5.703748369E-1,1.246852372E0,5.620501560E-1
2.448466667E-1,-4.726465210E-1,1.179279609E0,1.124299702E0
2.547996667E-1,-1.920874661E-1,1.204204535E0,1.480717902E0
2.647536667E-1,-5.385931733E-1,9.952151075E-1,1.636278396E0
2.747066667E-1,-4.455502313E-1,1.073794377E0,1.756510014E0
2.846606667E-1,-1.439672202E-2,1.343400135E0,1.826352666E0
2.946136667E-1,1.252970606E-1,1.477502225E0,1.540300444E0
3.045676667E-1,2.025481349E-1,1.681069238E0,1.310058727E0
3.145206667E-1,1.902415001E-1,1.821469072E0,1.026179915E0
3.244746667E-1,5.248776519E-1,2.040792283E0,6.236476493E-1
3.344276667E-1,5.840906507E-1,2.163914765E0,2.430336714E-1
3.443816667E-1,4.362341550E-1,2.101818796E0,-2.605349725E-1
3.543356667E-1,3.501374128E-1,2.145458613E0,-8.061065054E-1
3.642886667E-1,2.739098936E-1,2.163596968E0,-1.181090784E0
3.742426667E-1,2.582949042E-2,1.966223765E0,-1.583987916E0
3.841956667E-1,-2.949882290E-1,1.509129230E0,-1.967640692E0
3.941496667E-1,-4.637166533E-1,1.606951540E0,-1.626108919E0
4.041026667E-1,-7.525647211E-1,1.579621946E0,-1.838118433E0
4.140566667E-1,-1.039479699E0,8.965607388E-1,-2.145407158E0
4.240096667E-1,-6.998102644E-1,5.470144795E-1,-1.679443127E0
4.339636667E-1,-3.250867715E-1,2.123322809E-1,-1.714029992E0
4.439166667E-1,-4.837459981E-2,2.530631080E-1,-2.104997635E0
4.538706667E-1,-3.108964562E-3,2.863596390E-1,-2.444760625E0
4.638236667E-1,1.655210803E-1,1.859317368E-1,-2.837700534E0
4.737776667E-1,4.718298112E-1,4.070664892E-1,-2.701191437E0
4.837306667E-1,5.970694229E-1,8.307333697E-1,-2.177872068E0
4.936846667E-1,3.754964217E-1,1.242705088E0,-1.968335926E0
5.036386667E-1,1.202552989E-1,1.442447583E0,-2.094246944E0
5.135916667E-1,-1.660794163E-1,1.372936322E0,-2.575649963E0
5.235456667E-1,-6.323807582E-1,1.087326296E0,-2.660986567E0
5.334986667E-1,-7.099347183E-1,8.989127813E-1,-2.235740207E0
5.434526667E-1,-6.320120182E-1,7.938865556E-1,-1.529401819E0
5.534056667E-1,-6.711555456E-1,7.091032442E-1,-8.773098046E-1
5.633596667E-1,-5.253866886E-1,9.864589021E-1,-1.080366647E-1
5.733126667E-1,-3.191678179E-1,1.445795552E0,6.551366597E-1
5.832666667E-1,-3.576264170E-1,1.895161092E0,1.063707345E0
5.932196667E-1,3.800162463E-1,1.991107176E0,1.222296697E0
6.031736667E-1,2.257313948E-1,1.889522476E0,1.142965769E0
6.131266667E-1,-1.958579700E-1,2.379095078E0,8.962787569E-1
6.230806667E-1,-4.171379892E-2,2.710386476E0,5.499464196E-1
6.330336667E-1,-5.916913732E-1,2.679966629E0,1.034729129E-1
6.429876667E-1,-1.041743595E0,2.617575669E0,-9.798237741E-2
6.529416667E-1,-1.512445186E0,2.590278235E0,-2.566167533E-2
6.628946667E-1,-1.812304877E0,2.631990517E0,3.675220621E-1
6.728486667E-1,-1.685389745E0,2.734760887E0,9.263778841E-1
6.828016667E-1,-1.680962526E0,2.805485884E0,1.288955541E0
6.927556667E-1,-1.384005247E0,2.931519401E0,1.528513042E0
7.027086667E-1,-8.271806015E-1,2.998448678E0,1.872111222E0
7.126626667E-1,-1.499042089E-1,3.005430838E0,2.150069143E0
7.226156667E-1,4.348530061E-1,2.862099503E0,1.787359339E0
7.325696667E-1,7.608347306E-1,2.761650478E0,1.565198473E0
7.425226667E-1,9.521723644E-1,2.321941030E0,1.937707041E0
7.524766667E-1,8.558781512E-1,1.743315772E0,2.966750922E0
7.624296667E-1,7.187779742E-1,1.215791743E0,3.917263189E0
7.723836667E-1,6.245313098E-1,6.991991573E-1,4.757830260E0
7.823366667E-1,5.482058497E-1,6.876983419E-2,6.216354470E0
7.922906667E-1,4.580498242E-1,-4.290624719E-1,7.936484277E0
8.022446667E-1,4.365697852E-1,-4.897047494E-1,8.937781366E0
8.121976667E-1,7.861194067E-1,-8.740827262E-2,9.426527903E0
8.221516667E-1,1.580416583E0,4.490511055E-1,9.044314712E0
8.321046667E-1,2.345723118E0,8.014084138E-1,7.541628236E0
8.420586667E-1,2.893683531E0,6.880544373E-1,5.684696386E0
8.520116667E-1,3.228287523E0,3.711574222E-1,3.883951017E0
8.619656667E-1,3.206786726E0,-1.895755023E-2,2.405062709E0
8.719186667E-1,2.977931676E0,-3.475298470E-1,1.272024343E0
8.818726667E-1,2.618450997E0,-5.814797227E-1,7.783971351E-1
8.918256667E-1,2.595519387E0,-7.039112822E-1,3.806613404E-1
9.017796667E-1,2.638091210E0,-7.829028533E-1,-4.517471105E-1
9.117326667E-1,2.545583580E0,-9.416498613E-1,-1.331487603E0
9.216866667E-1,2.423967927E0,-1.258164980E0,-2.264055349E0
9.316396667E-1,2.358595909E0,-1.686933410E0,-3.279212093E0
9.415936667E-1,2.264312919E0,-1.996738776E0,-4.178692786E0
9.515476667E-1,2.022922169E0,-2.139586985E0,-4.855185231E0
9.615004584E-1,1.554860596E0,-2.469321855E0,-4.885249860E0
9.714544584E-1,-9.364608228E-1,-4.015575057E0,-4.105028978E0
9.814074584E-1,-4.671376545E0,-6.286025214E0,-3.741339181E0
9.913614584E-1,-2.984655389E0,-5.675488776E0,-4.444303726E0
1.001314458E0,6.975791131E-1,-2.768932015E0,-4.453172198E0
1.011268458E0,1.812302245E0,-2.699327637E-1,-4.534354355E0
