"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.754833364E-3,-9.255371690E-1,-2.602117062E-1,1.873471290E-1
1.370883337E-2,-9.701592326E-1,-4.103732407E-1,2.951636016E-1
2.366183337E-2,-9.057949185E-1,-5.749049187E-1,3.125622869E-1
3.361583332E-2,-7.535736561E-1,-7.000231743E-1,2.721970379E-1
4.356983333E-2,-5.893127918E-1,-7.807922363E-1,2.223431468E-1
5.352283333E-2,-4.816787541E-1,-7.758083940E-1,2.110771835E-1
6.347683334E-2,-4.701434076E-1,-6.659342647E-1,2.252382338E-1
7.343083335E-2,-5.211544037E-1,-5.873302221E-1,2.858341932E-1
8.338483336E-2,-5.937727094E-1,-5.577353835E-1,3.786894381E-1
9.333783336E-2,-6.546943784E-1,-6.216909289E-1,4.974890351E-1
1.032918334E-1,-6.765167117E-1,-6.968071461E-1,5.603075027E-1
1.132458334E-1,-6.826435328E-1,-6.466169357E-1,5.142158866E-1
1.231988334E-1,-6.406098604E-1,-7.071039081E-1,4.400485754E-1
1.331528333E-1,-5.492477417E-1,-7.160406709E-1,3.181439638E-1
1.431068333E-1,-4.171578884E-1,-6.525996923E-1,1.719412804E-1
1.530608333E-1,-2.526690662E-1,-6.256069541E-1,8.388544619E-2
1.630138333E-1,-1.135786697E-1,-5.518633723E-1,2.209776081E-2
1.729678334E-1,-1.032312401E-2,-3.710389733E-1,2.544135973E-2
1.829218334E-1,8.149123192E-2,-2.255519629E-1,1.869755834E-1
1.928748334E-1,1.988114566E-1,-1.267100573E-1,4.612079561E-1
2.028288334E-1,3.042605519E-1,-4.981723800E-2,7.382217646E-1
2.127828334E-1,4.100743234E-1,-6.203288957E-2,9.625057578E-1
2.227358334E-1,5.315782428E-1,-1.732535958E-1,1.088368297E0
2.326898333E-1,6.188932061E-1,-3.606719375E-1,1.077827692E0
2.426438333E-1,6.416783929E-1,-5.387197137E-1,9.633955956E-1
2.525978333E-1,5.258883834E-1,-5.540893674E-1,7.110059261E-1
2.625508333E-1,3.490716219E-1,-5.062125921E-1,3.854670823E-1
2.725048334E-1,1.561618298E-1,-4.160371721E-1,6.170208380E-2
2.824588334E-1,-1.095771138E-2,-2.810283601E-1,-1.511449963E-1
2.924118334E-1,-1.607469469E-1,-1.933246255E-1,-1.810435057E-1
3.023658334E-1,-2.543188334E-1,-1.814017594E-1,-4.045492038E-2
3.123198334E-1,-2.623663843E-1,-2.417726964E-1,1.877199262E-1
3.222738333E-1,-1.849963963E-1,-3.532527983E-1,4.162967205E-1
3.322268333E-1,-5.820036680E-2,-4.995625913E-1,5.954105854E-1
3.421808333E-1,7.239369303E-2,-6.727172732E-1,6.876617670E-1
3.521304583E-1,1.644471884E-1,-8.441217542E-1,6.943846345E-1
3.620834583E-1,1.806686670E-1,-1.010889053E0,6.215075254E-1
3.720374583E-1,1.327986121E-1,-1.091032147E0,5.036943555E-1
3.819914584E-1,-1.810583845E-2,-9.703922272E-1,3.996980786E-1
3.919454584E-1,-3.072188795E-1,-8.327049613E-1,3.133006096E-1
4.018984584E-1,-6.167815924E-1,-8.706579208E-1,3.212798536E-1
4.118524584E-1,-8.657352328E-1,-8.493071198E-1,3.986262977E-1
4.218064583E-1,-1.080135226E0,-7.162579894E-1,5.626684427E-1
4.317594583E-1,-1.248017907E0,-6.552585363E-1,8.058425188E-1
4.417134583E-1,-1.361648083E0,-7.201069593E-1,1.081355929E0
4.516674583E-1,-1.457714081E0,-8.410440087E-1,1.352332234E0
4.616214584E-1,-1.509734869E0,-9.688703418E-1,1.590979934E0
4.715744584E-1,-1.492066145E0,-1.212082982E0,1.771353960E0
4.815284584E-1,-1.395781875E0,-1.214492679E0,1.898214221E0
4.914824584E-1,-1.252490520E0,-1.044511318E0,2.018952847E0
5.014354584E-1,-1.103785157E0,-7.180051804E-1,2.070562601E0
5.113894584E-1,-9.423552155E-1,-3.098829389E-1,2.031288147E0
5.213434583E-1,-7.672776580E-1,3.855820000E-2,1.920610070E0
5.312964583E-1,-5.959525108E-1,3.000108600E-1,1.780993104E0
5.412504583E-1,-4.257476032E-1,4.383408427E-1,1.647344589E0
5.512044583E-1,-2.330348939E-1,4.081936181E-1,1.552504659E0
5.611584584E-1,-9.507099167E-3,2.527898848E-1,1.507415891E0
5.711114584E-1,2.382299900E-1,6.043774635E-2,1.525287628E0
5.810654584E-1,4.651669264E-1,-1.093802825E-1,1.616160274E0
5.910194584E-1,6.169681549E-1,-2.353150398E-1,1.743809104E0
6.009724584E-1,6.628984213E-1,-1.999897957E-1,1.839141607E0
6.109264583E-1,5.734007955E-1,2.547714673E-2,1.839820147E0
6.208804583E-1,3.807813525E-1,1.940022856E-1,1.729909539E0
6.308344583E-1,1.403018981E-1,2.981925905E-1,1.556618452E0
6.407874583E-1,-1.199680790E-1,4.455656111E-1,1.385336995E0
6.507414583E-1,-3.430288732E-1,5.551283360E-1,1.287718773E0
6.606954584E-1,-4.130852520E-1,5.037872195E-1,1.297028899E0
6.706484584E-1,-3.411109149E-1,4.583206475E-1,1.388873696E0
6.806024584E-1,-1.802478731E-1,4.649815261E-1,1.577652216E0
6.905564584E-1,7.704713382E-3,5.360231996E-1,1.822337031E0
7.005104583E-1,1.169836298E-1,7.211364508E-1,2.015188456E0
7.104634583E-1,4.454245418E-2,8.405738473E-1,2.045325994E0
7.204174583E-1,-1.835468411E-1,6.703011990E-1,1.894912958E0
7.303714583E-1,-4.456421137E-1,3.420245349E-1,1.666384697E0
7.403244583E-1,-6.532111764E-1,1.367532313E-1,1.493206739E0
7.502784583E-1,-7.266654372E-1,9.383532405E-2,1.480637431E0
7.602324584E-1,-6.199028492E-1,2.861036733E-2,1.645962834E0
7.701864584E-1,-4.034307599E-1,-2.414046228E-2,1.944016099E0
7.801394584E-1,-1.657642871E-1,-7.986994833E-2,2.255633831E0
7.900934584E-1,4.973524436E-2,-1.385740191E-1,2.554150343E0
8.000474583E-1,1.697135866E-1,-1.227097660E-1,2.762881994E0
8.100004583E-1,1.773163825E-1,-1.161932796E-1,2.851902246E0
8.199544583E-1,1.043621749E-1,-1.602541059E-1,2.839015722E0
8.299084583E-1,7.036106288E-2,-2.614022791E-1,2.786500931E0
8.398624583E-1,1.505217850E-1,-2.847820818E-1,2.798459530E0
8.498154584E-1,3.642934561E-1,-1.347832680E-1,2.922925711E0
8.597694584E-1,5.669026971E-1,2.468380630E-1,3.150938511E0
8.697234584E-1,6.688647866E-1,6.174198389E-1,3.376206875E0
8.796764584E-1,6.783971190E-1,8.026825190E-1,3.566255808E0
8.896304584E-1,6.545565128E-1,7.102460265E-1,3.694270372E0
8.995844583E-1,5.940361619E-1,5.115166903E-1,3.701035500E0
9.095384583E-1,4.475212991E-1,3.178423047E-1,3.428423882E0
9.194914583E-1,2.380928397E-1,1.949176043E-1,2.614877701E0
9.294454583E-1,1.729966551E-1,2.610995770E-1,1.533250809E0
9.393994584E-1,2.668894529E-1,2.513814270E-1,8.214223981E-1
9.493524584E-1,3.692139685E-1,1.282163560E-1,5.078940392E-1
9.593064584E-1,4.149563611E-1,2.729149461E-1,4.223696887E-1
9.692604584E-1,4.188286066E-1,7.787445784E-1,4.982801378E-1
9.792144584E-1,3.564052880E-1,1.377903938E0,6.101315618E-1
9.891674584E-1,2.320553660E-1,1.730271816E0,6.583096981E-1
9.991214583E-1,9.007237107E-2,1.639325261E0,6.162067056E-1
1.009075458E0,-1.866742037E-2,1.285366297E0,5.871955752E-1
1.019028458E0,-5.626221001E-2,9.072660804E-1,6.402410269E-1
1.028982458E0,-2.343635261E-2,5.725994110E-1,7.525100708E-1
1.038936458E0,2.985472791E-2,2.437939495E-1,8.468576670E-1
1.048890458E0,1.212669387E-1,-1.941437274E-1,8.973165751E-1
1.058843458E0,2.323653847E-1,-6.617845893E-1,9.004663825E-1
1.068797458E0,3.647279441E-1,-1.043588400E0,8.668527603E-1
1.078751458E0,4.806460440E-1,-1.162052274E0,7.882834673E-1
1.088704458E0,5.731853247E-1,-5.935741663E-1,6.995314956E-1
1.098658458E0,5.992246270E-1,1.798620671E-1,5.745058060E-1
1.108612458E0,4.431711137E-1,8.508542776E-1,5.211602449E-1
1.118566458E0,2.143494934E-1,8.237307072E-1,6.072167754E-1
1.128519458E0,-1.052775159E-1,9.204870462E-1,7.438276410E-1
1.138473458E0,-2.979052067E-1,9.726961851E-1,8.148623705E-1
1.148427458E0,-3.451174796E-1,7.936662436E-1,8.059839010E-1
1.158380458E0,-2.511281967E-1,3.148020506E-1,7.757220864E-1
1.168334458E0,-1.327299029E-1,-1.760683209E-1,7.104847431E-1
1.178288458E0,6.674617529E-2,-8.288908005E-1,6.090776920E-1
1.188242458E0,1.838493645E-1,-1.277386546E0,4.599705040E-1
1.198195458E0,2.271305323E-1,-1.622922063E0,3.026849926E-1
1.208149458E0,2.293510735E-1,-1.865611672E0,1.685303897E-1
1.218103458E0,1.323262155E-1,-1.739493370E0,7.730824500E-2
1.228057458E0,-7.497210801E-2,-1.375805140E0,4.841028526E-2
1.238010458E0,-3.387830853E-1,-8.893871307E-1,7.750193775E-2
1.247964458E0,-6.418103576E-1,-4.898147285E-1,1.335324496E-1
