"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.297333315E-3,-4.342619476E0,2.825973358E0,1.082159637E1
1.325133332E-2,-3.983216858E0,2.474803619E0,1.085587509E1
2.320433332E-2,-3.533252563E0,2.284848633E0,1.054212753E1
3.315833333E-2,-3.329825592E0,2.205663300E0,1.053718781E1
4.311233334E-2,-3.414998474E0,2.264640656E0,1.071067703E1
5.306633329E-2,-3.518134003E0,2.552192688E0,1.070723419E1
6.302033330E-2,-3.638483734E0,2.920876007E0,1.091485245E1
7.297333330E-2,-3.855083313E0,3.215912476E0,1.113369736E1
8.292733331E-2,-4.058061218E0,3.495381317E0,1.127320724E1
9.288133332E-2,-4.164789276E0,3.681893463E0,1.137439682E1
1.028353333E-1,-4.109554138E0,3.626957703E0,1.147738266E1
1.127883333E-1,-3.860023041E0,3.411106567E0,1.143337418E1
1.227423333E-1,-3.575165405E0,3.126697998E0,1.135269196E1
1.326963333E-1,-3.357068939E0,2.813549194E0,1.136391861E1
1.426503333E-1,-3.144510956E0,2.542013855E0,1.131541946E1
1.526033333E-1,-3.038082275E0,2.435734863E0,1.117830460E1
1.625573333E-1,-3.033741302E0,2.640808411E0,1.101888611E1
1.725113333E-1,-3.140020294E0,2.862647095E0,1.082324295E1
1.824653333E-1,-3.146756287E0,2.948119354E0,1.053284683E1
1.924183333E-1,-3.037034454E0,2.929108887E0,1.018976028E1
2.023723333E-1,-2.850522308E0,2.884052582E0,9.857900391E0
2.123263333E-1,-2.783461761E0,2.765948181E0,9.547895050E0
2.222803333E-1,-2.838696899E0,2.640808411E0,9.322314148E0
2.322343333E-1,-2.764900360E0,2.580932922E0,9.142537994E0
2.421873333E-1,-2.464475098E0,2.463127899E0,9.003477173E0
2.521413333E-1,-2.459535370E0,2.326162720E0,8.914412384E0
2.620953333E-1,-2.312241669E0,2.340383148E0,8.751700745E0
2.720493333E-1,-2.273771667E0,2.377805328E0,8.574020233E0
2.820023333E-1,-2.278112640E0,2.520159302E0,8.395291901E0
2.919563333E-1,-2.253863068E0,2.713856506E0,8.013136597E0
3.019103333E-1,-2.232457581E0,2.917882233E0,7.651338959E0
3.118643333E-1,-2.537223816E0,2.924917603E0,7.234006805E0
3.218173333E-1,-2.429447937E0,3.018323364E0,7.036866760E0
3.317713333E-1,-2.007325745E0,3.190615082E0,6.731651459E0
3.417253333E-1,-1.963017883E0,2.944077759E0,6.415658569E0
3.516793333E-1,-1.793420563E0,2.858755188E0,6.693630524E0
3.616323333E-1,-1.937870178E0,2.734214172E0,6.616989899E0
3.715863333E-1,-2.029928741E0,2.480491791E0,6.436315613E0
3.815403333E-1,-1.751807098E0,2.236798553E0,6.391708374E0
3.914943333E-1,-1.418001251E0,2.296823730E0,6.680607605E0
4.014483333E-1,-1.239721985E0,2.599494324E0,6.933880920E0
4.114013333E-1,-1.464554443E0,2.661764832E0,6.787635040E0
4.213553333E-1,-2.224973145E0,2.279310150E0,6.829098816E0
4.313093333E-1,-2.548001404E0,2.154918823E0,6.961124268E0
4.412633333E-1,-2.650687866E0,2.843187561E0,7.717351685E0
4.512163333E-1,-2.985092468E0,3.557651825E0,8.117918701E0
4.611703333E-1,-3.417543182E0,3.894900513E0,8.366701355E0
4.711243333E-1,-3.673810272E0,3.339705048E0,8.411607971E0
4.810783333E-1,-3.471730499E0,2.476001129E0,8.521329803E0
